"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PARG",3.44137124493667e-301,1.61113692096617,0.691,0.113,6.86209426240372e-297,"PARG"
"LCLAT1",3.1366738179927e-209,1.61094713954255,0.494,0.08,6.25452759307745e-205,"LCLAT1"
"HPGD",0.449180451163977,-1.61067665083527,0.114,0.096,1,"HPGD"
"BCL2",2.22943928853386e-147,1.61065917307983,0.367,0.063,4.44550194133652e-143,"BCL2"
"MTBP",1.35845950690011e-58,1.61061553533904,0.131,0.018,2.70876825675883e-54,"MTBP"
"CERS6",0,1.60923883626348,0.896,0.219,0,"CERS6"
"SHLD2",3.75475098233984e-220,1.60916785283719,0.518,0.084,7.48697345878564e-216,"SHLD2"
"NOC4L",0.0362401431097276,-1.60895402612106,0.145,0.146,1,"NOC4L"
"SMIM27",0.745890239019892,-1.60711246710648,0.18,0.157,1,"SMIM27"
"PAXX",5.05632715823371e-13,-1.60622407146928,0.324,0.325,1.0082316353518e-08,"PAXX"
"ELOF1",7.56965026379511e-12,-1.60610801439229,0.337,0.328,1.50938826260074e-07,"ELOF1"
"NUDT1",5.45601590692761e-25,-1.60588929340023,0.419,0.41,1.08792957184137e-20,"NUDT1"
"ICAM3",0.0358827236940035,-1.60574077606759,0.145,0.147,1,"ICAM3"
"FAM151B",1.43350731989655e-103,1.60455811263982,0.236,0.033,2.85841359587372e-99,"FAM151B"
"NFXL1",2.07463902452e-112,1.60437574048591,0.266,0.041,4.13683021489288e-108,"NFXL1"
"CTDSPL",6.92100016919325e-141,1.60427117353785,0.343,0.056,1.38004743373713e-136,"CTDSPL"
"MYC",0.140710219230537,-1.60365589028824,0.099,0.103,1,"MYC"
"TMEM134",1.25513714565298e-16,-1.60254038309054,0.375,0.364,2.50274346843204e-12,"TMEM134"
"ARFGEF2",0,1.60251644659744,0.719,0.116,0,"ARFGEF2"
"SPSB3",0.00465568940851542,-1.60199108793714,0.203,0.198,1,"SPSB3"
"INPP5B",2.11770828750482e-202,1.59955080273968,0.449,0.064,4.22271032528461e-198,"INPP5B"
"KLF4",2.90381415814165e-28,-1.59936995868729,0.343,0.388,5.79020543133444e-24,"KLF4"
"NR2C2AP",0.0939911556896583,-1.59864536208816,0.099,0.104,1,"NR2C2AP"
"METTL7A",5.34028360522428e-08,-1.59783888010371,0.258,0.265,0.00106485255088172,"METTL7A"
"BIN1",6.27920211481544e-151,-1.59781710868415,0.648,0.671,1.2520729016942e-146,"BIN1"
"IQCB1",3.62603744200666e-228,1.59588913422725,0.54,0.088,7.23031865936128e-224,"IQCB1"
"MMP15",0.788264017427023,-1.59585706149387,0.135,0.122,1,"MMP15"
"KIAA0753",3.32388784889933e-93,1.59579304602786,0.206,0.027,6.62783237070526e-89,"KIAA0753"
"AGAP9",3.76545328676819e-78,1.59572106791174,0.155,0.016,7.50831385381577e-74,"AGAP9"
"PPP6R3",0,1.59546348359423,0.871,0.196,0,"PPP6R3"
"FBXL18",1.21309287398049e-76,1.59524389798255,0.152,0.015,2.41890719071711e-72,"FBXL18"
"SIGMAR1",0.00013921032670749,-1.59518780641139,0.197,0.204,1,"SIGMAR1"
"MPC1",1.06371221333556e-39,-1.59504211862367,0.457,0.461,2.1210421533911e-35,"MPC1"
"TBC1D31",2.26352754168221e-124,1.59420134119268,0.293,0.044,4.51347391811433e-120,"TBC1D31"
"RBM27",4.90308798473772e-281,1.5925174538113,0.657,0.109,9.77675744156702e-277,"RBM27"
"UBL7",0.0174442183363364,-1.59201601425239,0.24,0.219,1,"UBL7"
"MMP19",2.19404294689811e-138,1.59139456232673,0.315,0.045,4.37492163611483e-134,"MMP19"
"ILVBL",0.000331568727215887,-1.59067193089861,0.217,0.216,1,"ILVBL"
"PRH1",3.2791850097212e-170,1.58926416489042,0.39,0.059,6.53869490938408e-166,"PRH1"
"USP45",7.01919288015158e-118,1.58920510355468,0.253,0.032,1.39962706030222e-113,"USP45"
"DMXL2",0,1.58832916976465,0.953,0.288,0,"DMXL2"
"PIK3CB",4.17200092306641e-282,1.58827955319319,0.643,0.104,8.31896984059442e-278,"PIK3CB"
"LRCH1",0,1.5879518374023,0.806,0.163,0,"LRCH1"
"FBXW11",1.30300728476337e-306,1.58771409819007,0.768,0.151,2.59819652581816e-302,"FBXW11"
"LIMCH1",6.68784292961971e-302,1.58672848527978,0.771,0.164,1.33355588016617e-297,"LIMCH1"
"SEC24B",2.38813200538858e-296,1.58668104575102,0.718,0.129,4.76193521874484e-292,"SEC24B"
"JAK2",0,1.58615853659753,0.887,0.208,0,"JAK2"
"GAS6",2.14493576381258e-124,-1.58569301477421,0.608,0.64,4.27700191304228e-120,"GAS6"
"AOAH",8.28668626655458e-255,1.58490757242001,0.677,0.143,1.65236524155098e-250,"AOAH"
"CCDC93",5.91831731549896e-291,1.5846941572898,0.684,0.119,1.18011247271049e-286,"CCDC93"
"EML4",0,1.5846682248219,0.903,0.228,0,"EML4"
"NFKB1",0,1.58464966315719,0.818,0.184,0,"NFKB1"
"SLC2A13",1.79083166829033e-239,1.58437939871908,0.603,0.113,3.57091834657092e-235,"SLC2A13"
"SLC4A7",3.29215457836154e-201,1.58424817946645,0.462,0.071,6.56455622925292e-197,"SLC4A7"
"CDKN2C",0.00788579214635366,-1.58378176371326,0.153,0.158,1,"CDKN2C"
"THOC6",0.00405898186475134,-1.58359259035277,0.258,0.236,1,"THOC6"
"NAV2",5.80213670016606e-232,1.58347577101882,0.688,0.196,1.15694605801311e-227,"NAV2"
"MZT2A",7.20457920165288e-30,-1.58337915347372,0.424,0.425,1.43659309280958e-25,"MZT2A"
"SGMS1",0,1.58259136108672,0.976,0.328,0,"SGMS1"
"COMTD1",0.335255715749557,-1.58217465590224,0.149,0.139,1,"COMTD1"
"PPP6R2",0,1.58089534063855,0.747,0.133,0,"PPP6R2"
"TESK2",2.88106766167491e-185,1.57945214882601,0.417,0.061,5.74484891737978e-181,"TESK2"
"FAM89B",0.0844411852490356,-1.57903583850265,0.172,0.164,1,"FAM89B"
"PDK2",0.447245465877438,-1.57867346033671,0.174,0.156,1,"PDK2"
"FHAD1",2.9995107110378e-56,1.57789199728086,0.125,0.017,5.98102435780937e-52,"FHAD1"
"PPP3CC",2.39761632618206e-209,1.57560329702095,0.474,0.071,4.78084695440702e-205,"PPP3CC"
"GAS6-AS1",4.28480697429729e-50,1.57364418627382,0.102,0.011,8.5439051067488e-46,"GAS6-AS1"
"VPS9D1",5.0162066437088e-177,1.57217082188735,0.361,0.043,1.00023160475553e-172,"VPS9D1"
"MPV17L2",0.363519360650168,-1.57202860090751,0.106,0.103,1,"MPV17L2"
"SULT1C2",0.0218297708391761,-1.5718923531528,0.16,0.16,1,"SULT1C2"
"ZNF432",3.07778873837629e-81,1.57175170054353,0.182,0.025,6.13711074432233e-77,"ZNF432"
"POLE4",6.22112183812445e-12,-1.57096587569644,0.311,0.313,1.24049169452201e-07,"POLE4"
"PIKFYVE",0,1.57038364678847,0.867,0.187,0,"PIKFYVE"
"AAAS",0.0227862222436542,-1.57025636257781,0.173,0.171,1,"AAAS"
"SAMD4A",6.83458816138845e-253,1.57019781536205,0.641,0.122,1.36281687938086e-248,"SAMD4A"
"PLXDC2",0,1.5696395534818,0.919,0.314,0,"PLXDC2"
"EPHB3",4.18617791282374e-10,-1.56962275961312,0.293,0.295,8.34723875817054e-06,"EPHB3"
"DGKD",1.79832126233965e-195,1.56946460779133,0.429,0.06,3.58585259710527e-191,"DGKD"
"CCDC91",0,1.56901275546366,0.847,0.207,0,"CCDC91"
"MAOA",9.1734924482353e-116,1.56839419969585,0.257,0.035,1.82919439417812e-111,"MAOA"
"AP3B1",0,1.56772853856946,0.944,0.278,0,"AP3B1"
"CUL3",0,1.56758608089125,0.87,0.194,0,"CUL3"
"LDAH",7.44793732704071e-182,1.56754946565188,0.433,0.07,1.48511870301192e-177,"LDAH"
"TGFBI",0,1.56715459072888,0.909,0.261,0,"TGFBI"
"DTNB",0,1.56710054843642,0.94,0.275,0,"DTNB"
"GSTM4",0.00484330354164761,-1.56646685729528,0.193,0.191,1,"GSTM4"
"USP24",2.85867328564044e-290,1.56636929952787,0.671,0.11,5.70019453156703e-286,"USP24"
"XRCC4",2.07854989162887e-262,1.56597760847573,0.652,0.126,4.14462848390796e-258,"XRCC4"
