"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ZFPM1",6.32465525015369e-11,0.980622953460445,0.18,0.077,1.26113625688065e-06,"ZFPM1"
"RPS3A",3.24642781051781e-126,0.980587796418092,0.956,0.988,6.47337705417252e-122,"RPS3A"
"TFPT",1.53850898593828e-12,-0.980247801126475,0.355,0.457,3.06778691796092e-08,"TFPT"
"RPL11",1.99727950807878e-131,0.979378846761461,0.963,0.992,3.98257533910909e-127,"RPL11"
"TRAFD1",0.124127003647191,-0.977962097141401,0.11,0.126,1,"TRAFD1"
"LINC00662",9.6411383122547e-12,0.976553228876422,0.126,0.044,1.92244297946359e-07,"LINC00662"
"MRPL22",1.69734217455958e-11,-0.973947030425416,0.318,0.413,3.3845002960718e-07,"MRPL22"
"TRAPPC10",6.99614480904114e-12,0.973489592138879,0.194,0.083,1.3950312749228e-07,"TRAPPC10"
"MAP3K8",7.7102461036221e-24,-0.973447917540742,0.397,0.585,1.53742307306225e-19,"MAP3K8"
"STK17A",9.04623453899483e-05,0.973299100680892,0.103,0.053,1,"STK17A"
"RHOBTB1",4.68638077052541e-09,0.973245685812646,0.136,0.057,9.34464325642767e-05,"RHOBTB1"
"CPSF4",0.240567979958952,-0.973032920176474,0.117,0.128,1,"CPSF4"
"ZWINT",1.77065701858558e-05,-0.972775022260935,0.138,0.214,0.353069009505965,"ZWINT"
"MAX",2.86855867749473e-05,-0.972080524271464,0.287,0.331,0.57199060029245,"MAX"
"UQCC3",2.06269518118627e-05,-0.971527741166982,0.236,0.294,0.411301419128543,"UQCC3"
"CHKB",1.27203754131585e-13,0.971278481515569,0.227,0.097,2.53644285738381e-09,"CHKB"
"HAUS4",3.65263376151401e-19,0.971054289885811,0.278,0.112,7.28335172045895e-15,"HAUS4"
"SIGMAR1",3.60937618842317e-05,-0.97104714217261,0.133,0.204,0.719709611971581,"SIGMAR1"
"SCYL2",0.0124063821916703,-0.970132567904167,0.203,0.228,1,"SCYL2"
"VAMP5",3.37247943431399e-09,-0.969944791957376,0.227,0.331,6.7247239920221e-05,"VAMP5"
"RCC1",0.105593848512283,-0.967919390020899,0.089,0.109,1,"RCC1"
"PSMB9",0.000327728750045358,-0.967838875900968,0.166,0.224,1,"PSMB9"
"SLC30A6",0.113567332282299,-0.967813772115752,0.084,0.104,1,"SLC30A6"
