"ECM_score","Immune_score","subtype","disease_group"
0.586975930442718,0.81204426048744,"Homeostatic","Normal 3rd trimester / Preeclampsia"
0.816584361115003,0,"Homeostatic","Normal 3rd trimester / Preeclampsia"
1.24460082127882,0.475804956243015,"Homeostatic","Normal 3rd trimester / Preeclampsia"
0.543130706718043,0,"Homeostatic","Normal 3rd trimester / Preeclampsia"
0.621984999969719,0.463282690813399,"Pro-inflammatory","Normal 3rd trimester / Preeclampsia"
0.875968292473268,0.651890043329692,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.22994599517007,0.437143660058812,"Homeostatic","Normal 3rd trimester / Preeclampsia"
1.31372045709841,0,"Homeostatic","Normal 3rd trimester / Preeclampsia"
1.1167210271922,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.77041545113718,0,"Homeostatic","Normal 3rd trimester / Preeclampsia"
1.15711352635306,0.42715022881864,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.4378325744332,0.527131645279007,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.24275975354684,0.438902979579275,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.44244764670369,1.05031662927725,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.29252305994688,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.49175806344013,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.09551361062359,0.401940866703867,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
0.970097503258197,0.614821696750582,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.30203720969132,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.44797589229569,0,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
0.925324852084296,0.366149626992647,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.45615447260484,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.16826899722081,0.852355012293127,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.0858646461423,0,"Pro-inflammatory","Normal 3rd trimester / Preeclampsia"
0.937228632981822,0.297405200296311,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.38793347875967,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.39989751735161,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.41737180143406,1.08053396368746,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.009794071799,0.987911935890715,"Pro-inflammatory","Normal 3rd trimester / Preeclampsia"
1.41364897198173,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.62033010784538,0,"Homeostatic","Normal 3rd trimester / Preeclampsia"
0.917091681720413,0.31034842904928,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.02081182713506,0.393304200116897,"Pro-inflammatory","Normal 3rd trimester / Preeclampsia"
1.29452745271519,0.976794015252617,"Pro-inflammatory","Normal 3rd trimester / Preeclampsia"
1.11662582306329,0.384035595149489,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.55128426956566,0.382193051196835,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
0.966219974096369,0.68555027920458,"Pro-inflammatory","Normal 3rd trimester / Preeclampsia"
0.846917846311782,0.597777435301532,"MKI67+ Proliferating","Normal 3rd trimester / Preeclampsia"
1.91902230624925,0.491326020727877,"Homeostatic","Normal 3rd trimester / Preeclampsia"
1.05023606320679,0.750685949118476,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.16584851692652,0.398424021021092,"Homeostatic","Normal 3rd trimester / Preeclampsia"
1.24490591755651,0.914381356598804,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
0.879452041114503,0.558685066801265,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.44863988731404,0.801831020305964,"Pro-inflammatory","Normal 3rd trimester / Preeclampsia"
1.21027312127492,0,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.26822675068342,0.444509665262091,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.32287649386699,0.463114089321964,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.32249794102107,0.474509709979561,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
0.981246752508537,0.339918949319361,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.28874670362719,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.37527441471994,1.01037260692563,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.35684590667946,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.43052540393444,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
0.791374266273012,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.33091493645239,0.496634462748295,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.09445055044653,0.429828186956816,"Homeostatic","Normal 3rd trimester / Preeclampsia"
0.813138033888668,0.784107930349597,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.14982972304534,0.604300926699653,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.16798306033715,0,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.03239879076315,0.65640987086606,"Pro-inflammatory","Normal 3rd trimester / Preeclampsia"
1.38858819107157,0,"Homeostatic","Normal 3rd trimester / Preeclampsia"
1.07478441057724,0,"MHCII+ Antigen-presenting","Normal 3rd trimester / Preeclampsia"
1.12612663981316,0.779403021306538,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
1.45518990438345,0,"Vascular remodeling","Normal 3rd trimester / Preeclampsia"
