"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TESK2",1.06964896429154e-71,-3.32123970906523,0.013,0.125,2.13288003479734e-67,"TESK2"
"IFI27",3.84337871748115e-124,3.26992086699339,0.419,0.116,7.66369716265741e-120,"IFI27"
"ALDOA",1.76337886356246e-168,3.25478803187199,0.437,0.047,3.51617745394354e-164,"ALDOA"
"HBG2",1.32214268972198e-123,-3.24009010423694,0.016,0.2,2.63635252330563e-119,"HBG2"
"EGR3",1.16621664444732e-131,3.22317040135424,0.399,0.073,2.32543598902797e-127,"EGR3"
"PSG2",2.02821458507245e-137,-3.22269241750287,0.009,0.194,4.04425988263446e-133,"PSG2"
"PSG5",3.40861896581654e-69,-3.22176482510278,0.005,0.1,6.79678621783818e-65,"PSG5"
"MAD1L1",1.35763465429853e-74,-3.20550083726757,0.015,0.134,2.70712350067128e-70,"MAD1L1"
"NDUFV2",9.70999850446513e-224,-3.16487301316302,0.074,0.434,1.93617370179035e-219,"NDUFV2"
"FGL2",1.30045423826113e-82,3.16092555884689,0.274,0.045,2.59310575109269e-78,"FGL2"
"ANKHD1",5.54760685713521e-228,-3.13502158171385,0.053,0.398,1.10619280731276e-223,"ANKHD1"
"CENPP",2.53924403988209e-135,-3.12226616974579,0.044,0.273,5.06325261552489e-131,"CENPP"
"WWOX",6.94149478689257e-154,-3.10770412049572,0.044,0.295,1.38413406050638e-149,"WWOX"
"CALML4",9.10959427381328e-117,-3.10377942440977,0.036,0.236,1.81645309819837e-112,"CALML4"
"PFDN5",0,-3.09677044315397,0.196,0.743,0,"PFDN5"
"ABCA9",6.97425919246321e-55,-3.09527843139757,0.012,0.102,1.39066728297716e-50,"ABCA9"
"DDT",1.74432434211696e-90,-3.08639055486954,0.024,0.177,3.47818273818122e-86,"DDT"
"HES4",6.00002028785319e-35,3.06449608814687,0.118,0.015,1.19640404539793e-30,"HES4"
"CCDC146",6.32044456129834e-56,-3.05764088969027,0.015,0.111,1.26029664552289e-51,"CCDC146"
"JTB",4.48716948473263e-151,-3.05193288923031,0.057,0.323,8.94741595255686e-147,"JTB"
"FHIT",8.17234834750658e-171,-3.04875727416353,0.078,0.374,1.62956626049281e-166,"FHIT"
"PRG2",0,-3.04858593661726,0.037,0.487,0,"PRG2"
"COMMD3",1.23338093175829e-94,-3.04464514646265,0.036,0.208,2.45936157792602e-90,"COMMD3"
"BHLHE40",2.73253851639172e-128,3.04375717850777,0.374,0.053,5.44868180168509e-124,"BHLHE40"
"SMYD3",1.32074852141571e-129,-3.0302099708653,0.046,0.271,2.63357255170293e-125,"SMYD3"
"MMP19",1.54135194253318e-45,3.02809602397608,0.154,0.021,3.07345577341116e-41,"MMP19"
"PTPRG",3.3265633939398e-140,-3.02591461623941,0.067,0.32,6.63316740751596e-136,"PTPRG"
"HLA-DPB1",4.19151488065483e-93,3.00946175697834,0.33,0.075,8.35788067202573e-89,"HLA-DPB1"
"HERC3",7.49654334591442e-128,-2.99712474405153,0.027,0.229,1.49481074317534e-123,"HERC3"
"TNFSF15",1.61043717632154e-47,2.99308289377381,0.175,0.03,3.21121172958515e-43,"TNFSF15"
"NLK",2.45157046625593e-177,-2.99148426818777,0.063,0.36,4.88843150971432e-173,"NLK"
"ADAMTS17",2.60685327599832e-79,-2.98574197373445,0.031,0.177,5.19806543234066e-75,"ADAMTS17"
"PRKN",3.69827957268102e-131,-2.98335177677546,0.037,0.255,7.37436946792595e-127,"PRKN"
"ARL15",8.7071764848325e-146,-2.9796193178503,0.049,0.298,1.7362109910756e-141,"ARL15"
"MIR646HG",4.08072038452631e-123,-2.9747961671909,0.044,0.258,8.13695644674547e-119,"MIR646HG"
"RBM27",5.68168817128294e-112,-2.96117158640127,0.038,0.234,1.13292862135382e-107,"RBM27"
"SARNP",2.42808985309116e-103,-2.92457734926204,0.03,0.207,4.84161116706377e-99,"SARNP"
"UBE2V1",3.65620767921296e-129,-2.90128556256161,0.039,0.259,7.29047811235065e-125,"UBE2V1"
"KDM6B",8.2001874885522e-210,2.90049088534396,0.581,0.149,1.63511738521731e-205,"KDM6B"
"CCDC85A",9.289985044603e-105,-2.89808130141532,0.041,0.231,1.85242301789384e-100,"CCDC85A"
"CAMKMT",2.35828966450576e-94,-2.89382089493004,0.029,0.192,4.70242959102449e-90,"CAMKMT"
"ROR1",5.45758471952102e-146,-2.87457190299589,0.083,0.353,1.08824239307249e-141,"ROR1"
"FARS2",1.27090337374697e-127,-2.83904568205534,0.049,0.275,2.53418132725146e-123,"FARS2"
"AUTS2",1.79452554011992e-123,-2.83414125602478,0.036,0.244,3.57828392699912e-119,"AUTS2"
"FPR3",2.56533737649567e-38,2.83202945166744,0.14,0.022,5.11528272873237e-34,"FPR3"
"STIMATE",4.53287948174195e-57,-2.82742867956298,0.015,0.112,9.03856168659344e-53,"STIMATE"
"BBS9",6.45924273929099e-94,-2.81551767633077,0.04,0.215,1.28797300221462e-89,"BBS9"
"NR4A3",1.35737575638036e-152,2.80325019300141,0.485,0.127,2.70660725822243e-148,"NR4A3"
"LINC01605",4.52583023260017e-86,-2.79372532393352,0.038,0.201,9.02450548380474e-82,"LINC01605"
"CSH2",1.40734596127079e-161,-2.78892461801404,0.033,0.283,2.80624784677395e-157,"CSH2"
"RPS17",3.42999964433817e-213,-2.78768665161517,0.107,0.469,6.83941929081031e-209,"RPS17"
"UNC5C",1.47696221248437e-130,-2.78418093337958,0.079,0.331,2.94506265169383e-126,"UNC5C"
"SLAMF8",4.15935093334794e-52,2.78308408822785,0.195,0.035,8.29374576109578e-48,"SLAMF8"
"ANAPC10",2.15053577172581e-73,-2.7770580283449,0.029,0.167,4.28816832882126e-69,"ANAPC10"
"LDHB",7.84126430975036e-88,-2.7642166488183,0.061,0.247,1.56354810336422e-83,"LDHB"
"MAGI1",2.419511006529e-151,-2.7453614149634,0.093,0.375,4.82450494701883e-147,"MAGI1"
"NDUFB8",5.05697250803761e-117,-2.74474372841147,0.066,0.295,1.0083603181027e-112,"NDUFB8"
"HLA-DPA1",1.50480183507841e-85,2.72898063806205,0.345,0.103,3.00057485914634e-81,"HLA-DPA1"
"SLC39A1",2.37678062740066e-77,-2.71496026076946,0.036,0.185,4.73930057103691e-73,"SLC39A1"
"HDAC8",6.80002265476782e-136,-2.71068785349971,0.05,0.29,1.3559245173607e-131,"HDAC8"
"RPS10",4.80151035129472e-196,-2.70568672652335,0.128,0.484,9.57421164048168e-192,"RPS10"
"SUPT3H",3.18359340521218e-67,-2.70265232750276,0.022,0.143,6.34808524999308e-63,"SUPT3H"
"BCAS3",7.35768087369749e-128,-2.702489031169,0.054,0.286,1.46712156621528e-123,"BCAS3"
"FCAR",2.60824196663878e-33,2.69391967630769,0.126,0.021,5.20083448147772e-29,"FCAR"
"PARL",3.30901686930405e-108,-2.6906822819469,0.052,0.259,6.59817963739228e-104,"PARL"
"CXCL12",1.65910054988238e-40,2.68519506616354,0.144,0.021,3.30824649646546e-36,"CXCL12"
"NAV2",4.59763186796734e-182,-2.68488370186035,0.14,0.475,9.16767794472688e-178,"NAV2"
"RFX3",1.5270895709638e-107,-2.67244878345831,0.046,0.246,3.04501660450181e-103,"RFX3"
"SCMH1",2.1962452845641e-66,-2.66513077326223,0.023,0.145,4.37931309742081e-62,"SCMH1"
"PRH1",9.14072530638382e-84,-2.66493214272459,0.029,0.181,1.82266062609293e-79,"PRH1"
"TRAPPC5",3.7150432464734e-103,-2.65434701432132,0.073,0.286,7.40779623346796e-99,"TRAPPC5"
"RASAL2",3.77961768085159e-137,-2.64864378030869,0.068,0.323,7.53655765561806e-133,"RASAL2"
"STX11",2.0661187672291e-76,2.63794590389302,0.263,0.045,4.11984082185482e-72,"STX11"
"ATP5PO",3.7550741386011e-121,-2.63466590390413,0.093,0.346,7.48761783237059e-117,"ATP5PO"
"UMAD1",2.9815751881485e-115,-2.62702391942244,0.064,0.287,5.94526092516811e-111,"UMAD1"
"CXCL2",8.2494447330371e-84,2.6260092775605,0.32,0.079,1.6449392797676e-79,"CXCL2"
"DENND2A",1.76311103513633e-45,-2.6254605368882,0.017,0.102,3.51564340406184e-41,"DENND2A"
"AHNAK",2.63233211612484e-191,2.62289894447885,0.564,0.144,5.24887023955293e-187,"AHNAK"
