"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"NUPR1",2.82558187119059e-138,2.10665192341546,0.455,0.105,5.63421025115403e-134,"NUPR1"
"MIR99AHG",1.24550744495446e-55,-2.10508207335136,0.088,0.223,2.48354184523918e-51,"MIR99AHG"
"TRAF3IP2-AS1",2.9457340835245e-49,-2.10486202640422,0.025,0.114,5.87379376254785e-45,"TRAF3IP2-AS1"
"CAMKMT",2.57791649672714e-56,-2.07754158512007,0.064,0.192,5.14036549447391e-52,"CAMKMT"
"FARS2",7.90712377183038e-79,-2.07121983203948,0.1,0.275,1.57668048010298e-74,"FARS2"
"NAALADL2",1.51651480424029e-51,-2.06181061836759,0.071,0.196,3.02393051965514e-47,"NAALADL2"
"RTTN",4.6616238348765e-36,-2.05653065938315,0.038,0.119,9.29527792674374e-32,"RTTN"
"FBXL7",1.62285540077381e-35,-2.05076925343638,0.056,0.147,3.23597366914298e-31,"FBXL7"
"NPAS3",1.61705338308481e-76,-2.04461537186749,0.111,0.288,3.22440444587112e-72,"NPAS3"
"TESK2",6.26249611263997e-39,-2.0214226300301,0.039,0.125,1.24874172486041e-34,"TESK2"
"PDE4D",3.49181850203433e-55,-2.01241977085646,0.1,0.24,6.96268609305646e-51,"PDE4D"
"LBH",4.46342597917195e-57,1.98367751793884,0.238,0.057,8.90007140246887e-53,"LBH"
"SCFD2",9.74978417289252e-46,-1.98332289736701,0.056,0.164,1.94410696407477e-41,"SCFD2"
"CHSY3",1.15237634843766e-57,-1.9799811688408,0.11,0.255,2.2978384387847e-53,"CHSY3"
"ZNF718",3.29304051629225e-37,-1.97117013460555,0.038,0.122,6.56632278948675e-33,"ZNF718"
"ARL15",6.24491395242495e-81,-1.96823831196676,0.113,0.298,1.24523584211354e-76,"ARL15"
"TIAM2",2.15085845968934e-39,-1.95507475205652,0.049,0.143,4.28881176862054e-35,"TIAM2"
"GPHN",3.82569887234113e-59,-1.94849007831381,0.07,0.206,7.62844355144821e-55,"GPHN"
"IGFBP2",6.96157244241497e-44,1.93997942567396,0.203,0.056,1.38813754501755e-39,"IGFBP2"
"C9",5.96114362928514e-66,-1.93907021208536,0.094,0.248,1.18865203967946e-61,"C9"
"ENTPD1-AS1",5.64742448642063e-47,-1.93493304684735,0.054,0.163,1.12609644259227e-42,"ENTPD1-AS1"
"VCAN",6.73586049871265e-45,-1.93050857165752,0.021,0.1,1.3431305834433e-40,"VCAN"
"RGS16",2.75159727864244e-69,1.92781933495498,0.297,0.078,5.48668497361303e-65,"RGS16"
"TFAP2C",2.11004155687545e-38,1.92741284322223,0.167,0.039,4.20742286440965e-34,"TFAP2C"
"COG5",1.57082853274131e-77,-1.90906952440494,0.098,0.272,3.13223209428617e-73,"COG5"
"PCCA",4.36906688766328e-84,-1.90814013731042,0.097,0.28,8.71191937400058e-80,"PCCA"
"CENPP",1.10041373319466e-63,-1.9040895157365,0.115,0.273,2.19422498399015e-59,"CENPP"
"HTR2B",1.25206790483232e-22,1.89716004140837,0.111,0.03,2.49662340223565e-18,"HTR2B"
"PRH1",5.57841948962029e-42,-1.87804310041377,0.072,0.181,1.11233684623029e-37,"PRH1"
"CDKAL1",3.20362744503663e-83,-1.87554903434325,0.122,0.312,6.38803312540305e-79,"CDKAL1"
"AGAP1",5.99051694570699e-26,-1.86939864648064,0.045,0.116,1.19450907897397e-21,"AGAP1"
"CCDC7",5.52968829526679e-41,-1.86841627964526,0.056,0.157,1.1026198460762e-36,"CCDC7"
"VTI1A",1.52139215314602e-94,-1.86762522734823,0.144,0.354,3.03365595337317e-90,"VTI1A"
"XRRA1",1.75414847156151e-43,-1.86148679217421,0.051,0.154,3.49777205229364e-39,"XRRA1"
"OTOA",3.93561582367218e-38,1.86138233790154,0.182,0.049,7.84761795240232e-34,"OTOA"
"SNCA",1.06167413152463e-38,-1.86015948280057,0.036,0.122,2.11697821826011e-34,"SNCA"
"FHIT",9.86703335378362e-77,-1.83417070415472,0.191,0.374,1.96748645074445e-72,"FHIT"
"ICAM4",5.37733400190232e-51,1.81659030000064,0.234,0.063,1.07224039997932e-46,"ICAM4"
"LINC00513",3.46111299010782e-27,-1.81064036564147,0.044,0.116,6.901459302275e-23,"LINC00513"
"SH3RF3",5.77314799491598e-83,-1.80230122554899,0.183,0.379,1.15116571018625e-78,"SH3RF3"
"SMYD3",4.41642394413095e-64,-1.79926478705575,0.11,0.271,8.80634934459711e-60,"SMYD3"
"CYB5D1",4.89936778556139e-44,1.79102237224761,0.206,0.055,9.7693393644094e-40,"CYB5D1"
"BTBD9",3.43511319405985e-56,-1.79097488092833,0.09,0.231,6.84961570895534e-52,"BTBD9"
"TMEM117",2.37388754977401e-69,-1.79045766125612,0.14,0.313,4.73353177424938e-65,"TMEM117"
"LRMDA",5.59943676339327e-94,-1.78592944546011,0.287,0.49,1.11652769062062e-89,"LRMDA"
"AUTS2",2.44060728403357e-52,-1.78295033484446,0.105,0.244,4.86657092436293e-48,"AUTS2"
"SMURF1",4.1019821934507e-43,-1.78160135938091,0.075,0.188,8.1793524937407e-39,"SMURF1"
"ANKAR",1.79379499486092e-34,-1.77331879753447,0.055,0.145,3.57682721975268e-30,"ANKAR"
"LINC01500",5.69353366264106e-14,-1.76888109468774,0.069,0.123,1.13529061233063e-09,"LINC01500"
"TTC13",3.29026015950593e-35,-1.76675172722436,0.051,0.14,6.56077875805483e-31,"TTC13"
"IMMP2L",2.88186700836582e-55,-1.76504752655739,0.109,0.255,5.74644281468144e-51,"IMMP2L"
"ARMCX4",8.38729375826768e-27,-1.76313851429647,0.037,0.104,1.67242637539857e-22,"ARMCX4"
"FTX",1.06172381106551e-75,-1.76279127061832,0.227,0.406,2.11707727926463e-71,"FTX"
"BCAS3",4.04838381934213e-68,-1.76201705947381,0.117,0.286,8.07247733576821e-64,"BCAS3"
"HBG1",2.61981932136138e-19,1.76159551280686,0.156,0.069,5.22391972679458e-15,"HBG1"
"DENND1A",4.9521392851469e-89,-1.76048382632986,0.217,0.42,9.87456573458293e-85,"DENND1A"
"TSPOAP1",7.69113465551542e-26,1.7545676225175,0.133,0.038,1.53361225030977e-21,"TSPOAP1"
"FAM172A",3.92249570839509e-80,-1.75274249852212,0.15,0.342,7.82145644253981e-76,"FAM172A"
"NOTUM",3.85956130850616e-51,1.75241758037536,0.318,0.132,7.69596524916128e-47,"NOTUM"
"LDAH",2.67301882991506e-41,-1.74854693771478,0.057,0.16,5.32999954685064e-37,"LDAH"
