"subtype","dataset","disease_group","UMAP_1","UMAP_2","trimester"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-2.85943912497933,5.84879640110928,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-1.97501455775674,5.45017102726894,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.722236832298591,-0.275933679256859,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.0137163304465552,-1.69546731940311,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.46672426692422,-1.13959976664585,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.311568806253121,0.364653874125061,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.63420390120919,0.384408984269677,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.28153954974587,0.126060511853276,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.93389200202401,-0.432693626795234,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.74606489173348,-0.475273158464851,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.86730729571755,-0.511200454149666,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.80935501090462,-0.45640828839344,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.63014363280709,-0.141771581087532,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.98536836139138,-0.428798224840583,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.88900946608956,-0.360045101557197,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.01247214309151,0.015629459108887,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.09649216166909,-0.588102605257454,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-3.00514363280709,0.748883578862725,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.07334982387002,-0.470149900827827,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-1.62290393344338,-0.26546972623867,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.00328146449502,-0.150946732674064,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-3.67524742118294,3.47951820858913,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.317713091455148,2.66937187680203,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.12661515704568,0.0615028030534366,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-0.282061582125976,-1.86301943293613,"Late"
