"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"BMT2",1.02367582393328e-05,-0.425618375831001,0.118,0.152,0.204120959292297,"BMT2"
"RB1",2.45191177628291e-13,-0.425492456338679,0.515,0.565,4.88911208190812e-09,"RB1"
"PDGFC",1.03635238365969e-10,-0.425453460207452,0.445,0.488,2.06648665301742e-06,"PDGFC"
"WDR6",0.000199845370871715,-0.425185839505149,0.091,0.118,1,"WDR6"
"SRCAP",0.0021602003672119,0.424972692748605,0.103,0.081,1,"SRCAP"
"NISCH",4.45241883858982e-16,0.424859850616981,0.31,0.225,8.8781231641481e-12,"NISCH"
"EIF5",4.38131801971926e-55,0.424495777636668,0.723,0.541,8.73634813132021e-51,"EIF5"
"TMEM131",4.88974625188068e-09,-0.424128245738523,0.339,0.388,9.75015402625008e-05,"TMEM131"
"RALGAPA2",6.23945787604629e-06,-0.424108771121961,0.22,0.257,0.124414790048363,"RALGAPA2"
"CCDC32",2.55796950899935e-06,-0.424030111850452,0.192,0.235,0.051005912009447,"CCDC32"
"EML3",9.21774457279501e-08,0.423926908503541,0.118,0.079,0.00183801826781532,"EML3"
"STRN3",1.84673848616444e-08,-0.423783362822521,0.153,0.202,0.00036823965414119,"STRN3"
"R3HDM2",3.03661611322716e-09,-0.423700155421971,0.237,0.297,6.05501252977496e-05,"R3HDM2"
"UQCRB",4.04363058976479e-06,-0.423647732320955,0.539,0.548,0.0806299939599099,"UQCRB"
"ATXN2L",2.14368249789351e-13,0.423410172124749,0.308,0.232,4.27450290079967e-09,"ATXN2L"
"BZW1",1.72772682002299e-33,0.423364863643482,0.486,0.343,3.44508727912584e-29,"BZW1"
"ENTPD1",5.31757080043332e-11,-0.423244121764372,0.133,0.192,1.0603236176064e-06,"ENTPD1"
"RELB",3.9106638086167e-15,0.423115137851971,0.295,0.209,7.7978636343817e-11,"RELB"
"SUZ12",0.000192770564006414,-0.423060033613801,0.22,0.255,1,"SUZ12"
"GLS",1.3685786850672e-11,0.422593166589863,0.457,0.386,2.72894589802399e-07,"GLS"
"KMT2B",1.88577115429861e-08,0.422525170856951,0.185,0.134,0.000376022768167143,"KMT2B"
"CNIH4",8.81743971176909e-13,0.422475151013318,0.193,0.129,1.75819747852676e-08,"CNIH4"
"AGPS",6.33823186538681e-05,-0.422365596189474,0.221,0.258,1,"AGPS"
"MRPS23",0.695765521483739,-0.422148138545059,0.134,0.135,1,"MRPS23"
"CEP290",8.55652214350159e-06,-0.422099958452742,0.107,0.142,0.170617051541422,"CEP290"
"PRICKLE2",3.30562593494541e-08,-0.421221886009468,0.086,0.128,0.000659141811428115,"PRICKLE2"
"TGFBR1",8.79249087713341e-09,-0.421099048009985,0.399,0.439,0.00017532226809004,"TGFBR1"
"PTPRE",2.56654860607822e-18,0.421030849046922,0.468,0.375,5.11769792051998e-14,"PTPRE"
"HSPD1",3.07389021756632e-68,0.420520118610386,0.796,0.589,6.12933709382724e-64,"HSPD1"
"NONO",1.83004911133276e-19,0.420410305198136,0.374,0.272,3.64911792799752e-15,"NONO"
"ECHDC2",3.55298514163714e-05,-0.420169682703654,0.091,0.121,0.708465237242446,"ECHDC2"
"SAP30BP",5.11023611446049e-10,0.420128742125306,0.237,0.178,1.01898108122342e-05,"SAP30BP"
"TMCO3",0.000291183763096534,0.419923820591887,0.142,0.112,1,"TMCO3"
"ODC1",0.000622684427874518,-0.419849464863529,0.176,0.204,1,"ODC1"
"PSIP1",0.0991491814129386,-0.419811314015204,0.161,0.175,1,"PSIP1"
"CYB5B",0.269264062141641,-0.419691186097119,0.122,0.13,1,"CYB5B"
"CNOT10",0.105687226102013,-0.419577248727617,0.099,0.109,1,"CNOT10"
"SLC25A36",3.41991149240663e-07,-0.419385626145942,0.188,0.237,0.00681930351585882,"SLC25A36"
"MINK1",8.61947488588688e-08,0.419317644065061,0.188,0.139,0.00171872329224584,"MINK1"
"LPIN2",2.0692721470386e-07,-0.418882395322082,0.257,0.307,0.00412612866119498,"LPIN2"
"EIF4G2",1.29838462871575e-63,0.418849407892373,0.725,0.564,2.5889789496592e-59,"EIF4G2"
