"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"HMG20A",3.43073192694702e-85,0.320980827221305,0.492,0.163,6.84087946233235e-81,"HMG20A"
"DDHD2",3.51946642036328e-85,0.691190314972894,0.264,0.056,7.01781604220437e-81,"DDHD2"
"STX12",3.59341185273363e-85,0.38698158354146,0.809,0.322,7.16526323435086e-81,"STX12"
"AMMECR1",3.73204405026824e-85,0.997770243962051,0.251,0.051,7.44169583623486e-81,"AMMECR1"
"PHF6",3.81611908065575e-85,0.259588415173351,0.475,0.154,7.60934144682757e-81,"PHF6"
"TMC4",3.97444160247974e-85,1.13209069008931,0.214,0.035,7.9250365553446e-81,"TMC4"
"DNMT1",4.87224996652771e-85,0.445205393069678,0.707,0.27,9.71526643325625e-81,"DNMT1"
"OGT",6.45752305210303e-85,0.226847390000125,0.56,0.193,1.28763009658934e-80,"OGT"
"CEP57L1",6.5091503310359e-85,0.61335856307667,0.36,0.102,1.29792457600856e-80,"CEP57L1"
"KMT2A",6.85557634189687e-85,0.404744714799216,0.635,0.231,1.36700192257424e-80,"KMT2A"
"ZBTB37",7.00861521884364e-85,0.598045776985536,0.302,0.073,1.39751787463742e-80,"ZBTB37"
"ENY2",7.90074235979048e-85,-0.653210197719579,0.886,0.728,1.57540802654222e-80,"ENY2"
"MYO15B",8.07609883582324e-85,0.491880356176855,0.271,0.059,1.61037410786315e-80,"MYO15B"
"HBEGF",1.17636663221411e-84,0.409123284480495,0.739,0.3,2.34567506463494e-80,"HBEGF"
"LINC01176",1.34762087761078e-84,1.10500389112843,0.202,0.03,2.6871560299559e-80,"LINC01176"
"ZNF429",1.42255237779503e-84,1.25495339171206,0.193,0.027,2.8365694413233e-80,"ZNF429"
"UPP1",1.43619993106498e-84,0.347929831807447,0.508,0.172,2.86378266254358e-80,"UPP1"
"CTSD",1.50871439806516e-84,0.163833657332097,0.997,0.941,3.00837650974193e-80,"CTSD"
"ZFP90",1.65599891504306e-84,0.505448606198996,0.297,0.071,3.30206183659586e-80,"ZFP90"
"ZNF420",1.6728380668763e-84,0.913059074669365,0.238,0.045,3.33563910535134e-80,"ZNF420"
"ZCCHC14",1.69795217735291e-84,0.735088110413438,0.253,0.052,3.38571664164171e-80,"ZCCHC14"
"MSANTD2",1.86470214840037e-84,0.95703758023657,0.232,0.043,3.71821608391034e-80,"MSANTD2"
"SLC7A8",1.88223126427484e-84,0.503587234765969,0.941,0.478,3.75316914096403e-80,"SLC7A8"
"CHD1L",1.88494010211409e-84,-10.2483130736625,0,0.179,3.75857056361549e-80,"CHD1L"
"FAF2",1.89892963093692e-84,0.313903028247795,0.546,0.188,3.78646568408822e-80,"FAF2"
"ZDHHC5",1.97773137772168e-84,0.303180151086144,0.468,0.151,3.94359636717703e-80,"ZDHHC5"
"SUZ12",2.1298872667737e-84,0.433035921981825,0.764,0.295,4.24699520994676e-80,"SUZ12"
"TRIM23",2.52938407273624e-84,0.636379728498152,0.263,0.056,5.04359184103606e-80,"TRIM23"
"GMPS",2.58918160980782e-84,0.356416998035889,0.529,0.181,5.16282812995679e-80,"GMPS"
"NDUFC1",2.69529706437625e-84,-0.780319623877185,0.84,0.699,5.37442234636625e-80,"NDUFC1"
"AMFR",2.70634466389196e-84,0.317726912766571,0.418,0.128,5.39645125980057e-80,"AMFR"
"ZNF354B",2.77180315498276e-84,0.851350240097286,0.246,0.049,5.52697549103563e-80,"ZNF354B"
"SLC25A26",2.8953613260517e-84,0.379212470414633,0.479,0.158,5.77335048414709e-80,"SLC25A26"
"HEBP1",3.2236792031704e-84,0.419135329825271,0.766,0.306,6.42801633112177e-80,"HEBP1"
"GMIP",3.31716973794527e-84,0.246061147239955,0.476,0.154,6.61443645746286e-80,"GMIP"
"UTP20",3.3630698505231e-84,0.919960556265069,0.261,0.056,6.70596128194307e-80,"UTP20"
