"g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20","g21","g22","g23","g24","g25","g26","g27","Gene"
9.85696905882794,8.87699126309422,5.23299112991529,8.12059110904344,2.18211575281352,8.58913515869977,8.21359864507872,5.36138234470043,5.82501643960609,4.38778460642642,5.57248860540038,4.14110457893793,6.90795529928518,8.62030894240304,1.91572371048004,5.50078727901933,4.28751936190457,3.75356997578789,2.64034121633173,4.47156359618599,6.47711386762222,4.26691787002445,4.86929645579054,3.95126626237106,5.27561863633031,6.08965175356014,4.10348442494727,2.87609024570312,"CD163"
17.4178762454629,10.9241709899988,5.0228634802492,13.7289628772554,4.7428293104954,10.852178619657,13.8424033460923,7.27064560340515,6.69801621829896,6.14038949424573,6.27559519754666,4.62950760915999,10.1618040708348,14.3168281007547,3.95869057159047,9.50609553884768,6.53156459002164,5.443895628592,8.02467502873584,7.36105579416508,9.86396110408283,4.95331301281799,8.3062496853042,4.26588815635929,5.07442482841207,3.82759418600227,4.57001605849436,2.68317850608574,"C1QB"
0.0337724437123684,0.168079794702245,1.86036581852677,0.0920441984485593,0.161184744243735,0.181347517578033,0.0487874314159935,0.0514547513301983,0.304072261762925,0.0760016031623494,0.162639462223704,0.0192584177542076,0.136273932747103,0.0855118664933985,0.230401966673656,0.139228338044284,1.62891790665048,0.016992580138871,0,0.889247922243635,0.135719074446104,1.58796245940633,0.0789741469045958,1.16340227597559,0.00705498190906229,2.56789852242921,2.00493898917164,0.251457400840124,"SOX5"
0.0107492703005831,0.011412267612081,0.026063453036188,0.0541658875662088,0.109540699258129,0.0102968835366294,0.0157164450670183,0.0223365619189537,0.0154739494177503,1.04307990603401,0.0154682642725573,0.0279755785887804,0.00160984057106473,0.0235550868131579,0.0856133224135169,0.0498718497454662,0.033655553966968,0,0.0138317195453238,0.0723600140937929,0.0882797066648332,0.0913011419141201,0.00988410454171798,0.0149175176306,0.0115443142433715,0,0,0,"BUB1B"
0.412360766580168,1.07004431903766,0.266883193166916,0.256011618618051,0.1019782755994,0.451738445191422,0.451056956398154,0.13898701782173,0.170808744985562,0.20404891331372,0.929270910848699,0.597162890860218,1.22919187367038,0.332350546613123,0.0918752319422975,0.143221719773461,0.580503995372697,0.17035252088878,0.165732078806729,0.310337478965731,0.524317213201075,0.0520767163043692,0.125824842350539,0.0758869939790787,0.376863167013803,0.125336525525733,0.618025543022505,0.147077808260978,"PTGS2"
1.95135036990697,6.95657802449293,2.89240248806753,2.96845401226839,1.4544348447069,4.64194268173968,2.86304284068013,2.25202145453036,1.62062065927333,2.63117379365115,5.30835141815553,3.712139210702,10.0223161439655,2.45247749652714,0.812355501795527,1.31566008215669,2.70893971624286,2.77558567273044,0.997903740933798,2.44539735952501,3.82798680049628,0.583995655987184,2.24237957131874,0.76528128298153,2.91498534045351,1.36297733967,3.52943584692114,4.36888104085581,"CXCL8"
1.08001135845236,6.96818944899465,8.43807291506848,8.53197960913969,2.16347421586859,8.16669945176511,5.18689794669708,6.05482615236968,7.0260686339693,4.69586637102662,4.28181306583084,4.83965186882901,9.95481961770882,0.976951177436971,1.56706367383963,1.56281131136636,7.5533803626213,4.92789045728742,2.47817884117575,3.48200314504827,7.76005585970216,9.78776923493976,4.32936750869356,7.17698637051603,4.69507238787954,10.7670609562978,3.84583132462607,5.1562771970358,"CD36"
9.33026253772038,8.286162428859,4.2629849552991,10.8324461335536,2.29977425563181,9.12902552355314,11.3533548448694,7.26789459889044,5.65753591573237,5.35071453533599,6.01198383135327,4.67757229911974,8.79588455221556,7.52503595917717,2.08322397385769,4.63405157183743,3.82885966865269,4.90290264093977,1.83323138041266,4.1412382114248,6.52392826611221,4.63371041769922,3.97969403924904,2.94758972956388,3.4227108633741,3.27861318490774,3.5814410748815,3.87198104385654,"FOLR2"
0.0329212969297802,0.106409777332414,1.3219037646192,0.0495109047817438,0.0900406057697078,0.0744173826459918,0.0229083302607299,0.0709833854505807,0.287093913472123,0.0359466770478754,0.293627980111284,0.0469691192904871,0.0318258237846534,0.0314064458236653,0.120338380880608,0.0495751599600614,0.0385794196378372,0.094183128208693,0.00853089735397826,0.0972873330349825,0.185685770748747,1.10210130567856,0.0320475328629782,1.02957970844601,0,1.77816194376878,1.50768685876542,0,"C9"
2.70203924422884,3.4517605311505,0.533116209701148,1.1386496236391,0.864641020959898,1.63427171553875,0.850598839530435,0.405223469742144,0.341377931779608,1.30315857175663,2.91663235953222,2.97174493549724,8.70956607120684,2.8402959107348,0.700946415191359,5.77413089258189,1.25802674454318,1.20076695627991,0.775859873045977,1.43145788299031,1.45182821109667,0.130953489679258,1.0199501296107,0.214391868514691,2.49876571025226,0.217328107822923,2.12316377823174,3.3640628674133,"DUSP2"
4.03810896646394,9.58410102783462,6.55264061403698,11.4573957273084,2.7023395896776,10.2228102004215,11.1606426390818,7.26227188009216,6.59428757103115,5.43420378232117,6.29630923700694,4.84071720026428,10.5140949224376,4.78914332884937,1.83819170475079,2.65877790909222,4.61098334185199,5.26820129220356,11.6335817795488,4.62153711536642,7.21780742500126,6.91650743412253,4.1148985946303,5.42631619073974,2.89816580587869,6.95272976763161,4.51032600548559,5.78884783348553,"LYVE1"
