"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","Count"
"GO:1904869","regulation of protein localization to Cajal body",11,-0.627179541371658,-1.50044056920574,0.0801603206412826,0.390233238143386,0.347257529917954,3540,"tags=100%, list=37%, signal=63%","CCT6A/MEPCE/LARP7/CCT3/TCP1/CCT5/CCT8/CCT2/CCT7/DKC1","Infection",10
"GO:1904871","positive regulation of protein localization to Cajal body",11,-0.627179541371658,-1.50044056920574,0.0801603206412826,0.390233238143386,0.347257529917954,3540,"tags=100%, list=37%, signal=63%","CCT6A/MEPCE/LARP7/CCT3/TCP1/CCT5/CCT8/CCT2/CCT7/DKC1","Infection",10
"GO:0090504","epiboly",21,0.482704645195022,1.47812220623143,0.0801322884681039,0.390233238143386,0.347257529917954,2140,"tags=43%, list=23%, signal=33%","CLASP1/CD44/CLASP2/MTOR/PTEN/RREB1/ARHGAP35/ADAM17/FLNA","Infection",9
"GO:0046599","regulation of centriole replication",18,-0.550838006594579,-1.46701225091509,0.079696394686907,0.390233238143386,0.347257529917954,102,"tags=28%, list=1%, signal=28%","RBM14/NPM1/KAT2A/PLK2/NUP62","Infection",5
"GO:0044786","cell cycle DNA replication",31,-0.474028558599744,-1.42633838243822,0.0796296296296296,0.390233238143386,0.347257529917954,1409,"tags=35%, list=15%, signal=30%","ZNF830/MCM6/ZPR1/PCNA/LIG1/MCM3/GMNN/MCM4/MCM2/TK1/FEN1","Infection",11
"GO:0006623","protein targeting to vacuole",39,0.384215130331736,1.35442572823234,0.0801781737193764,0.390233238143386,0.347257529917954,2896,"tags=44%, list=31%, signal=30%","SMURF1/VPS54/VPS8/VPS13D/NEDD4/AP3B1/PXK/VPS53/VPS13C/VPS41/VPS13A/ZFYVE16/PIK3C3/PIK3R4/ATG14/SNX16/GNPTAB","Infection",17
"GO:0009612","response to mechanical stimulus",113,0.291502963588437,1.27468681938859,0.0802694383796447,0.390278372509815,0.347297693715059,2097,"tags=32%, list=22%, signal=25%","KCNQ3/PKD1L3/ANKRD23/PKD2L2/ANGPT2/FOSL1/SLC8A1/PDE2A/TTN/CRADD/PTK2/THBS1/MAPK8/MAP3K14/SCN1A/MAP2K4/PKD2/MEIS2/NFKB1/TNFRSF10A/SRC/PIK3CA/HTT/MAPK14/DMD/KCNQ1/IL1B/USP53/RETN/STAT1/BACE1/MAP3K2/CASP8/TXNIP/SCN9A/IGF1R","Infection",36
"GO:0043112","receptor metabolic process",55,0.348245859428362,1.3294013441656,0.0804597701149425,0.390406224003187,0.347411465145693,2518,"tags=38%, list=27%, signal=28%","SMURF1/TBC1D16/SNX25/NSF/UVRAG/ITCH/ARFGEF2/NEDD4/FUT8/USP9X/MTMR2/KIF16B/FURIN/EPS15/INPP5F/ALS2/PTPN2/PSEN1/LMTK2/PIK3R4/DTX3L","Infection",21
"GO:0046903","secretion",456,0.22166554840959,1.16384283918,0.0803894550957963,0.390406224003187,0.347411465145693,2628,"tags=33%, list=28%, signal=25%","VDR/PCSK5/MYOM1/SLC16A10/PLCB1/PRKG1/RFX3/ABCC4/PRKCE/EXOC6B/CYP51A1/RABGEF1/PDE8B/ERC2/SYT6/FOXO1/SYT1/STXBP4/RAB12/FER/DYSF/MCU/GAB2/MCTP1/EXOC4/STXBP5/SLC4A8/ITPR1/TTN/CLASP1/TLR2/MYO1G/TANGO6/MCTP2/MERTK/SYTL3/TVP23C/ADGRE2/RAB11FIP3/APBA1/NCOA1/BRAF/NF1/PLA2G6/RIC1/SYTL4/ACSL4/STC1/NSF/FRMD4A/UNC13B/CBL/PLA2G4A/ARFGEF2/TRPV1/JAK2/RAP1GDS1/OAS2/ATP9A/EXOC2/SYNJ1/ARFGEF1/CLASP2/ABCG1/LRRK2/CD2AP/RSAD2/FBXL20/RBM4/EXOC6/CLOCK/ITSN1/SYT11/RAB3GAP1/PPP3CA/PIK3C2A/HIF1A/ACSL3/FCGR3A/TRAPPC11/KCNQ1/IL1B/SUCNR1/MIA2/STX11/PAX8/CYB5R4/MYO18A/KLF7/AP1G1/PRLR/CPT1A/IL4R/FURIN/PPARG/RAB11FIP2/CACNB4/RETN/RIMS3/CHD7/PCLO/PIK3CG/ABAT/TCF7L2/STAT5B/STAM/RAB31/RAB8B/CRY1/EDNRB/WNK1/LILRB1/MYOF/SEC24A/STXBP6/PSEN1/CREB1/SYK/FOSL2/ALOX5/CRY2/EXOC5/ADAM9/KPNA4/CTBP2/PPP3CB/SEL1L/ABCA1/SPP1/DNAJC1/SMAD4/PREPL/SERGEF/SOCS2/WDR41/RAB27A/PAFAH1B1/STX17/DNM1L/ATG5/LYN/SNX19/ARFIP1/S100A8/STX3/STX2/HRH2/NCOR2/ARFGAP3","Infection",149
"GO:0072595","maintenance of protein localization in organelle",37,-0.459342372568924,-1.44455348073248,0.0807339449541284,0.391337655785796,0.348240319965069,2906,"tags=54%, list=31%, signal=38%","RANGAP1/PML/TAF8/KDELR1/SKP1/TSPO/HK2/CHCHD10/RER1/SUN2/TMED2/PARK7/ARL2BP/SUPT7L/ARL2/PINK1/GPAA1/CDK5/INSIG1/KDELR2","Infection",20
