"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC35A5",2.89858146101809e-11,-0.333507631868168,0.1,0.165,5.36005683771465e-07
"LYL1",2.96477542108811e-11,0.559487790296498,0.427,0.372,5.48246270867614e-07
"DGAT1",2.99665960913366e-11,-0.370971193539186,0.085,0.145,5.54142294920996e-07
"SLC44A2",3.0243406663787e-11,-0.320390736513894,0.121,0.19,5.5926107602675e-07
"RPS15A",3.05569036616755e-11,-0.231348361596077,0.939,0.911,5.65058262511704e-07
"ATP1B3",3.07271724413115e-11,0.312603354282736,0.541,0.514,5.68206872784733e-07
"WLS",3.07836428894673e-11,-0.184744741620085,0.352,0.455,5.69251124312029e-07
"CUL4B",3.08445637351163e-11,-0.200123583225926,0.247,0.344,5.7037767258977e-07
"CBX7",3.28584576468062e-11,-0.369242614838316,0.081,0.14,6.0761859880474e-07
"NASP",3.37996937204836e-11,0.406875889362883,0.507,0.471,6.25023936279182e-07
"OXR1",3.38228799697341e-11,-0.317922785181637,0.26,0.35,6.25452696400323e-07
"IL18",3.51790587690131e-11,0.864745402459653,0.282,0.217,6.50531154756589e-07
"RIT1",3.53215096806127e-11,0.788846420707962,0.255,0.188,6.5316535701389e-07
"UFC1",3.55237289643503e-11,0.456008404322368,0.399,0.335,6.56904796008766e-07
"NUP155",3.58639834792816e-11,-0.487851392014969,0.075,0.131,6.63196782498875e-07
"ARID4A",3.59931177700346e-11,0.565641160071215,0.408,0.349,6.65584733803479e-07
"MNAT1",3.60207401603555e-11,-0.465680272347825,0.116,0.181,6.66095527045294e-07
"SCN9A",3.74676775462145e-11,-0.114663739856431,0.677,0.721,6.92852293184598e-07
"RPN2",3.81078854615633e-11,-0.134320287693344,0.55,0.625,7.04691017955228e-07
"JAK3",3.816627081402e-11,-0.295097119606315,0.211,0.294,7.05770679892857e-07
"BSCL2",3.82840585108237e-11,-0.375347570805111,0.082,0.142,7.07948809982151e-07
"TLR7",3.91498024324655e-11,0.522714290443956,0.52,0.477,7.23958146581151e-07
"LGALS3BP",3.94147375027232e-11,0.586826007043744,0.446,0.385,7.28857325900358e-07
