"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"FDFT1",0.376717728172874,0.170897368833456,0.135,0.13,1,"FDFT1"
"SCIN",0.376750886951454,-0.134757750427278,0.368,0.357,1,"SCIN"
"MED1",0.377011278678884,-0.0902079722899969,0.176,0.189,1,"MED1"
"ETV6",0.377055554033299,0.0337892559315988,0.252,0.273,1,"ETV6"
"UQCRC2",0.377418151137361,-0.254757484017924,0.271,0.286,1,"UQCRC2"
"MPV17",0.377749634277163,-0.0948157841123586,0.251,0.246,1,"MPV17"
"WDR33",0.378119047914484,-0.0618246767945631,0.207,0.222,1,"WDR33"
"WIPF1",0.378414627539955,-0.176820026624162,0.517,0.527,1,"WIPF1"
"BUB3",0.378605915708687,0.0104936374355143,0.22,0.215,1,"BUB3"
"EIF3J",0.379247573787252,-0.181492359624002,0.228,0.243,1,"EIF3J"
"VEZT",0.379431996132292,-0.0517469657000943,0.133,0.144,1,"VEZT"
"NUP153",0.379951826339986,0.188178737464048,0.19,0.189,1,"NUP153"
"TPM1",0.380011953452305,-0.14940045585399,0.563,0.544,1,"TPM1"
"IKBIP",0.380150922983663,-0.0409879761068295,0.234,0.232,1,"IKBIP"
"LARP4",0.380171228124499,-0.0529951097398674,0.323,0.32,1,"LARP4"
"NCOA6",0.380594615346956,0.110143731261337,0.154,0.149,1,"NCOA6"
"ACP5",0.38070366262005,-0.114782726270304,0.209,0.223,1,"ACP5"
"MRPL57",0.38116589338949,-0.250535519696611,0.32,0.333,1,"MRPL57"
"TTL",0.381184462351594,0.187625515834092,0.173,0.168,1,"TTL"
"PGRMC2",0.381208920972762,-0.153499568789912,0.15,0.16,1,"PGRMC2"
"SYPL1",0.381215084348412,-0.13328594707663,0.243,0.256,1,"SYPL1"
"RHOU",0.381346584243155,0.00700916091054149,0.26,0.276,1,"RHOU"
"SECISBP2",0.381794902824683,0.160257113632086,0.193,0.192,1,"SECISBP2"
"ANKRD13C",0.382121578457053,0.104526662624169,0.11,0.119,1,"ANKRD13C"
"ECI1",0.382756165993558,-0.206639552272899,0.156,0.148,1,"ECI1"
