"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC00486",1.29491978230538e-20,-8.77501139337356,0,0.172,2.39456566143911e-16
"TMEM258",1.32492540923686e-20,-0.300660173384814,0.61,0.877,2.4500520667608e-16
"PCMT1",1.37722208642015e-20,-0.738182090323313,0.308,0.514,2.54675908220814e-16
"POLR2F",1.44658823000973e-20,-0.327169572413752,0.491,0.69,2.67503095493399e-16
"COL1A1",1.50065035044704e-20,-2.6429730851406,0.012,0.193,2.77500262804666e-16
"GNG2",1.51302273044194e-20,-0.925229781828215,0.343,0.537,2.79788163313323e-16
"PAIP2",1.51998980720215e-20,-0.433681202748608,0.435,0.647,2.81076515147822e-16
"HLA-G",1.55219085691092e-20,2.15580469684836,0.301,0.142,2.87031133259967e-16
"SRP9",1.71161724219912e-20,-0.44801520219476,0.498,0.719,3.16512260427461e-16
"KLF10",1.72693650806242e-20,-1.27441942624516,0.187,0.41,3.19345099070903e-16
"PPP2R1A",1.84175061722695e-20,-0.528815643979943,0.428,0.637,3.40576524137608e-16
"LSM7",1.907783340842e-20,-0.285166901958122,0.479,0.718,3.52787295388502e-16
"CMTM7",1.97158986896738e-20,-0.944817469557781,0.371,0.563,3.64586398569449e-16
"SUMO3",2.1963469396984e-20,-0.451791841377756,0.495,0.701,4.06148476089029e-16
"NDUFA12",2.26961904126265e-20,-0.183411159167236,0.463,0.68,4.1969795311029e-16
"EIF4EBP1",2.31777192537354e-20,-0.601624719087322,0.472,0.696,4.28602384440075e-16
"TMEM167A",2.40961274197659e-20,-0.297473132402471,0.423,0.629,4.45585588246312e-16
"CCDC167",2.41498883939895e-20,-1.18341601612639,0.252,0.448,4.46579736181654e-16
"TLN1",2.46627286652711e-20,0.774912546331622,0.666,0.613,4.56063178478194e-16
"DRAM2",3.03385097690006e-20,-0.471273768075922,0.463,0.694,5.61019722648359e-16
"PMVK",3.32736835661306e-20,-0.665841123265529,0.374,0.573,6.15296956504888e-16
"CHMP5",3.37787673379953e-20,-0.457834559265166,0.456,0.675,6.24636965614209e-16
"RPL4",3.52309106167611e-20,0.555402171883686,0.836,0.94,6.51489999125145e-16
"TSC22D3",3.54191566141455e-20,-0.869750306963593,0.327,0.533,6.54971044108778e-16
"HCK",3.58137272247087e-20,-0.726667339526756,0.409,0.618,6.62267443839313e-16
"RPS19BP1",3.73576833614392e-20,-0.509535099457981,0.453,0.657,6.90818280719733e-16
"POLR2I",4.39839158967995e-20,-0.606908781409251,0.379,0.58,8.13350572763616e-16
"UBE2F",4.49009062186714e-20,-0.603324249139037,0.437,0.638,8.30307557795672e-16
"SRP14",4.99055774125709e-20,0.389944795311721,0.825,0.97,9.2285393751326e-16
"CD47",5.17812168069487e-20,-0.433435826833249,0.521,0.707,9.57538261194095e-16
"MRPL12",5.50164985204992e-20,-0.805928282478422,0.313,0.514,1.01736509064107e-15
"ARF6",5.63298714006728e-20,-0.537494849640578,0.481,0.685,1.04165198194124e-15
"HTRA1",5.66913031121973e-20,2.64333466772605,0.199,0.075,1.04833557715075e-15
"RHEB",5.7610987046543e-20,-0.396716025314058,0.451,0.676,1.06534237246467e-15
"LY96",6.2478530835798e-20,-0.499285789412403,0.605,0.873,1.15535299221558e-15
"CHMP2A",6.57474189317461e-20,-0.161404036886595,0.556,0.799,1.21580127088585e-15
"KXD1",7.41531942811778e-20,-0.751266355058397,0.311,0.515,1.37124086864754e-15
"RPL31",1.00951301392857e-19,0.482048381599999,0.843,0.982,1.86679146535672e-15
"SSBP1",1.02130462528967e-19,-0.25446920127377,0.549,0.767,1.88859651308565e-15
"GNAQ",1.27699747222776e-19,-0.941653538270094,0.32,0.493,2.36142372564357e-15
"PSMC5",1.31775932415449e-19,-0.526293585666807,0.428,0.633,2.43680054222649e-15
"ROMO1",1.3796957507426e-19,-0.264312825863702,0.509,0.738,2.55133338227321e-15
"PPP2CA",1.45252985104439e-19,-0.64302241037658,0.376,0.576,2.68601820055129e-15
"TRAPPC2L",1.45981715536045e-19,-0.358887176549693,0.488,0.704,2.69949388369254e-15
"GAPLINC",1.61200484965416e-19,-0.685369717816902,0.315,0.524,2.98091936798047e-15
"MRPL34",1.78070711750475e-19,-0.558630527591396,0.428,0.636,3.29288360168979e-15
"DPM1",1.99018381082033e-19,-1.153098730684,0.243,0.436,3.68024790296895e-15
"A2M",2.11441680963191e-19,0.603474121767771,0.694,0.776,3.90997956437133e-15
"SF3B5",2.13109242382822e-19,-0.319324835405362,0.551,0.789,3.94081611014314e-15
"TMEM141",2.14293779669968e-19,-0.513056262003882,0.407,0.612,3.96272057365705e-15
"POLR2J",2.15543727673368e-19,-0.32335879384308,0.472,0.71,3.98583461213593e-15
"NDUFS8",2.24655086840155e-19,-0.412992173271234,0.535,0.76,4.15432186584815e-15
"BTF3",2.29574237853077e-19,0.444722171476389,0.811,0.956,4.24528680637911e-15
"NAA20",2.37204305654015e-19,-0.456481045868869,0.537,0.769,4.38638202015405e-15
"PSMA4",2.40783462322434e-19,-0.310391132214188,0.549,0.784,4.45256778526646e-15
"ARID3A",2.48568360628154e-19,0.864668886471584,0.727,0.702,4.59652612473583e-15
"MRPL55",2.96045511350537e-19,-0.782741659791449,0.318,0.509,5.47447359589413e-15
"HCFC1R1",3.0125397467983e-19,-0.730249230174526,0.332,0.533,5.57078849977942e-15
"VMA21",3.10493339430161e-19,-0.747554668421402,0.334,0.541,5.74164283274254e-15
