"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","Count"
"GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage",53,0.479484848153779,1.4690798436541,0.0485781990521327,0.295597235506908,0.259399280299145,1397,"tags=40%, list=22%, signal=31%","NUPR1/CDKN1A/DDIT4/TNF/IER3/MIF/FNIP2/CD44/BCL2L11/BCL2A1/SHISA5/DYRK2/TAF9/MCL1/PML/EP300/BCL3/TOPORS/BAG6/ABL1/SIRT1","Early_PE",21
"GO:0035150","regulation of tube size",40,0.502959932482154,1.46906387048405,0.0485074626865672,0.295597235506908,0.259399280299145,811,"tags=32%, list=13%, signal=28%","HTR2B/FOXC1/TRPM4/ADM/TNF/PTGS2/PER2/ADD3/GCLC/MMP2/RGS2/GCLM/PLOD3","Early_PE",13
"GO:0035296","regulation of tube diameter",40,0.502959932482154,1.46906387048405,0.0485074626865672,0.295597235506908,0.259399280299145,811,"tags=32%, list=13%, signal=28%","HTR2B/FOXC1/TRPM4/ADM/TNF/PTGS2/PER2/ADD3/GCLC/MMP2/RGS2/GCLM/PLOD3","Early_PE",13
"GO:0097746","blood vessel diameter maintenance",40,0.502959932482154,1.46906387048405,0.0485074626865672,0.295597235506908,0.259399280299145,811,"tags=32%, list=13%, signal=28%","HTR2B/FOXC1/TRPM4/ADM/TNF/PTGS2/PER2/ADD3/GCLC/MMP2/RGS2/GCLM/PLOD3","Early_PE",13
"GO:0016925","protein sumoylation",46,0.488927958478639,1.46265478330223,0.0483675937122128,0.295597235506908,0.259399280299145,1171,"tags=28%, list=19%, signal=23%","BCL11A/TRPM4/EGR2/CBX4/IFIH1/EGR1/ZMIZ1/RANGAP1/RELA/PML/HMG20B/TRIM38/TOPORS","Early_PE",13
"GO:0019752","carboxylic acid metabolic process",347,0.352933330125933,1.24349177658543,0.0480961923847695,0.295597235506908,0.259399280299145,1398,"tags=32%, list=23%, signal=26%","NUPR1/CYP27A1/APP/MGLL/FADS3/RDH10/DDIT4/HPGD/CYP1B1/SLC25A44/ATP2B4/SLC2A3/ABCC1/ASL/HACD2/OAT/NR4A3/PTGS2/PROX1/EPHX1/HYI/CYP4V2/IRS2/VNN1/INSIG1/MTHFS/INSR/MSRA/FADS1/IER3/MIF/MTHFD2/FOXK2/DDAH2/LDHA/PDK1/PRKCE/CSGALNACT1/OGDH/CES2/PSEN1/PRKAG2/HEXB/PTS/ALDH1A1/PER2/ABAT/ACSS1/STARD4/PRKAG1/ME1/PPARD/SESN2/GCLC/HIBADH/ABHD5/ALOX5/CLN3/ACSM5/ABHD2/FLCN/ANXA1/ADIPOR2/GCLM/SHMT1/ACSL3/PLOD3/DHFR/SLC27A3/PFKL/ODC1/P2RX7/ATF4/DBT/ACADS/ACSF3/HSD17B4/ACSL1/PTGDS/PDXDC1/AMDHD2/ILVBL/IDS/ECH1/DALRD3/EP300/PTGR1/FPGS/DCXR/OSBP/MECP2/ACO2/PCBD1/ACOX1/DCAF5/MTAP/LPIN2/SDHA/ZBTB7A/SLC27A1/PNPLA8/PDHX/SHMT2/BCKDK/ADH5/PRKACA/NUDT19/LYPLA2/ADIPOR1/SIRT1/MRPS36","Early_PE",111
"GO:1900271","regulation of long-term synaptic potentiation",19,-0.518592408506154,-1.64846055549204,0.0488101121210835,0.296394083005711,0.260098548231551,154,"tags=16%, list=2%, signal=15%","LILRB2/APOE/CX3CR1","Early_PE",3
"GO:0032692","negative regulation of interleukin-1 production",17,-0.510805814604641,-1.56231422983142,0.0488569797672756,0.296394083005711,0.260098548231551,204,"tags=12%, list=3%, signal=11%","CD33/CX3CR1","Early_PE",2
"GO:0071229","cellular response to acid chemical",48,0.482809879613355,1.45604347396832,0.0492788461538462,0.298501772019521,0.26194813593943,837,"tags=27%, list=13%, signal=24%","BCL11A/TNF/COL4A1/VEGFA/COL1A2/BAIAP2/SESN2/GCLC/MMP2/HSF1/GCLM/UBR2/UBR1","Early_PE",13
"GO:0051000","positive regulation of nitric-oxide synthase activity",10,0.695490737571079,1.5583597668422,0.0495626822157434,0.298866700278393,0.262268376172901,813,"tags=50%, list=13%, signal=44%","HTR2B/SCARB1/PIK3CB/TERF2/DHFR","Early_PE",5
