"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","comparison","Count"
"GO:1903311","regulation of mRNA metabolic process",185,0.328727960404148,1.48815256332798,0.00299723414839042,0.0238542003213354,0.0175731028028024,1440,"tags=32%, list=23%, signal=25%","ZC3H12A/YBX3/JMJD6/ZC3HAV1/ZFP36/SLC11A1/BTG2/PAF1/YTHDC1/EIF4A3/NUP98/MAPKAPK2/HNRNPL/RC3H1/AGO2/CNOT3/U2AF2/HNRNPU/SUPT6H/TAF15/FUS/UPF1/HSPA8/HNRNPAB/SF1/PUF60/DYRK1A/SFSWAP/DCP1A/HNRNPA2B1/PTBP1/CDK11B/RBM39/TRA2B/PARN/CASC3/DDX5/RBM25/RBM15B/SF3B4/SRSF7/SAFB/SON/SMU1/DHX36/RBM47/CNOT10/NCL/SRSF4/WTAP/HNRNPA0/PDE12/PATL1/KHDRBS1/YTHDF3/WDR77/MLH1/RBM42/HNRNPD","Preterm",59
"GO:1901222","regulation of non-canonical NF-kappaB signal transduction",61,0.447535107838263,1.70007430574857,0.00301301257339933,0.0238826412491112,0.0175940548926179,388,"tags=16%, list=6%, signal=16%","IL1B/ZC3H12A/NLRP3/TNF/TRAF6/APP/BCL3/NFKBIA/RIPK1/RC3H1","Preterm",10
"GO:0031669","cellular response to nutrient levels",139,0.35214024498208,1.53974453895572,0.00301149636754873,0.0238826412491112,0.0175940548926179,1115,"tags=27%, list=18%, signal=23%","ZC3H12A/SLC7A5/ATF3/CDKN1A/EIF2AK3/KLF10/PMAIP1/PLIN2/PDK4/TBC1D7/JMY/UPP1/SIRT1/MTOR/SLC38A2/HSPA5/EIF4G1/MIOS/NFE2L2/FNIP1/RPTOR/COL1A1/PRKAB1/ITFG2/FOS/STK24/HSPA8/EHMT2/WDR45B/SREBF1/GCN1/GABARAPL1/SESN2/EIF2AK4/ATG14/SEC13/MAP1LC3B/FLCN","Preterm",38
"GO:0045672","positive regulation of osteoclast differentiation",12,0.709442108313934,1.82867846957829,0.00306459398182351,0.0242446064430748,0.0178607103025195,613,"tags=50%, list=10%, signal=45%","KLF10/TNF/NEDD9/TRAF6/RPTOR/FOS","Preterm",6
"GO:1901873","regulation of post-translational protein modification",186,0.320930821276341,1.45485935180128,0.00312473561338622,0.024672767906853,0.0181761317091404,903,"tags=25%, list=14%, signal=22%","ZC3H12A/TNFAIP3/PER2/HSPA1B/PELI1/HSPA1A/RIPK2/TICAM1/NXN/EGR1/TRAF6/MALT1/CRY1/SQSTM1/TBC1D7/SPRY2/DDX21/HDAC4/SIRT1/RASSF5/HSPA5/OTUD4/IVNS1ABP/GTPBP4/DNAJA1/U2AF2/BIRC3/CBLB/AIMP2/HSP90AB1/KAT8/HSP90AA1/TCF25/BEX4/TANK/RNF111/PLAA/EHMT2/VCP/KANSL2/HIF1A/RELA/P3H1/HUWE1/HCFC1/FBXW7","Preterm",46
"GO:0035019","somatic stem cell population maintenance",28,0.570478576213763,1.85406673724987,0.00315192336331658,0.0247125134241155,0.0182054117542224,355,"tags=25%, list=6%, signal=24%","HES1/PAX8/KLF10/KLF4/LDB1/BRAF/MYC","Preterm",7
"GO:2001243","negative regulation of intrinsic apoptotic signaling pathway",63,0.44490091703049,1.70232739293358,0.00314541260437914,0.0247125134241155,0.0182054117542224,1528,"tags=49%, list=24%, signal=38%","PLAUR/HYOU1/YBX3/HSPA1A/PTGS2/PPIF/SIRT1/IVNS1ABP/DNAJA1/CD44/SOD2/NFE2L2/PTPN1/RRN3/TRAP1/HSPB1/CCAR2/HIF1A/NOC2L/GRINA/HERPUD1/WFS1/SYVN1/TAF9/KDM1A/ATF4/CTNNB1/NONO/XBP1/DDX3X/ING2","Preterm",31
"GO:0032088","negative regulation of NF-kappaB transcription factor activity",50,0.471815352836501,1.70032159674895,0.00315389080546911,0.0247125134241155,0.0182054117542224,292,"tags=20%, list=5%, signal=19%","ZC3H12A/IRAK2/TNFAIP3/NLRP3/NFKBIB/DDIT3/KLF4/BCL3/SIRT1/NFKBIA","Preterm",10
"GO:0045860","positive regulation of protein kinase activity",126,0.367770287272773,1.57853334407464,0.00313958904885211,0.0247125134241155,0.0182054117542224,981,"tags=26%, list=16%, signal=23%","IL1B/TNFSF15/CCL5/MAP2K3/ERN1/CDKN1A/VEGFA/TNF/LCP2/NEDD9/TNFRSF10B/SYAP1/EGR1/TRAF6/MALT1/ADAM17/SLC11A1/SIRT1/ADRB2/RGCC/RPTOR/HSP90AB1/PTPN1/ATP2B4/HSP90AA1/IL6R/PDGFB/TGFB1/PTK2/FBXW7/CCND3/TGFBR2/SNX9","Preterm",33
"GO:0042509","regulation of tyrosine phosphorylation of STAT protein",27,0.581793198621922,1.86014007075275,0.0031807864202,0.0248756922709534,0.0183256236503286,907,"tags=37%, list=14%, signal=32%","HES1/CCL5/TNF/SOCS3/HCLS1/GGNBP2/HSF1/IL6R/OSM/OSBP","Preterm",10
"GO:0002399","MHC class II protein complex assembly",10,-0.79405167182572,-1.83582045285139,0.00320683308105313,0.0249840341561896,0.0184054378156101,1244,"tags=80%, list=20%, signal=64%","HLA-DPB1/HLA-DPA1/HLA-DRA/HLA-DMA/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DQB1","Preterm",8
"GO:0002503","peptide antigen assembly with MHC class II protein complex",10,-0.79405167182572,-1.83582045285139,0.00320683308105313,0.0249840341561896,0.0184054378156101,1244,"tags=80%, list=20%, signal=64%","HLA-DPB1/HLA-DPA1/HLA-DRA/HLA-DMA/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DQB1","Preterm",8
"GO:0050691","regulation of defense response to virus by host",19,0.641547934164691,1.87000777628365,0.0032278638326537,0.025100163161698,0.0184909886588451,38,"tags=16%, list=1%, signal=16%","IL1B/ZC3H12A/TNFAIP3","Preterm",3
