"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0090023","positive regulation of neutrophil chemotaxis",15,-0.653018542110678,-1.94959252518597,0.00179599076278854,0.134642291629369,0.129185300481281,293,"tags=33%, list=3%, signal=32%","RAC2/C5AR1/MDK/CXCL8/CCL21"
"GO:0040020","regulation of meiotic nuclear division",10,0.81311041313257,1.81425775533538,0.00173957858359746,0.134642291629369,0.129185300481281,817,"tags=50%, list=9%, signal=46%","PLCB1/RPS6KA2/RAD51AP1/MSX2/RAD1"
"GO:0120031","plasma membrane bounded cell projection assembly",296,0.399636936687718,1.41823339427827,0.00182597177863056,0.134751011101127,0.129289613602049,2075,"tags=31%, list=22%, signal=25%","AUTS2/BBS9/SPAG16/ARMC2/ITGB4/IFT172/KANK1/CENPJ/TNIK/LAMA5/P2RY12/CEP83/TTLL3/DNAH1/MNS1/ARMC9/SYNE2/CEP164/CEP290/PCNT/SPATA13/C2CD3/CDKL5/ABCC4/EPHB2/POC1B/CROCC/IFT122/P2RX7/AVIL/MTOR/DISC1/F2RL1/RFX3/OPHN1/SH2B1/TTC39C/ALPK1/WDPCP/TTBK2/WHAMM/CDC14A/CEP89/TRAF3IP1/NPHP3/EVL/PLD1/EPS8L1/CLN3/STK36/BIN3/TCTN1/TMEM80/INPP5K/SCLT1/ARHGAP35/NOTCH1/ZMYND8/TBC1D31/SH3YL1/NUP85/VAV3/PTPDC1/S1PR2/ANO6/CEP350/RAPGEF6/VAV2/FBXW8/CLUAP1/TCHP/TRPM2/RAPGEF2/CEP162/SRGAP2/KIF27/BBS7/CCDC88A/DNMBP/BBS4/MPHOSPH9/CCDC66/DNAL1/PIBF1/FGD2/CEP250/FGD6/FGD5/ODF2/RABEP2/RILPL1/CDC42EP3"
"GO:0010043","response to zinc ion",24,-0.562991530614788,-1.90933696036807,0.00188788675136432,0.136009573887622,0.130497167408363,1066,"tags=42%, list=11%, signal=37%","S100A8/TSPO/MT1X/SOD2/PAM/SLC30A1/ALAD/MT1E/MT1F/CRIP1"
"GO:0061045","negative regulation of wound healing",27,-0.558325619400592,-1.90679095974905,0.00190062076573852,0.136009573887622,0.130497167408363,642,"tags=30%, list=7%, signal=28%","SH2B3/PLAU/CASK/PLAUR/TFPI/SERPINE2/THBD/CD9"
"GO:1903034","regulation of response to wounding",83,-0.361881607127196,-1.58990850185545,0.0020313782763688,0.141091170577792,0.13537280928433,192,"tags=17%, list=2%, signal=17%","FERMT2/TNFAIP3/TNFRSF12A/CASK/IL10/ENPP4/MDK/PLAUR/HBEGF/TFPI/SERPINE2/THBD/F3/CD9"
"GO:0052547","regulation of peptidase activity",181,-0.276272654675095,-1.38492720113842,0.00200530806978143,0.141091170577792,0.13537280928433,1279,"tags=23%, list=14%, signal=20%","EIF2AK3/CTSH/TIMP2/LGMN/CDKN2D/TANK/RPS27L/PDCD2/S100A8/PIH1D1/PSMB8/BAX/BID/PSENEN/CD44/FURIN/PPM1F/TRIAP1/DLC1/FAM162A/CIDEB/SERPINB1/TIMP1/PSME3/LAMTOR5/CYCS/FAS/PSMB9/TIMP3/VEGFA/SPOCK1/MUL1/FADD/SNCA/MYC/CTSK/ECM1/PLAUR/SERPINE2/BIRC3/F3"
"GO:0090670","RNA localization to Cajal body",17,-0.625100750356707,-1.93613807051292,0.00245105161974662,0.143349937673789,0.137540029572119,1329,"tags=59%, list=14%, signal=51%","CCT3/DKC1/CCT4/CCT2/CCT5/CCT8/CCT6A/NOP10/TCP1/CCT7"
"GO:0090671","telomerase RNA localization to Cajal body",17,-0.625100750356707,-1.93613807051292,0.00245105161974662,0.143349937673789,0.137540029572119,1329,"tags=59%, list=14%, signal=51%","CCT3/DKC1/CCT4/CCT2/CCT5/CCT8/CCT6A/NOP10/TCP1/CCT7"
"GO:0090672","telomerase RNA localization",17,-0.625100750356707,-1.93613807051292,0.00245105161974662,0.143349937673789,0.137540029572119,1329,"tags=59%, list=14%, signal=51%","CCT3/DKC1/CCT4/CCT2/CCT5/CCT8/CCT6A/NOP10/TCP1/CCT7"
