"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MOB1A",7.1899223058532e-05,-0.348980904237024,0.474,0.498,1
"RRN3",7.25419640307449e-05,0.785568442806329,0.12,0.078,1
"FZR1",7.3648513671781e-05,0.437038315353187,0.108,0.067,1
"NAA16",7.42064119213152e-05,0.162760755889908,0.2,0.145,1
"WBP2",7.42534675457142e-05,0.0919871052275101,0.438,0.353,1
"TRAF5",7.47422009187306e-05,0.488714612282099,0.104,0.065,1
"DCTN1",7.50518865682904e-05,0.328167165222009,0.178,0.126,1
"PLBD1",7.59433062595116e-05,0.279350160026867,0.256,0.193,1
"TMBIM6",7.64564036843022e-05,-0.162538415298986,0.783,0.759,1
"ABL1",7.65913461782424e-05,0.234773271564993,0.245,0.184,1
"LARP1",7.70389650383832e-05,0.0605773491510465,0.392,0.313,1
"CLCN7",7.74217657081373e-05,0.247322085412056,0.287,0.22,1
"BICD1",7.7653047306512e-05,0.21013329344577,0.248,0.185,1
"MAPK13",7.80818307721526e-05,0.429791715501966,0.138,0.093,1
"LPAR5",7.84479290827058e-05,-0.465314636922394,0.281,0.321,1
"PDLIM5",7.86435170765257e-05,0.187078415017136,0.262,0.199,1
"ACOT13",7.89755516905808e-05,-0.0195544551229607,0.219,0.159,1
"BANP",7.9323842971455e-05,0.506155754311946,0.11,0.07,1
"TBC1D9",8.0288431222033e-05,0.137447439208452,0.419,0.344,1
"FBXO25",8.03457657971693e-05,0.744859323320503,0.118,0.077,1
"SFXN3",8.09582161735112e-05,0.346158475780596,0.17,0.119,1
"DSE",8.10779195126697e-05,-0.393285226806783,0.36,0.394,1
"GCLC",8.16522022449052e-05,0.419948532204114,0.135,0.09,1
"NAGA",8.17129653278018e-05,-0.413050496312716,0.325,0.366,1
"RPL8",8.20897887461908e-05,-0.160638245247292,0.91,0.888,1
"MAPK6",8.24910404372722e-05,0.408829702620048,0.179,0.127,1
"MYO9A",8.26220713554884e-05,0.342313263679504,0.148,0.102,1
"TMED3",8.36536642914141e-05,0.104723882698658,0.132,0.087,1
"CYTH1",8.523317002734e-05,0.0935964965183095,0.435,0.354,1
"MCOLN1",8.54714138781194e-05,0.105444175876285,0.548,0.459,1
"ZFYVE21",8.5986598077592e-05,0.260799501280608,0.199,0.145,1
"CUTA",8.61188845847044e-05,0.352395541027937,0.266,0.206,1
"VPS51",8.61432919955513e-05,0.278682034220005,0.158,0.11,1
"MAN2B1",8.64345227567445e-05,0.226286562701096,0.454,0.373,1
"MGRN1",8.72243605555829e-05,0.260959307658135,0.232,0.172,1
"HPS4",8.80576903457121e-05,0.33226203546558,0.143,0.098,1
"STAT6",8.85297604134455e-05,0.0907903740748722,0.26,0.195,1
"IRGQ",8.87634823444886e-05,0.313261521000595,0.158,0.111,1
"TSHZ3",8.91512444480665e-05,0.167526532485606,0.293,0.227,1
"CCNG2",9.14285809567949e-05,0.220064474468554,0.346,0.276,1
"UQCC2",9.15946995953283e-05,0.045171679752326,0.231,0.172,1
"EMILIN2",9.22446542806144e-05,0.209411588831182,0.402,0.321,1
"LRPAP1",9.25421259774644e-05,0.134964292001005,0.35,0.274,1
"PGAM1",9.31366337558584e-05,0.143287027167189,0.255,0.193,1
"DHDDS",9.40566002404395e-05,0.261311339597091,0.164,0.115,1
"FMNL2",9.54111944859444e-05,0.241043466374309,0.337,0.267,1
"GNA11",9.54884646222854e-05,0.137509927026649,0.119,0.078,1
"GTF2A2",9.61755996544246e-05,0.113122890446479,0.289,0.222,1
"UBTF",9.6593882002632e-05,0.261507356547413,0.22,0.164,1
"METRNL",9.80198711704765e-05,0.261039310507178,0.48,0.406,1
"MARK2",9.83105870656108e-05,0.258070460171278,0.221,0.163,1
"TRAPPC4",9.97687996885975e-05,0.475388735714807,0.151,0.105,1
"SNU13",0.00010182678307373,0.16108034407921,0.418,0.34,1
"HMGB2",0.000102156254617247,0.146898467087305,0.263,0.197,1
"SETD1B",0.000102297179855483,0.312743248769502,0.108,0.069,1
"GALK2",0.000103800494168396,0.463600482582294,0.144,0.099,1
"WDR26",0.00010396692095551,0.145609461036536,0.457,0.378,1
"KAT6A",0.000105141171365326,0.162275827180608,0.322,0.251,1
"GOLPH3",0.000105388022172413,0.0762624225543036,0.378,0.299,1
"EIF3G",0.000106124721510084,0.0452811751282007,0.447,0.361,1
"CCDC149",0.00010653872382794,0.14712480867382,0.177,0.125,1
"RPS3",0.000106777337910887,-0.168610644639355,0.9,0.877,1
"FPR1",0.000107178788009208,-0.401280967173147,0.457,0.476,1
"RGL2",0.000107459742616808,0.299835394012327,0.223,0.166,1
"NGRN",0.000107494587104514,0.4698967813605,0.183,0.132,1
"OTUD1",0.000109114929124475,0.108727875513067,0.429,0.348,1
"RIT1",0.000111205599340701,0.160296870099606,0.255,0.193,1
"EPB41L2",0.000111251898444002,-0.458479460099412,0.323,0.361,1
"RAB1B",0.000111598500933702,0.0461586211250997,0.232,0.172,1
"NDUFAF3",0.000111859337039591,0.0764905346641402,0.383,0.307,1
"CLN6",0.000112331355563552,0.341303883111102,0.243,0.185,1
"LRRC57",0.00011265486578537,0.288640478253047,0.118,0.077,1
"DGKZ",0.000113794187389919,0.107143471774933,0.35,0.277,1
"MS4A14",0.000114457203628788,-0.836981268990434,0.078,0.111,1
"SP110",0.000114795408957764,-0.0363141609133806,0.376,0.297,1
"CLN3",0.00011550426261468,0.391289503529513,0.136,0.092,1
"PHF11",0.000116618514100496,0.167652512466057,0.239,0.179,1
"DISP1",0.00011682022678807,-0.532346611780351,0.287,0.329,1
"TMSB10",0.000118544925006928,-0.133973801358621,0.984,0.963,1
"TCAF1",0.000119142482258404,0.441443351497333,0.147,0.103,1
"TCF7L2",0.000119575575503686,0.231208063306899,0.257,0.196,1
"BCL3",0.000120552271795675,0.273816964735199,0.303,0.237,1
"SOD1",0.000121724049217338,0.0538423300037489,0.512,0.424,1
"ZFY",0.000122407479519958,0.449849899498059,0.149,0.103,1
"TPRA1",0.000122819261733676,0.343236226546127,0.125,0.083,1
"EIF4EBP3",0.000122873225861941,0.690529694061092,0.111,0.071,1
"ATP6AP1",0.000123014925154358,0.088878749749022,0.498,0.414,1
"VASP",0.000124698903192952,0.073228180085668,0.448,0.368,1
"RELA",0.000125457613915277,0.345235111826809,0.158,0.11,1
"UFC1",0.000125931500535897,0.0919116402022773,0.399,0.322,1
"ZC3H4",0.000126752929804501,0.169126544850739,0.188,0.135,1
"RTN2",0.000127575010464154,0.36973706004678,0.143,0.098,1
"AP5Z1",0.00012909028172094,0.154172479148666,0.21,0.153,1
"NINJ1",0.000129338015721058,-0.170646770115165,0.845,0.814,1
"SMARCA4",0.000130542089175638,0.250488455986491,0.214,0.159,1
"FNBP4",0.000131380967983911,0.389425112382699,0.224,0.171,1
"LGALS1",0.000131543759699148,0.0508245082336282,0.246,0.186,1
"PSMD3",0.000132358838978196,0.0287204566280892,0.208,0.152,1
"TBC1D14",0.000132667334719909,0.135449142401653,0.467,0.387,1
"CD180",0.000133254328580885,0.189688229170361,0.269,0.206,1
"NMT1",0.000133554912323618,0.0925704157343451,0.282,0.217,1
"TPR",0.000134438475600097,0.121252342233855,0.44,0.359,1
"CAPZA2",0.000134615428979096,-0.255372162560782,0.65,0.645,1
"ZYG11B",0.000134902622900767,0.279241786289099,0.193,0.14,1
"SLC4A2",0.000135237861523449,0.389685042986309,0.159,0.112,1
"ARID1A",0.000135255206508643,0.117425858595032,0.441,0.362,1
"CLOCK",0.000137402862099014,0.118835067824465,0.19,0.138,1
"HNRNPU",0.000137800923481288,0.0723476682490629,0.658,0.592,1
"RRP12",0.000138046140537182,0.282077783298774,0.165,0.118,1
"MTAP",0.000138259275339624,0.269269761932179,0.199,0.145,1
"BABAM1",0.00013974661205167,0.285038737087304,0.175,0.126,1
"HLX",0.0001398879890396,0.184584254356758,0.242,0.184,1
"NUDT2",0.000140438073047803,0.37752287825733,0.145,0.101,1
"SESN2",0.000140543987255766,0.430115546576662,0.138,0.094,1
"TPM4",0.000140708688705787,0.0761641612746198,0.563,0.48,1
"ACOX1",0.000141236714638074,0.278017341534003,0.215,0.16,1
"DOCK2",0.000141424925293996,-0.333591646637576,0.387,0.416,1
"SMCHD1",0.000143354615604525,0.0873795985269503,0.338,0.268,1
"GTF2I",0.000143488994828604,0.0781557701467095,0.523,0.436,1
"SNRPC",0.000143596703235859,-0.000735639059270321,0.398,0.315,1
"DCTN2",0.000143647174500684,0.0784016173976657,0.217,0.161,1
"NOL3",0.000143934349154198,0.193690388086672,0.106,0.067,1
"EGLN1",0.000145695060620778,0.310263050260711,0.198,0.145,1
"GCSH",0.000145884411654849,0.197638646174026,0.166,0.118,1
"HINT1",0.000145894160852364,0.0749418243967965,0.679,0.58,1
"TOPORS",0.000146349716830026,0.271673982911089,0.205,0.152,1
"PRDX2",0.000148746664493295,0.0305816368444187,0.389,0.313,1
"LDLRAD4",0.000148793701448115,0.24770499969664,0.245,0.186,1
"SGTA",0.000149668065113447,0.383866267651844,0.157,0.11,1
"ATF7",0.000150350929031031,0.300662921151134,0.144,0.1,1
"UNC5C",0.000151786480596897,-0.738090839745013,0.11,0.148,1
"IRF2BP2",0.000153186168137697,0.120790249124257,0.501,0.41,1
"DDX54",0.000153313872060598,0.149843502052539,0.129,0.086,1
"RNF185",0.000153871103235353,0.271442839774007,0.124,0.082,1
"SH3BGRL",0.000154233618186921,-0.20629980150723,0.769,0.753,1
"SGMS1",0.00015426527991651,0.108818430605438,0.53,0.441,1
"TTC38",0.000154619338378303,0.0327082947329476,0.136,0.091,1
"SIPA1",0.00015596649580817,0.0690357331837362,0.387,0.313,1
"UBE2L6",0.000156332170715718,0.206438749757546,0.26,0.201,1
"CCL4L2",0.000156412116285442,-0.354237669170957,0.329,0.364,1
"C5AR2",0.000156819345743394,0.255236299990442,0.214,0.16,1
"PPP1R12B",0.000158468661667593,0.342307775209079,0.103,0.065,1
"RAD23A",0.000158493453353673,0.10688190898133,0.42,0.345,1
"GLA",0.000159535212565754,0.142371861216235,0.302,0.239,1
"ARL11",0.000159935458533559,0.089295415801242,0.196,0.143,1
"THOC2",0.000160546160962633,0.230012723838019,0.337,0.266,1
"CNST",0.000161832522744507,0.159944735032168,0.168,0.118,1
"SF3B3",0.000162169665367126,0.265475541858065,0.148,0.103,1
"PNPLA2",0.00016259835457287,0.282311404648477,0.168,0.12,1
"BORCS7",0.000162650019939825,0.155385697969216,0.275,0.214,1
"ADD1",0.000163276960289989,0.186652526822264,0.298,0.233,1
"MDM2",0.000164512147363684,0.20949185135292,0.252,0.193,1
"KANSL1",0.000167216685606254,0.269120183638671,0.254,0.196,1
"SIN3A",0.000167704327040738,0.244722266449234,0.194,0.143,1
"CAMK2G",0.000168282928727913,0.424953750539466,0.136,0.093,1
"NCK2",0.000168805994292891,0.172499024385367,0.407,0.336,1
"ABHD17B",0.000171502538163603,0.159179436158498,0.122,0.08,1
"UQCRQ",0.00017158383168271,-0.32629731218633,0.579,0.593,1
"CACNB4",0.000172106966462012,0.328533771246978,0.137,0.095,1
"GSTP1",0.000172590962840196,0.0140435660765241,0.513,0.419,1
"YIPF3",0.000173309286393298,0.122329626202038,0.31,0.242,1
"APMAP",0.000173795363846903,0.201493575368147,0.389,0.319,1
"ZNF37A",0.000176203339364605,0.33301180145898,0.145,0.101,1
"RRAS",0.000176303185721748,0.292570670228738,0.13,0.088,1
"DYRK2",0.000176601706733795,0.361189781239941,0.156,0.11,1
"TLN1",0.000177513982169587,0.00320863435122987,0.637,0.542,1
"CPNE8",0.000177729060920251,0.237975729520656,0.255,0.195,1
"RPS17",0.000177790457755676,0.206855565623964,0.596,0.499,1
"HNRNPA3",0.000178075056376911,-0.279445263985216,0.556,0.562,1
"CELF4",0.000178174859135782,0.229012464860696,0.26,0.198,1
"FOS",0.000178834939047595,0.0888232126395225,0.864,0.781,1
"ALDH16A1",0.000179463100412102,0.270831400584019,0.198,0.147,1
"ZC3H14",0.000179984586016739,0.212108475321887,0.192,0.14,1
"DALRD3",0.000181072020555154,0.300594809702855,0.108,0.07,1
"SLC35F6",0.000181706923245925,0.167710281707752,0.215,0.161,1
"SMC4",0.000182228902765263,0.314012997406612,0.199,0.147,1
"NCSTN",0.000185075609746127,0.232056767114122,0.293,0.227,1
"DUSP6",0.00018679120011102,-0.403719109894412,0.344,0.373,1
"GPATCH8",0.000187393177408693,0.26749150921608,0.243,0.185,1
"NR3C1",0.000187812519930188,0.0321438002630861,0.465,0.388,1
"MBP",0.000188486486241125,0.037511090363981,0.29,0.225,1
"TTC7B",0.000188702806511293,0.480197859353654,0.12,0.079,1
"TNFRSF21",0.000189258711904018,0.122764857320674,0.262,0.201,1
"AFF4",0.000190144373276027,0.0864287416502671,0.479,0.402,1
"KIAA0319L",0.00019114501589332,0.291731733718107,0.211,0.157,1
"PCMTD2",0.000191427599027875,0.265140526023705,0.196,0.145,1
"CREBRF",0.000191925635847812,0.160452923584557,0.37,0.299,1
"ZNF710",0.000191981434091031,0.344751293027053,0.186,0.136,1
"ARL5A",0.000192009716530083,0.183244418736961,0.358,0.287,1
"RCC1",0.000192374152507685,0.249752534634649,0.112,0.073,1
"PPP4R2",0.000193543594801193,0.147969170842968,0.293,0.229,1
"USP38",0.000194916620699314,0.264710304827948,0.179,0.129,1
"FLII",0.000195937402673115,0.488664377910284,0.186,0.137,1
"BRWD1",0.000196641512011491,0.172804867810821,0.273,0.212,1
"NCOA4",0.000200555015232516,-0.220408875776826,0.785,0.761,1
"DNPEP",0.000200556017623336,0.142640487506728,0.124,0.084,1
