"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NACC2",2.06759556762302e-48,0.55730274048162,0.317,0.117,3.8233977236485e-44
"TULP2",2.12170631057724e-48,2.13839860213982,0.131,0.027,3.92345930951944e-44
"CACNB4",2.21756306838117e-48,0.825796033414652,0.286,0.101,4.10071762605045e-44
"GCN1",2.32818111852369e-48,0.489486501274608,0.361,0.139,4.305272524374e-44
"NIPAL2",2.33572048994197e-48,1.026277501797,0.235,0.074,4.31921433000068e-44
"MRPL54",2.39377479561843e-48,-1.21976078594085,0.599,0.614,4.4265683520576e-44
"LAMA2",2.47972151846769e-48,1.26329204051295,0.184,0.05,4.58550103195045e-44
"DPYSL2",2.49294188118615e-48,0.46358905188027,0.802,0.404,4.60994812668943e-44
"BAZ1B",2.55429415940661e-48,0.480212636994698,0.675,0.322,4.7234007595747e-44
"CENPP",2.57307961507091e-48,0.909870670824979,0.415,0.187,4.75813882418913e-44
"ELMOD3",2.58008219982552e-48,0.519204961935322,0.314,0.113,4.77108800391735e-44
"CFLAR-AS1",2.62460438205645e-48,1.98941207352154,0.125,0.024,4.85341842329879e-44
"MROH1",2.66103545827715e-48,0.465220733028307,0.492,0.215,4.92078676944611e-44
"PUS7",2.73324479744137e-48,1.02000398173037,0.216,0.064,5.05431627942858e-44
"PHF8",2.97177883244115e-48,0.665648327773026,0.316,0.117,5.49541341695017e-44
"TUFM",3.2149500487647e-48,-0.97811593026784,0.699,0.661,5.94508563017568e-44
"CD83",3.67611809725923e-48,0.505066780570601,0.774,0.425,6.79787758545176e-44
"HMOX1",3.70967468143218e-48,0.373899031841801,0.975,0.838,6.85993042090438e-44
"MTMR12",3.7418965808178e-48,0.47854890598563,0.411,0.168,6.91951515724827e-44
"PNPLA6",3.82342110146836e-48,0.340772260037062,0.6,0.276,7.0702703008353e-44
"FOSL1",3.91658035546353e-48,1.92884401163863,0.146,0.033,7.24254039332316e-44
"ZNF66",4.22591577723118e-48,1.43695349045137,0.148,0.034,7.8145634552559e-44
