"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KAT6A",2.06139734742459e-07,0.312331394830452,0.347,0.29,0.00381193597485756
"DOCK7",2.07200829786745e-07,0.269056251818962,0.271,0.215,0.00383155774441648
"DCAF6",2.1305052485746e-07,0.527563471612708,0.182,0.135,0.00393973030566415
"RAP1B",2.13692202269572e-07,-0.249142595024571,0.569,0.608,0.00395159620436892
"GNB2",2.16189802005141e-07,-0.225532248584581,0.536,0.573,0.00399778181867907
"NAA16",2.17594176120253e-07,0.350288496489638,0.201,0.15,0.00402375150481572
"AKAP11",2.18748515084992e-07,-0.371580317519521,0.233,0.286,0.00404509754095168
"PER2",2.22396373278312e-07,0.541224333892665,0.107,0.068,0.00411255373466254
"SH2B3",2.28370246294439e-07,-0.314169887664517,0.433,0.469,0.00422302259447676
"COX6B1",2.28927342692442e-07,-0.175212177057666,0.659,0.689,0.00423332442106864
"NDUFB5",2.28998142060238e-07,-0.36612719481691,0.327,0.381,0.00423463364297791
"CLIP2",2.3143799889347e-07,0.485828136961308,0.107,0.068,0.00427975147553806
"RABEP1",2.42141847082576e-07,0.155836761153655,0.438,0.372,0.00447768703625099
"ARF1",2.44675916011691e-07,-0.182080076637489,0.61,0.635,0.0045245470388882
"IPO5",2.49812681850715e-07,-0.489520381929266,0.127,0.172,0.00461953611278342
"LACC1",2.56932500786216e-07,-0.526207726831663,0.129,0.174,0.00475119580453871
"GNB1",2.61013472378646e-07,-0.226740030357486,0.548,0.582,0.00482666113122592
"USE1",2.63558249477734e-07,0.226305087297473,0.159,0.113,0.00487371914934226
"PTAFR",2.65411208197586e-07,0.221640439154974,0.42,0.355,0.00490798406198977
"RABGEF1",2.69287872386821e-07,0.332965075129415,0.139,0.096,0.0049796713361771
"MGRN1",2.70375923188305e-07,0.309821189196762,0.25,0.194,0.00499979157159814
"IL13RA1",2.72570401504492e-07,-0.325295262753199,0.322,0.378,0.00504037186462107
"HERC2",2.7919514639653e-07,0.373688435541853,0.248,0.196,0.00516287664716463
"ARHGEF10L",2.86522228084499e-07,0.272571916932334,0.322,0.264,0.00529836904173855
"UFM1",2.89822379331852e-07,-0.289480344217063,0.324,0.378,0.00535939543860461
"ENOSF1",2.94323674237231e-07,0.33806620734075,0.257,0.205,0.00544263338399488
"BZW2",2.96696656680293e-07,0.782995124306275,0.124,0.083,0.00548651457533197
"GIMAP7",2.98559579980923e-07,-0.329738086115149,0.287,0.343,0.00552096375300722
"HLA-C",2.99821414542099e-07,-0.0961574925785134,0.665,0.659,0.00554429759771249
"KDM4C",3.02011992095634e-07,0.585541174820613,0.167,0.121,0.00558480575783247
"PRDM2",3.06385220416957e-07,0.28768889980157,0.256,0.201,0.00566567549595036
"EXOC4",3.06915269945787e-07,0.359678476313594,0.266,0.215,0.00567547717183749
"PSME1",3.07291540722688e-07,-0.158609902701037,0.374,0.432,0.00568243517104394
"SGMS1",3.1167881862423e-07,0.191861132907245,0.549,0.483,0.00576356471399925
"RRBP1",3.11821920443852e-07,0.162784246804552,0.56,0.5,0.00576621095284771
"PLEKHA1",3.18061213433764e-07,0.218660419997012,0.392,0.327,0.00588158795881717
"LRRC39",3.19158574548112e-07,0.375892083522836,0.23,0.176,0.00590188036054369
"NAV2",3.40503603413951e-07,0.380474551231873,0.338,0.287,0.00629659263433078
"ROMO1",3.40834196383742e-07,-0.361677532228518,0.311,0.363,0.00630270595952816
"RBMX",3.43451050480885e-07,0.200022156151398,0.368,0.308,0.00635109682549253
"ZC3H13",3.46209622988743e-07,0.237720173337351,0.379,0.318,0.00640210834830784
"PSME4",3.49101243663561e-07,0.292861809819426,0.294,0.239,0.00645558019782658
"APIP",3.53398790460026e-07,-0.450902497953086,0.253,0.304,0.00653505043318679
"DEGS1",3.55991240715698e-07,-0.322379435572195,0.358,0.403,0.00658299002331469
"SGK1",3.59654059779942e-07,0.179823310583473,0.381,0.312,0.00665072287345068
"GPATCH2L",3.63725095417577e-07,0.248341150978688,0.331,0.274,0.00672600446446183
"ODC1",3.65296130432611e-07,0.481024319397987,0.172,0.125,0.00675505604395984
"GPATCH8",3.76718046151157e-07,0.37135924930133,0.256,0.203,0.00696627010942719
"KIAA1328",3.82751978474804e-07,0.733271921907799,0.1,0.063,0.00707784958595607
