"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CORO1B",0.0144069437895285,0.102901401595413,0.424,0.397,1,"CORO1B"
"SLC38A10",0.0144233946829558,0.158902163221132,0.318,0.292,1,"SLC38A10"
"NAPG",0.014441185881862,0.238853837988706,0.164,0.144,1,"NAPG"
"OSTF1",0.0144789059383793,-0.0854679980839179,0.55,0.553,1,"OSTF1"
"ZNF736",0.014517044709183,0.0842940708369346,0.121,0.103,1,"ZNF736"
"SAFB2",0.0145484280729529,-0.0880538340593345,0.246,0.218,1,"SAFB2"
"STX4",0.0145585899438373,-0.197213119082675,0.256,0.276,1,"STX4"
"PPME1",0.0145626023442783,0.139754017776076,0.125,0.107,1,"PPME1"
"DCTD",0.0146881838033744,-0.168320039111964,0.157,0.177,1,"DCTD"
"TRPV2",0.0147098358250584,-0.199224590711024,0.087,0.103,1,"TRPV2"
"TRAK1",0.0147111180309184,0.0205136501949365,0.237,0.213,1,"TRAK1"
"CD163L1",0.0147138583482281,0.0297934811847556,0.46,0.429,1,"CD163L1"
"DAP",0.0147751856599315,-0.235089019984523,0.247,0.268,1,"DAP"
"KCMF1",0.0148092443473532,0.149263239663291,0.199,0.176,1,"KCMF1"
"CCNI",0.0148432987843164,0.00496735898509071,0.661,0.609,1,"CCNI"
"VPS29",0.0148484121811252,-0.109534111613595,0.447,0.465,1,"VPS29"
"BLOC1S4",0.0149563193124409,0.270346126336463,0.107,0.09,1,"BLOC1S4"
"ARCN1",0.0150074484298459,-0.177742938471265,0.262,0.282,1,"ARCN1"
"ATRAID",0.0150104909734499,-0.139627626798147,0.376,0.393,1,"ATRAID"
"SH3BGRL",0.0150276263588021,-0.0486376923615288,0.78,0.754,1,"SH3BGRL"
"TMEM70",0.0150420769127903,0.109976919237958,0.381,0.349,1,"TMEM70"
"APEH",0.0150683965946609,-0.315942077959143,0.13,0.148,1,"APEH"
"LRRK2",0.0150972266722158,-0.344703206189839,0.098,0.114,1,"LRRK2"
"PLB1",0.0151222022477699,0.0963581264114755,0.229,0.206,1,"PLB1"
"PFDN1",0.0151410885561887,-0.0148162067293962,0.253,0.227,1,"PFDN1"
"CEBPZ",0.0152264277218164,0.0465821789340693,0.254,0.227,1,"CEBPZ"
"PNP",0.0153165922265383,0.0331276070915262,0.176,0.153,1,"PNP"
"ATF2",0.0154411117108714,0.140714742463448,0.232,0.208,1,"ATF2"
"FECH",0.0155912131979214,-0.22833761167148,0.147,0.166,1,"FECH"
"PRKACA",0.0156293145988264,-0.108822690882494,0.265,0.288,1,"PRKACA"
"RGS10",0.0157072433413141,0.0362896185442643,0.703,0.66,1,"RGS10"
"MRPS21",0.0157130489389959,0.0460725570162337,0.413,0.379,1,"MRPS21"
"LTV1",0.0157249034888421,0.216601205492505,0.117,0.1,1,"LTV1"
"LRRC59",0.0157492972910449,-0.207159173226837,0.175,0.195,1,"LRRC59"
"FUBP3",0.0157760110229617,0.23108997422453,0.203,0.181,1,"FUBP3"
"RAB2B",0.0158175701903413,0.212286258563797,0.108,0.091,1,"RAB2B"
"AGFG1",0.0158863728699485,-0.18090601495023,0.374,0.39,1,"AGFG1"
"UBE2K",0.0159327423013005,0.129334092869787,0.325,0.301,1,"UBE2K"
"ELAVL1",0.015946943481063,-0.1614357923807,0.204,0.226,1,"ELAVL1"
"SGPP1",0.0159579667896891,-0.140915897203759,0.254,0.277,1,"SGPP1"
"DESI2",0.0159636942649788,0.0759565315336851,0.167,0.147,1,"DESI2"
"ATP6V0A1",0.0159685241461458,0.0116482041493646,0.467,0.438,1,"ATP6V0A1"
"SOS2",0.0160511080988339,0.0323453087724311,0.223,0.199,1,"SOS2"
"SLC33A1",0.0160630778764624,0.183966830230798,0.171,0.151,1,"SLC33A1"
"SLC39A7",0.0160948011577585,-0.13433073934514,0.144,0.165,1,"SLC39A7"
"UBAC1",0.0160961283835762,0.0189278914558721,0.328,0.299,1,"UBAC1"
"EIF2S3",0.016100416991905,-0.146242867403342,0.375,0.392,1,"EIF2S3"
"MCPH1",0.0161445862390976,0.126930919286318,0.121,0.103,1,"MCPH1"
"P4HA1",0.0164100377260993,0.0101943804273044,0.467,0.439,1,"P4HA1"
"UBN1",0.0164258572122061,0.044458257093099,0.247,0.221,1,"UBN1"
"RPS27",0.0164332795415832,-0.0271142567958544,0.957,0.89,1,"RPS27"
"ZFP36L2",0.0165132714162424,-0.161120380146754,0.541,0.543,1,"ZFP36L2"
"SESN2",0.0165252870749262,0.199653763375942,0.144,0.125,1,"SESN2"
"UBE2D1",0.0167351492433936,-0.281035469252684,0.247,0.265,1,"UBE2D1"
"COX19",0.0167499317074139,0.129126252547863,0.16,0.14,1,"COX19"
"PPTC7",0.0167552194082197,0.0691549963791034,0.215,0.193,1,"PPTC7"
"SKI",0.0167700057041572,0.0257906451800443,0.23,0.206,1,"SKI"
"NDUFA8",0.0168071347992988,-0.228276803506671,0.188,0.207,1,"NDUFA8"
"SNX24",0.0168198646419329,0.0810974060016232,0.33,0.306,1,"SNX24"
"TAF12",0.0168316073543067,0.143394355532071,0.158,0.139,1,"TAF12"
"SORBS3",0.0168516123920625,-0.282482061668315,0.209,0.227,1,"SORBS3"
"PRPF4B",0.0168685369676255,0.0590420243359961,0.381,0.346,1,"PRPF4B"
"C12orf57",0.0168781273964966,-0.0162330229062403,0.249,0.22,1,"C12orf57"
"PRKAR2A",0.016883036440853,0.0990516186256106,0.328,0.299,1,"PRKAR2A"
"KLHL5",0.0169625723121831,0.134646860376132,0.136,0.117,1,"KLHL5"
"DYM",0.0169949717154854,0.116995508612209,0.15,0.131,1,"DYM"
"UBP1",0.0170250416613003,-0.222069298916825,0.137,0.156,1,"UBP1"
"SCAF1",0.0172230740141666,0.271725686753174,0.164,0.146,1,"SCAF1"
"SMCR8",0.017232731801605,-0.245737666684185,0.158,0.177,1,"SMCR8"
"BCL2L13",0.0172722399753263,0.263894007985627,0.109,0.092,1,"BCL2L13"
"NUBP1",0.0172728505391066,0.147673604104967,0.182,0.161,1,"NUBP1"
"ATOX1",0.0172889030058863,0.0692184789634751,0.577,0.538,1,"ATOX1"
"AGO4",0.0173049197636547,0.141309786252215,0.274,0.25,1,"AGO4"
"SNX8",0.0173126789474071,-0.00925775347150337,0.321,0.293,1,"SNX8"
"HADH",0.0173220884248303,0.0164808534019738,0.278,0.25,1,"HADH"
"TRIM27",0.0173444924113043,-0.242877970144331,0.161,0.18,1,"TRIM27"
"DTWD1",0.0174021141631842,0.128620934874489,0.128,0.11,1,"DTWD1"
"ZDHHC6",0.0174499368160213,-0.326781487384186,0.148,0.166,1,"ZDHHC6"
"AP1S1",0.0174793103153497,0.406749930900047,0.139,0.122,1,"AP1S1"
"NOP58",0.0175050825061733,0.0322993082257268,0.201,0.178,1,"NOP58"
"CDK12",0.017531281437714,0.022656241243828,0.277,0.252,1,"CDK12"
"ARMCX3",0.0175492757912853,0.118521385431147,0.278,0.255,1,"ARMCX3"
"NBEAL1",0.0175689247285894,0.00888930797286203,0.172,0.151,1,"NBEAL1"
"ANKRD13D",0.017577110190196,0.0616611216971922,0.232,0.21,1,"ANKRD13D"
