"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TAPT1",0.18649379658947,-0.462228109176865,0.173,0.191,1
"SUN2",0.186499656726205,0.133302788341759,0.138,0.116,1
"EMB",0.186506667059965,-0.0720931864372489,0.69,0.699,1
"MYO9A",0.186536696911254,0.363135538521326,0.188,0.167,1
"DVL3",0.186576537803619,0.215870099267088,0.214,0.19,1
"METTL9",0.186595619299253,-0.312661080004907,0.35,0.368,1
"CSK",0.186653044223366,-0.00563875733878072,0.387,0.409,1
"HYOU1",0.186712799161269,-0.189790773690447,0.243,0.263,1
"MTPAP",0.186853045229877,0.270740748025116,0.132,0.115,1
"RASSF8-AS1",0.186878213347235,0.271093814253818,0.073,0.058,1
"PHF5A",0.186909243630625,-0.347295152932418,0.154,0.172,1
"GLO1",0.187513248256579,-0.222888792583862,0.242,0.264,1
"FAM114A1",0.187528691149972,-0.423993339506429,0.168,0.186,1
"B4GALT7",0.187595185262363,-0.558238312858795,0.162,0.179,1
"PPP1R11",0.18765638185363,-0.129579217151252,0.157,0.178,1
"ETFB",0.187698462969267,-0.0294861116412418,0.411,0.436,1
"CARD8-AS1",0.187722762206795,-0.364929143165029,0.131,0.152,1
"ACAT2",0.187803247853877,-0.0150196456809488,0.094,0.076,1
"RHOU",0.187882069066467,-0.164398214670312,0.406,0.422,1
"MSH2",0.187927023276795,0.129326677865734,0.105,0.087,1
"DCAF15",0.188136702686017,0.281797200551566,0.124,0.105,1
"GRN",0.188178746825175,0.0434521402838519,0.814,0.789,1
"TSPAN5",0.188363572396118,-0.201672405082937,0.077,0.062,1
"TMEM209",0.188377512532167,-0.503299657319823,0.129,0.148,1
"PGRMC2",0.188656216568725,-0.037381301591964,0.211,0.185,1
"ANXA2",0.188821592343996,-0.0697502703570143,0.555,0.564,1
"BCAP31",0.189060472525561,0.115153937810046,0.566,0.523,1
"GCSH",0.189170569582456,0.327591974176187,0.212,0.186,1
"COX15",0.189273801887566,0.356167549808985,0.195,0.172,1
"ZNF785",0.189317631147106,0.192163716989171,0.055,0.043,1
"SEC22B",0.189321182082884,-0.191137199387045,0.263,0.286,1
"SOWAHC",0.189335428394351,-0.384341454463143,0.094,0.112,1
"THOC7",0.190009419079876,0.0203896346146213,0.246,0.215,1
"PIP4K2A",0.190045982738039,0.0387433817347699,0.381,0.348,1
"ETHE1",0.190202604322498,-0.211897775089304,0.239,0.259,1
"GSTM3",0.190351248342384,-0.509287269259959,0.04,0.052,1
"RFC4",0.190459400197014,0.114035348250369,0.142,0.121,1
