"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CASD1",7.84780900968126e-05,-0.351274280668002,0.104,0.141,1
"MRPL24",7.87370945553788e-05,0.308282571757846,0.166,0.129,1
"TAF7",7.87397314351131e-05,0.548486347465498,0.225,0.192,1
"FPGS",7.9349935097154e-05,0.622530067793187,0.135,0.102,1
"MZT2A",7.97596358742241e-05,-0.417367083629799,0.112,0.151,1
"SULT1A1",8.01567739199599e-05,0.22472384087177,0.194,0.154,1
"UQCRFS1",8.02422567580098e-05,-0.590316995911233,0.26,0.308,1
"NFATC2IP",8.04607258398349e-05,-0.281783374417577,0.151,0.196,1
"SNTB2",8.11789603664227e-05,0.774021855736755,0.117,0.086,1
"CENPB",8.13354491043993e-05,-0.604567143678511,0.154,0.196,1
"INTS3",8.16978253381858e-05,0.806405993402512,0.141,0.109,1
"STX6",8.20501945325844e-05,0.375607207303516,0.21,0.173,1
"RABEP1",8.21114188774096e-05,-0.414258694639082,0.318,0.372,1
"SMAD4",8.29312563038155e-05,0.396679288651013,0.233,0.194,1
"TFEC",8.38403630472965e-05,-0.361939959081636,0.314,0.37,1
"EMB",8.38610430194834e-05,-0.213410934364896,0.543,0.59,1
"SUMF2",8.39646628896634e-05,-0.368390413198585,0.27,0.322,1
"MTR",8.41002530394162e-05,0.33240096862474,0.263,0.225,1
"FGD3",8.46534444071422e-05,0.383750471773662,0.218,0.182,1
"SOCS2",8.49533012686503e-05,-0.563346639390625,0.083,0.116,1
"C2CD5",8.53220168456615e-05,0.428472045996776,0.227,0.192,1
"GALNT6",8.59438561081305e-05,-0.360014414549558,0.079,0.111,1
"TDG",8.60047992695027e-05,-0.472142127369918,0.11,0.147,1
"TAOK3",8.62152796830421e-05,0.223272029482494,0.421,0.388,1
"CNOT4",8.7625207622386e-05,0.509527844303209,0.237,0.202,1
"METAP2",9.01730279861872e-05,-0.389424741124581,0.23,0.278,1
"SCOC",9.13537911351456e-05,-0.777308389617924,0.13,0.165,1
"SAR1B",9.23198765539427e-05,-0.373665806307337,0.225,0.276,1
"KDM4B",9.47757390778539e-05,0.852864825076586,0.118,0.088,1
"PAGR1",9.55226239697062e-05,-0.372266810404819,0.091,0.125,1
"TMEM63A",9.66406577406277e-05,0.775041297935725,0.124,0.093,1
"CMAS",9.67830328612709e-05,-0.700241996044058,0.13,0.168,1
"SMARCA1",9.82236759568908e-05,-0.171188468256072,0.157,0.207,1
"NUDCD2",9.83481336459969e-05,-0.675043209233381,0.148,0.187,1
"GALC",0.000100666070377507,-0.200588007383309,0.224,0.276,1
"PARP1",0.000101052716333137,0.01983984798603,0.443,0.405,1
"SNAPC1",0.000101993325379095,-0.311681458539171,0.083,0.115,1
"GCN1",0.000102029760056469,0.642972178894892,0.121,0.089,1
"EIF2A",0.000103285061042294,0.23987466997709,0.247,0.21,1
"POLD3",0.000103380177551052,-0.477782102497545,0.083,0.117,1
"VPS4A",0.000103600408887239,-0.323857012689535,0.131,0.171,1
"TPCN1",0.000103903298178054,0.400515231614136,0.348,0.318,1
"PFDN6",0.000104766966631118,-0.494592752576237,0.107,0.142,1
"SLC5A3",0.000105427354106324,0.0423146815293822,0.175,0.229,1
"CYBB",0.00010575822030163,0.0210061028746171,0.823,0.819,1
"ANO6",0.000106094772470555,0.303573024465752,0.299,0.262,1
