"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CTDSP2",0.224454990636282,-0.0312981070200922,0.364,0.362,1,"CTDSP2"
"DZIP3",0.224511722625198,-0.164725234106971,0.117,0.092,1,"DZIP3"
"CLPB",0.224691450186343,-0.567680760575408,0.166,0.173,1,"CLPB"
"ARAP2",0.225671926454191,-0.16807603260068,0.161,0.131,1,"ARAP2"
"SLC7A6",0.225705223893669,-0.70311675892595,0.159,0.166,1,"SLC7A6"
"DUSP11",0.226069305115459,-0.357302031923757,0.213,0.219,1,"DUSP11"
"CRKL",0.22633457665547,-0.0103598251757319,0.164,0.178,1,"CRKL"
"ACTN1",0.226596632342603,0.500967777646354,0.238,0.259,1,"ACTN1"
"PYGB",0.226716743211475,0.00986713930308336,0.103,0.082,1,"PYGB"
"ARMC1",0.226823738139261,0.0197961354233703,0.196,0.208,1,"ARMC1"
"INPP4B",0.227400676546562,-0.0730596465606705,0.152,0.124,1,"INPP4B"
"CEP89",0.228064025944954,-0.412240805791652,0.138,0.11,1,"CEP89"
"ANKZF1",0.22833254409587,0.12197982497973,0.11,0.089,1,"ANKZF1"
"NAT10",0.22837252244918,-0.0214066037265197,0.119,0.095,1,"NAT10"
"LRRC75A",0.228398373857273,0.137758946939217,0.206,0.169,1,"LRRC75A"
"MMP15",0.228965988834369,0.250438427756602,0.173,0.145,1,"MMP15"
"APPL1",0.229248150997499,0.227026686629314,0.39,0.337,1,"APPL1"
"RNF2",0.229252076267462,-0.110172449823395,0.171,0.182,1,"RNF2"
"GTPBP4",0.229464674867812,0.281122286938156,0.276,0.23,1,"GTPBP4"
"PIGO",0.229515915764196,0.179924825302332,0.129,0.104,1,"PIGO"
"XRCC4",0.229592788287902,-0.420766485351818,0.131,0.144,1,"XRCC4"
"IFNAR1",0.229679150447418,0.295789616555294,0.5,0.462,1,"IFNAR1"
"GIT1",0.229783646557392,-0.0684914804520922,0.133,0.107,1,"GIT1"
"GAB2",0.22981652261674,-0.0713144840395269,0.182,0.15,1,"GAB2"
"CHST12",0.230014836259618,-0.331227144607817,0.119,0.133,1,"CHST12"
"SESN1",0.230120936793276,-0.136495690776831,0.414,0.418,1,"SESN1"
"DDX50",0.230129208392148,-0.0784824353976015,0.157,0.171,1,"DDX50"
"RBMXL1",0.230333363620841,-0.524911918371445,0.093,0.107,1,"RBMXL1"
"MSH6",0.230542243384365,-0.0452841232738577,0.159,0.131,1,"MSH6"
"METTL7A",0.230627354194926,0.276050333491631,0.336,0.282,1,"METTL7A"
"LTC4S",0.231863198867928,-0.0469123670200789,0.411,0.415,1,"LTC4S"
"RAB8B",0.232031913087612,-0.00117786523439267,0.46,0.443,1,"RAB8B"
"PDE12",0.232139335907173,-0.66302443269333,0.129,0.139,1,"PDE12"
"PKN1",0.232706888809854,0.260223442756891,0.505,0.456,1,"PKN1"
"COX15",0.232895700174037,-0.164107756221599,0.166,0.135,1,"COX15"
"MRPS5",0.232972898036776,0.0252920037112128,0.395,0.383,1,"MRPS5"
"TEFM",0.233440632962107,-0.530968298744035,0.171,0.177,1,"TEFM"
"MIS18A",0.233741467032769,-0.312308714786827,0.129,0.142,1,"MIS18A"
"CNPY4",0.234165510683315,-0.459190634813379,0.105,0.119,1,"CNPY4"
"SCAF1",0.234391505115646,-0.00687860509444316,0.187,0.154,1,"SCAF1"
"ANGEL2",0.235111997614061,-0.171356543250478,0.143,0.115,1,"ANGEL2"
"ABL2",0.235552458711306,-0.165221546229823,0.171,0.138,1,"ABL2"
"LEO1",0.235686785028469,0.232672472969091,0.21,0.175,1,"LEO1"
"TFCP2",0.235724966560607,-0.263043618992721,0.124,0.138,1,"TFCP2"
"ERCC3",0.235751951293014,-1.0381402793688,0.121,0.132,1,"ERCC3"
"VAV1",0.236193060700066,-0.126462246004951,0.381,0.368,1,"VAV1"
"MYCBP",0.23634167563821,0.391648251011495,0.145,0.12,1,"MYCBP"
"ARNT",0.236444056738525,-0.56916207994837,0.243,0.241,1,"ARNT"
"HDAC10",0.236792956303184,-0.739682827806622,0.129,0.141,1,"HDAC10"
"RAB3GAP2",0.237056906252781,0.131135343989256,0.311,0.262,1,"RAB3GAP2"
"TP53I11",0.237380710212732,0.152478272224227,0.194,0.207,1,"TP53I11"
"CD99L2",0.237393653767752,-0.484516500628263,0.107,0.085,1,"CD99L2"
"ATAD1",0.237840641807983,-0.250047426804832,0.215,0.219,1,"ATAD1"
"SETD1B",0.238147005533849,-0.527870508050374,0.107,0.085,1,"SETD1B"
"CA2",0.238268094449968,0.50159518714823,0.126,0.146,1,"CA2"
"ATP2C1",0.239278582698668,0.0944578537217806,0.157,0.128,1,"ATP2C1"
"RFC3",0.239494787258134,-0.1542980079485,0.093,0.109,1,"RFC3"
"SETD5",0.23956952938319,-0.120531120122588,0.297,0.24,1,"SETD5"
"FMNL1",0.239604270195118,-0.0988431750478441,0.245,0.203,1,"FMNL1"
"SPSB3",0.23993891266651,-0.595843804021553,0.231,0.23,1,"SPSB3"
"COG2",0.239996596498196,0.0777273597766839,0.168,0.14,1,"COG2"
"NUB1",0.24020598003985,-0.024851800492267,0.262,0.215,1,"NUB1"
"TMEM129",0.241022226807077,-0.697890631333137,0.121,0.133,1,"TMEM129"
"C8orf33",0.241038153097754,-0.143275508441745,0.189,0.2,1,"C8orf33"
"IFI44L",0.241171789703594,-0.455125417651638,0.103,0.118,1,"IFI44L"
"SH3YL1",0.241400904392292,0.20785030956867,0.173,0.189,1,"SH3YL1"
"CMKLR1",0.242008366281433,0.0624956474009766,0.421,0.354,1,"CMKLR1"
"TMED4",0.242020103310036,-0.0252448628974615,0.449,0.442,1,"TMED4"
"CRLS1",0.242487066387944,-0.435790122518782,0.18,0.187,1,"CRLS1"
"APPL2",0.242702574373744,-0.245693338710525,0.346,0.338,1,"APPL2"
"THAP4",0.242811110253885,-0.270673335546086,0.103,0.115,1,"THAP4"
"SUFU",0.243291333338559,-0.149553235834698,0.164,0.133,1,"SUFU"
"KLHDC8B",0.243354707789651,-0.539845273400481,0.196,0.205,1,"KLHDC8B"
"DDX27",0.24351854888889,0.374817422893664,0.292,0.242,1,"DDX27"
"UBQLN1",0.243789790289954,-0.0046759850005135,0.329,0.32,1,"UBQLN1"
"C2orf68",0.24402266986373,-0.0697756739500415,0.22,0.18,1,"C2orf68"
"CHURC1",0.244267129853387,0.171040351264744,0.519,0.523,1,"CHURC1"
"AP3D1",0.24442343696295,0.0336185919864218,0.418,0.415,1,"AP3D1"
"CUTC",0.244459180219805,-0.565026995763771,0.145,0.154,1,"CUTC"
"GTF2E1",0.24458357846638,0.299338947579277,0.112,0.091,1,"GTF2E1"
"STK19",0.244755580051727,-0.15877397852763,0.138,0.148,1,"STK19"
"KIF13A",0.244828541653578,-0.211565495496968,0.154,0.126,1,"KIF13A"
"HINT3",0.244872846706588,-0.539275994386341,0.206,0.207,1,"HINT3"
"PHTF2",0.245364243409691,-0.330801795599041,0.14,0.113,1,"PHTF2"
"RABEP2",0.245603839557465,-0.373387532403661,0.117,0.093,1,"RABEP2"
"ERAP1",0.245764988336402,-0.113735005309751,0.161,0.132,1,"ERAP1"
"CHST10",0.246631277293333,0.0494535604611446,0.105,0.085,1,"CHST10"
"FCGR3A",0.246822701226266,0.353671690384307,0.374,0.342,1,"FCGR3A"
"INPP5F",0.24695891729555,0.289656006290758,0.105,0.085,1,"INPP5F"
"SNX19",0.246963895434733,-0.185146320628993,0.133,0.108,1,"SNX19"
"CFAP36",0.246994993771469,0.111759977934198,0.103,0.118,1,"CFAP36"
"BLZF1",0.247162672008219,-0.594174181325023,0.129,0.138,1,"BLZF1"
"TOR1AIP2",0.247342776388948,0.127420252727882,0.383,0.373,1,"TOR1AIP2"
"METTL8",0.247905243932226,0.593278751799494,0.1,0.082,1,"METTL8"
"TMEM170A",0.248064500544757,-0.353061372461741,0.255,0.253,1,"TMEM170A"
"L3MBTL2",0.248351510618067,0.291801009336884,0.164,0.134,1,"L3MBTL2"
"TBC1D2",0.24842687650139,0.195615252676966,0.121,0.099,1,"TBC1D2"
"PDE6B",0.249518290899864,-0.942776146390106,0.1,0.111,1,"PDE6B"
"CASD1",0.249734945912835,-0.120932379792419,0.136,0.111,1,"CASD1"
"FHOD1",0.249997606524301,-0.131523454186981,0.133,0.109,1,"FHOD1"
"GNA13",0.250057301677194,-0.228061018017595,0.355,0.339,1,"GNA13"
"SPRTN",0.250182756384452,-0.302296293401324,0.112,0.09,1,"SPRTN"
"PPP3R1",0.250624861507255,0.180732412170458,0.35,0.294,1,"PPP3R1"
"SLC40A1",0.251433535488911,0.190706633637538,0.442,0.462,1,"SLC40A1"
"WSB2",0.25207253697867,0.119726240968996,0.278,0.224,1,"WSB2"
"TNFRSF21",0.252208511732227,-0.336679614925048,0.18,0.148,1,"TNFRSF21"
