"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FAM177B",0.171567052335415,-0.440889112038073,0.111,0.091,1
"ITSN2",0.172479369176694,-0.183199769137435,0.515,0.431,1
"ZFAND2B",0.172819232050686,-0.097257085081226,0.135,0.111,1
"PGM2L1",0.173594682886055,-0.433369737008957,0.12,0.099,1
"SEC62",0.174296207674338,-0.315702284942498,0.589,0.545,1
"SNN",0.174440650212031,-0.48263948044697,0.207,0.17,1
"MEA1",0.17466754127821,-0.618894115577918,0.172,0.141,1
"DEK",0.174753987822413,-0.326470120025432,0.583,0.535,1
"ANKRD49",0.174780104253178,-0.525478881983002,0.122,0.099,1
"RPL27A",0.175134900853615,-0.0412919797393059,0.929,0.963,1
"RRAGC",0.175871910303696,-0.447716161106454,0.279,0.226,1
"KIF5B",0.175923424974554,-0.342897552476702,0.503,0.468,1
"SAR1B",0.175977476239059,-0.40071850364759,0.268,0.221,1
"RPS19",0.176097330704584,0.0521951778950873,0.909,0.919,1
"TMEM101",0.176267561553634,-0.723305041776939,0.138,0.112,1
"RNASE6",0.17638897292396,-0.256487579911793,0.503,0.421,1
"SLC9A8",0.176626890451859,-0.0959974101649108,0.109,0.091,1
"FDX1",0.178665116645961,-0.264473648480641,0.203,0.171,1
"NME6",0.178689240494827,-0.289563047144183,0.118,0.097,1
"GLT8D1",0.178760794403497,-0.870569024701351,0.13,0.106,1
"DNAJC7",0.179189295198987,-0.428257709491643,0.345,0.328,1
"CYB5D2",0.179576004404026,-0.111420053224931,0.1,0.081,1
"MRPL35",0.179696206939745,-0.418826052714232,0.149,0.123,1
"CD37",0.180414514283775,-0.178966690204663,0.462,0.399,1
"IGFBP3",0.182051447367807,-0.128282688134124,0.303,0.263,1
"SFT2D1",0.18317738765819,-0.161390148738673,0.445,0.37,1
"CDK5RAP3",0.183289293744332,-0.304772785603288,0.249,0.209,1
"MTMR14",0.183563883600461,-0.343348165566932,0.279,0.233,1
"ELOF1",0.184233682674775,-0.628801006736144,0.11,0.089,1
"SNAPC5",0.184510745256703,-0.537002172092227,0.138,0.113,1
"COX5A",0.184777131475275,-0.495339505027779,0.382,0.363,1
"SIRT7",0.184888459106672,-0.509513755417927,0.132,0.107,1
"TLR7",0.185038952563559,-0.212974231074294,0.477,0.409,1
"NDUFB10",0.185088761358478,-0.182967987988017,0.412,0.351,1
"COA4",0.185320758189181,-0.456418943050137,0.202,0.169,1
"NOL7",0.18643560116367,-0.596427237573432,0.346,0.33,1
"NUP58",0.186875775321812,-0.144659867987885,0.279,0.235,1
"RIT1",0.18699433865919,-0.628549550608356,0.188,0.193,1
"GTF3C6",0.187650703666577,-0.200682007667707,0.38,0.319,1
"CYC1",0.188066106657344,-0.453625349571315,0.237,0.199,1
"RPL8",0.188228758941266,-0.0264909506754352,0.865,0.888,1
"HNRNPUL1",0.188614677159872,-0.285718660785143,0.337,0.281,1
"C1orf122",0.189019394767312,-0.712401343720746,0.256,0.252,1
"SLC3A2",0.18917227323458,-0.396657132814821,0.361,0.343,1
"TBCB",0.189209073213082,-0.452194139965627,0.258,0.216,1
"POLR3GL",0.189305505458352,-0.128618917164508,0.16,0.135,1
"HMGN3",0.189725885018643,-0.12036890476212,0.421,0.36,1
"RIOK3",0.189771808053582,-0.177253901899468,0.343,0.282,1
"KCTD5",0.190327835198625,-0.424076993620583,0.14,0.117,1
"SSNA1",0.19086624814291,-0.375848908002248,0.261,0.218,1
"C5AR1",0.191633938389888,-0.323435562701445,0.361,0.346,1
"SCAF4",0.192005094338007,-0.250811831306941,0.171,0.145,1
"GTF3A",0.192720958927107,-0.423651304347287,0.367,0.35,1
"TIMM50",0.192877273110909,-0.742213126532435,0.113,0.092,1
"WTAP",0.192897932857876,-0.431531991413161,0.338,0.316,1
"ZMAT2",0.193275363139785,-0.247896134161465,0.314,0.26,1
"RPS7",0.193603991675721,-0.0231140645696835,0.852,0.861,1
"ETHE1",0.193707629754842,-0.456365799956049,0.216,0.18,1
"ZNF394",0.193792451341485,-0.691218950983341,0.157,0.163,1
"KLF11",0.194159920198883,-0.252357519556128,0.166,0.139,1
"HCCS",0.194358401429163,-0.25339863876339,0.128,0.106,1
"NDUFS5",0.194369552090753,-0.199628312986421,0.494,0.42,1
"TMEM167A",0.194622454823453,-0.267697202872999,0.356,0.296,1
"TMEM199",0.194975517961774,-0.46176513821669,0.123,0.102,1
"UBAP1",0.196584954837743,-0.333484223652097,0.22,0.184,1
"UBN1",0.196701651891245,-0.375552129426508,0.252,0.209,1
"NDUFA1",0.197072081463682,-0.0550613726630964,0.603,0.53,1
"NFYA",0.197490923580561,-0.29335796607197,0.104,0.085,1
"ZNF276",0.198011268440991,-0.058595785500428,0.101,0.084,1
"NUDT4",0.198056193091184,-0.277396561160099,0.208,0.173,1
"ARRB2",0.198276888379166,-0.149289342304306,0.558,0.47,1
"SRA1",0.198623315920976,-0.174247715913443,0.214,0.181,1
"LAMTOR5",0.198975234760843,-0.465842905929632,0.402,0.38,1
"NACA",0.199004923362754,-0.045645236894853,0.878,0.875,1
"ERP29",0.199079828354775,-0.369478983843197,0.493,0.461,1
"TNFRSF11A",0.199161827315703,-0.223631501627595,0.417,0.356,1
"IQCG",0.199934915141231,-0.640114368112553,0.12,0.099,1
"ANKRD26",0.200815542303668,-0.396032790431623,0.122,0.102,1
"STX4",0.200988831046148,-0.269560865986028,0.254,0.213,1
"SMAP1",0.201173177121913,-0.477740107483779,0.253,0.21,1
"PTP4A2",0.201649490295562,-0.326552448269769,0.47,0.441,1
"CUTC",0.203180550760367,-0.362292750827785,0.113,0.093,1
"TFAM",0.203959094631935,-0.415900067023211,0.211,0.176,1
"KDELR2",0.204083680071023,-0.25948044240638,0.389,0.326,1
"NRBF2",0.204211963146428,-0.360372306311197,0.221,0.225,1
"ARGLU1",0.204302810835194,-0.120590272571294,0.53,0.442,1
"VAMP2",0.204383057465694,-0.263470444846664,0.326,0.274,1
"CUEDC2",0.2048989925109,-0.543768468006705,0.16,0.132,1
"CLEC2B",0.205312040505717,-0.514097092020166,0.282,0.275,1
"TPRKB",0.205585311241139,-0.586066625391581,0.191,0.158,1
"MED21",0.206170340940319,-0.493719430976385,0.148,0.123,1
"HYAL2",0.206283952427301,-0.704849919620625,0.178,0.182,1
"ZDHHC4",0.207893874968093,-0.214105652837237,0.117,0.098,1
"CD59",0.20796515808,-0.132210175116025,0.785,0.758,1
"POLR2C",0.208095598314799,-0.567840946977637,0.129,0.107,1
"ZCRB1",0.208675467880305,-0.276144608926753,0.241,0.203,1
"NXT1",0.209564681215443,-0.982849053214683,0.111,0.119,1
"RAB42",0.210649637054105,-0.753294098736095,0.151,0.158,1
"LRP10",0.211459733267077,-0.401082286672988,0.259,0.22,1
"EIF3D",0.211892207089393,-0.183643253863273,0.568,0.486,1
"NDUFB11",0.212067212751545,-0.383402458617143,0.455,0.432,1
"MSL1",0.212907696953146,-0.387702398609644,0.323,0.269,1
"FAM210A",0.213006656953801,-0.384098730713545,0.114,0.094,1
"SRSF7",0.213650830026068,-0.359096435382029,0.459,0.422,1
"LYSMD2",0.213763524083199,-0.287323965678785,0.132,0.11,1
"ZFAND1",0.214848171081701,-0.410382967131402,0.11,0.091,1
