dataset,total_cells,hofbauer,maternal_mac,ambiguous,other,pct_hofbauer,mean_diff,mean_diff_hb,mean_diff_mat
Arutyunyan,325665,6167,27555,40683,251260,1.893663734205395,-0.036906880744527894,0.46749822106251715,-0.5456193186176275
hoo_2024,158978,2051,13829,32724,110374,1.2901156134811105,-0.0556302152926125,0.3790333260085581,-0.527101151504217
UCSF_Li_2026,191735,625,242,60186,130682,0.32597074086629985,0.03467177470511995,0.3745414063611643,-0.3847659507073828
