"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"GSTA3",0.590462684419823,-0.97801606294104,0.012,0.015,1,"GSTA3"
"BISPR",0.590757542703443,-0.434197756783172,0.07,0.061,1,"BISPR"
"DPY19L4",0.591028843548647,-0.648205419034952,0.152,0.13,1,"DPY19L4"
"ABCC4",0.591043031406876,-0.61199117992275,0.103,0.106,1,"ABCC4"
"ZNF367",0.591299042894609,-1.08627263352875,0.019,0.022,1,"ZNF367"
"ZFYVE27",0.59147083963235,-0.41400460176735,0.072,0.063,1,"ZFYVE27"
"CRHBP",0.592415454265583,-0.360133326802242,0.028,0.023,1,"CRHBP"
"NRBP2",0.59252662092279,-0.834475370948163,0.04,0.034,1,"NRBP2"
"PDCD4-AS1",0.592567918843394,-1.28178285029728,0.047,0.04,1,"PDCD4-AS1"
"EIF2B3",0.592603586843661,-0.581060472382576,0.138,0.137,1,"EIF2B3"
"SGTB",0.593100790493658,-0.509738701596089,0.231,0.195,1,"SGTB"
"NAA11",0.593220398859011,1.11540165932857,0.009,0.012,1,"NAA11"
"TOB1",0.593345946300479,-0.405476066484041,0.245,0.206,1,"TOB1"
"BEX4",0.593364762963554,0.286356112889715,0.215,0.191,1,"BEX4"
"ZNF493",0.593626010254815,-0.9782554067442,0.089,0.091,1,"ZNF493"
"MTHFD1",0.593799590847375,-0.388998900544691,0.157,0.135,1,"MTHFD1"
"SAP130",0.594036783235089,-0.785253967186909,0.077,0.08,1,"SAP130"
"CCNF",0.59408817298488,0.350823067963378,0.049,0.043,1,"CCNF"
"IL13RA1",0.594163748490184,-0.374392486198602,0.271,0.252,1,"IL13RA1"
"FANCD2",0.594251189515484,-0.253317141650023,0.047,0.051,1,"FANCD2"
"TMEM181",0.594466377215285,-0.437902528205187,0.145,0.126,1,"TMEM181"
"MYO7A",0.594505134139697,-0.4576008626307,0.297,0.265,1,"MYO7A"
"LINC01637",0.594798814036018,-0.9329630617256,0.063,0.054,1,"LINC01637"
"ZYG11B",0.594960729440709,-0.717089372723335,0.192,0.181,1,"ZYG11B"
"ZNF275",0.595037685505738,-1.24021881309139,0.019,0.022,1,"ZNF275"
"MECP2",0.596069736901815,-0.600896081420591,0.175,0.167,1,"MECP2"
"TDRD9",0.596346269063613,-1.88258187827654,0.009,0.012,1,"TDRD9"
"PPM1F",0.596719555354116,-0.28760461542282,0.196,0.167,1,"PPM1F"
"DBR1",0.597132279985917,-0.496788167328893,0.084,0.088,1,"DBR1"
"TMEM260",0.597328008355169,-0.488458010279494,0.126,0.11,1,"TMEM260"
"EXOSC7",0.59741823505982,-0.377875516911843,0.21,0.2,1,"EXOSC7"
"ZFP82",0.597708744996781,-0.390812657013838,0.068,0.059,1,"ZFP82"
"MTA2",0.597711851479673,-0.843369897672744,0.093,0.081,1,"MTA2"
"CYB561",0.597725888581917,0.609801866510297,0.035,0.03,1,"CYB561"
"DPH5",0.59793279575253,-0.675190771508437,0.107,0.094,1,"DPH5"
"SIGLEC7",0.598207527185194,-0.494907384646396,0.107,0.094,1,"SIGLEC7"
"OAF",0.598485071501249,-0.699051104118499,0.042,0.036,1,"OAF"
"GIGYF2",0.598940225030779,-0.285188045520461,0.36,0.327,1,"GIGYF2"
"GPRC5B",0.599011077993844,-0.951445351160734,0.063,0.067,1,"GPRC5B"
"ATG13",0.599185693290698,-0.700139509863271,0.119,0.103,1,"ATG13"
"AKAP11",0.59977522107049,-0.704466948220253,0.192,0.183,1,"AKAP11"
"TLK2",0.599812564719636,-0.343548557032119,0.18,0.172,1,"TLK2"
"CCDC90B",0.60011477086125,-0.50971389506142,0.299,0.263,1,"CCDC90B"
"GINS3",0.600240501887908,1.00083729591661,0.019,0.023,1,"GINS3"
"SWT1",0.600579120957992,-0.776476938134131,0.061,0.065,1,"SWT1"
"ANKRA2",0.600868051664548,-0.569171024479797,0.089,0.091,1,"ANKRA2"
"UBAP1L",0.60106128537128,-1.07333392697612,0.009,0.012,1,"UBAP1L"
"TRABD2A",0.601151228213964,-0.3755922101999,0.014,0.017,1,"TRABD2A"
"CEP55",0.601433174324524,0.426025294014782,0.072,0.066,1,"CEP55"
"TRDMT1",0.601494519975289,-1.12317707607659,0.028,0.023,1,"TRDMT1"
"EXOC2",0.601576677260221,-0.607858944664927,0.124,0.108,1,"EXOC2"
"TRDN",0.601728246689659,-0.509657319860798,0.023,0.019,1,"TRDN"
"INSIG2",0.602007516982829,-0.694707174639605,0.248,0.225,1,"INSIG2"
"KPNA5",0.602752016964512,-0.428255413111445,0.084,0.074,1,"KPNA5"
"STEAP4",0.6027569736937,0.800036255095491,0.026,0.03,1,"STEAP4"
"IER3-AS1",0.602802630453301,-0.945504758104276,0.009,0.012,1,"IER3-AS1"
"DOCK1",0.602880250577919,-0.87644143573508,0.126,0.125,1,"DOCK1"
"RNF26",0.604341849236262,-0.769743402216778,0.143,0.121,1,"RNF26"
"FAM81A",0.604670873143698,-0.681278580279877,0.009,0.012,1,"FAM81A"
"DHCR7",0.6049373440894,-0.795991009703247,0.049,0.042,1,"DHCR7"
