"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"GIGYF2",1.58767637805195e-76,0.133663269763133,0.856,0.356,3.16582669783558e-72,"GIGYF2"
"SART3",1.59337505494664e-76,0.0850730276940848,0.357,0.105,3.1771898595636e-72,"SART3"
"TMEM223",1.67944881418549e-76,0.136338432111341,0.356,0.105,3.34882093548586e-72,"TMEM223"
"SGSH",1.73497588744415e-76,0.383987332254638,0.265,0.063,3.45954191956364e-72,"SGSH"
"CDK16",1.7614959242356e-76,-0.00479906020152021,0.343,0.098,3.51242287292579e-72,"CDK16"
"CA8",1.86153942279535e-76,0.255007182443838,0.565,0.217,3.71190960905393e-72,"CA8"
"GANAB",1.91008957539113e-76,-0.169379031121325,0.541,0.192,3.80871861332991e-72,"GANAB"
"COPG2",2.06411196408185e-76,0.523770358743587,0.268,0.064,4.1158392563792e-72,"COPG2"
"ANXA7",2.16981417619533e-76,0.00648959603632671,0.805,0.321,4.32660946733349e-72,"ANXA7"
"FBXO33",2.20236918084523e-76,0.0983698007998268,0.38,0.117,4.3915241466054e-72,"FBXO33"
"OAZ2",2.24416079526107e-76,-0.198505641666418,0.589,0.215,4.47485662575057e-72,"OAZ2"
"RAVER1",2.2568053059592e-76,0.640534156905326,0.209,0.038,4.50006978008264e-72,"RAVER1"
"MTOR",2.56151286794805e-76,0.09965151072212,0.402,0.127,5.10765665868841e-72,"MTOR"
"RRAGB",2.57078900812673e-76,0.23675343725249,0.36,0.107,5.12615328220469e-72,"RRAGB"
"ATP5F1C",2.619702755687e-76,0.129056792680768,0.926,0.41,5.22368729483987e-72,"ATP5F1C"
"NCOR1",2.67976157215423e-76,0.228913490774094,0.884,0.376,5.34344457487553e-72,"NCOR1"
"ATPAF1",3.01914542416624e-76,-0.00254494752753298,0.388,0.12,6.02017597578748e-72,"ATPAF1"
"DNAJC21",3.0399869476341e-76,-0.167468108216972,0.532,0.188,6.06173397358239e-72,"DNAJC21"
"NOL11",3.10001435109352e-76,0.0841195411766951,0.321,0.088,6.18142861608049e-72,"NOL11"
"SEL1L",3.11773133360644e-76,0.126474657950751,0.816,0.326,6.21675627921123e-72,"SEL1L"
"WDR12",3.16027890844261e-76,0.609824752294785,0.275,0.067,6.30159614343456e-72,"WDR12"
"KIAA0586",3.28173732940833e-76,0.149332662352237,0.454,0.152,6.54378423484021e-72,"KIAA0586"
"ZMYM1",3.30862578420802e-76,0.307874432382425,0.309,0.083,6.59739981371079e-72,"ZMYM1"
"PDE7A",3.32257334513246e-76,0.146746641263568,0.41,0.131,6.62521125019413e-72,"PDE7A"
"RAB5A",3.33444147287172e-76,0.00730740527130547,0.684,0.261,6.6488762969062e-72,"RAB5A"
