"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PPM1L",0.00050948215914659,0.334595395776884,0.136,0.112,1,"PPM1L"
"SPIN3",0.000515037459524168,-0.480737561501219,0.014,0.023,1,"SPIN3"
"NUBPL",0.000515682509824447,0.257298468346189,0.12,0.097,1,"NUBPL"
"RDH5",0.000517138848372388,0.776913406398742,0.013,0.006,1,"RDH5"
"RPGRIP1L",0.000517517325431927,-0.838637777143164,0.011,0.019,1,"RPGRIP1L"
"ACTR5",0.000519296470437825,-0.728521003476569,0.02,0.031,1,"ACTR5"
"POLG",0.000519998784720756,0.279158904738316,0.12,0.097,1,"POLG"
"MTRF1",0.000521517616714871,-0.263116657335096,0.035,0.048,1,"MTRF1"
"FBXO10",0.000526874727254189,-0.546930477120496,0.039,0.052,1,"FBXO10"
"UPK1B",0.000527992252063079,0.538155522693968,0.023,0.014,1,"UPK1B"
"ZMYND11",0.000529857736612262,0.292168811203072,0.268,0.236,1,"ZMYND11"
"PRSS22",0.000531034731624929,-0.296648473606008,0.009,0.017,1,"PRSS22"
"RHD",0.000533501988496339,0.785445877535236,0.013,0.006,1,"RHD"
"CATSPERG",0.000536056722740099,0.372298112481695,0.032,0.021,1,"CATSPERG"
"ADO",0.000536531658722663,-0.300868082609925,0.074,0.092,1,"ADO"
"ZNF347",0.000536782297108282,0.336563275113577,0.061,0.045,1,"ZNF347"
"ADCK1",0.000537101536179322,-0.393082171750663,0.045,0.06,1,"ADCK1"
"NPIPB2",0.000539662493994071,1.09247557112379,0.011,0.005,1,"NPIPB2"
"ADGRF3",0.000541666513914479,0.848425591379419,0.011,0.005,1,"ADGRF3"
"TMEM182",0.000547747823578584,-0.815477081585436,0.009,0.017,1,"TMEM182"
"KIAA1217",0.00054851262899195,0.697950978693864,0.039,0.027,1,"KIAA1217"
"TGFBR3",0.000550387670843261,0.270838010575708,0.194,0.165,1,"TGFBR3"
"VARS2",0.000553069311218963,-0.400281941093874,0.031,0.044,1,"VARS2"
"RAB30",0.000554503532711698,0.810893143890229,0.03,0.019,1,"RAB30"
"SYCE1L",0.000558241832181562,-0.871861153991445,0.005,0.011,1,"SYCE1L"
"ACSF2",0.000560030149720952,-0.414495386797939,0.052,0.067,1,"ACSF2"
"SIRT5",0.000564241795749822,-0.35931832438101,0.034,0.047,1,"SIRT5"
"FAM151B",0.00056654553770451,0.393694922523621,0.063,0.047,1,"FAM151B"
"GNG2",0.000568394569642956,0.254240484229263,0.498,0.479,1,"GNG2"
"IBA57",0.000570601739948915,0.431982771973224,0.041,0.029,1,"IBA57"
"PTPN14",0.00057217990818977,-0.377051527105271,0.009,0.017,1,"PTPN14"
"SPATA9",0.00057229249148729,-0.606813059162794,0.023,0.034,1,"SPATA9"
"KBTBD8",0.00057736684503069,0.549332594283029,0.034,0.023,1,"KBTBD8"
"SPRY2",0.000582430149031466,0.28199306758432,0.122,0.099,1,"SPRY2"
