"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PTPRC",8.60443402232129e-163,0.637070855374834,0.977,0.527,1.71572414405087e-158,"PTPRC"
"AGPS",8.99769024044896e-163,0.621129806236292,0.785,0.261,1.79413943394552e-158,"AGPS"
"PTPRA",9.39311611455839e-163,0.681423247562916,0.866,0.324,1.87298735324294e-158,"PTPRA"
"EIF3L",9.81663629004972e-163,-2.82591770287159,0.278,0.525,1.95743727623591e-158,"EIF3L"
"ZNFX1",1.17057448799656e-162,0.55089313417978,0.525,0.139,2.33412552906514e-158,"ZNFX1"
"ABCD3",1.34884079302686e-162,0.720577505690996,0.426,0.097,2.68958854129555e-158,"ABCD3"
"RIN3",1.66088324255459e-162,0.584525027489019,0.843,0.293,3.31180118565386e-158,"RIN3"
"TMEM161B",1.74945927226456e-162,0.824347197435606,0.425,0.097,3.48842178889553e-158,"TMEM161B"
"CNGB3",2.10573011662948e-162,5.99576634777324,0.152,0.001,4.19882585255918e-158,"CNGB3"
"HS2ST1",2.20346008348857e-162,0.666551693959824,0.904,0.359,4.3936994064762e-158,"HS2ST1"
"PHACTR4",3.15138629836973e-162,0.640462271111912,0.759,0.253,6.28386427894923e-158,"PHACTR4"
"ME2",3.93899500284461e-162,0.66949210179394,0.886,0.346,7.85435603567216e-158,"ME2"
"SLC4A7",5.01762490568243e-162,0.75780241184611,0.462,0.114,1.00051440619308e-157,"SLC4A7"
"FAM107B",7.78456237274998e-162,0.626172602280138,0.582,0.17,1.55224173712635e-157,"FAM107B"
"LUC7L2",8.00016673282379e-162,0.616693297527323,0.814,0.275,1.59523324652506e-157,"LUC7L2"
"SLC2A4RG",1.23732296354672e-161,0.670812389354724,0.443,0.105,2.46722198931216e-157,"SLC2A4RG"
"SPAST",2.82221617238336e-161,0.75380053264834,0.442,0.105,5.62749904773242e-157,"SPAST"
"SUSD6",3.69922085762221e-161,0.618297458470375,0.771,0.257,7.37624639009868e-157,"SUSD6"
"PRDM10",4.40898136328114e-161,1.50210151977061,0.269,0.037,8.79150883838259e-157,"PRDM10"
"NPM1",4.45696283571697e-161,-0.849230656478653,0.918,0.768,8.88718389441963e-157,"NPM1"
"TASP1",4.70764157235923e-161,1.27978029014436,0.309,0.052,9.3870372952843e-157,"TASP1"
"MYCBP2",4.84826251173228e-161,0.672590394528671,0.9,0.35,9.66743544839417e-157,"MYCBP2"
"MFN1",6.61803939483762e-161,0.906770705085967,0.405,0.09,1.31963705533062e-156,"MFN1"
"VDR",1.05532124341733e-160,4.74677805750217,0.154,0.002,2.10431055937415e-156,"VDR"
"THBD",2.34121676715055e-160,1.14604645753046,0.359,0.073,4.66838623369819e-156,"THBD"
"PPFIA1",2.87128685919222e-160,0.657491542768378,0.734,0.237,5.72534599722928e-156,"PPFIA1"
"VPS41",3.06063114193155e-160,0.626206953633646,0.749,0.246,6.10289849701151e-156,"VPS41"
