"g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","Gene"
8.51245977483713,7.0571852803783,5.2176755576135,9.96847153365505,5.93469004091921,5.56841316492143,4.50953995139206,8.82642452573231,7.35325640576082,4.85189851393652,8.66041561899021,"CD163"
10.9035881939789,10.2936725137398,5.11843021744725,17.1472320289612,8.37896960102979,6.3682573828425,6.33255471246102,13.7580074624165,21.4108706159035,5.77788097861999,4.14141977806532,"C1QB"
0.166310089284892,0.0601501281847613,1.7704743122699,0.0322693891330485,0.0675649964112937,0.165961436446149,0.0789871651590002,0.0955013392585519,0.174181631603724,0,0.635997572953985,"SOX5"
0.0124924171634067,0.0304851192552878,0.0214480742686592,0.00540834564104596,0.0206035837495426,0.00267287575744793,1.16089718520761,0.0264532381764947,0.0706948851951427,0.0451133712910238,0.0310620333887521,"BUB1B"
0.910957288304936,0.187217394576083,0.257722177772492,0.420044747095689,0.305536978732743,0.88698783585193,0.22179834877584,0.392990352628965,0.0692668948375045,0.686319134275816,0.59119277458762,"PTGS2"
6.72494370541707,2.05522680807566,2.87692409553737,1.96290296022834,3.80957025066132,5.18345238950235,2.57708051113527,2.52217166575537,2.65026396104118,2.2880374699661,2.35980598200979,"CXCL8"
7.66493702593677,7.03703217373941,8.50539357355134,0.934108465112963,6.74618973621208,4.19280261242249,4.77721770389122,1.16175103085285,7.63067827336553,4.62084656462038,10.437577594852,"CD36"
8.61666655968111,8.57975629998064,4.31149410107389,9.17258391243026,7.78212283076105,6.01558668825154,5.42739318737836,7.20457600189497,13.7116128300198,4.93860562072959,3.59183265411073,"FOLR2"
0.085421200025938,0.0914973562465409,1.2475692698983,0.0290649444419717,0.0453981724056451,0.293689598164636,0.0442803681245292,0.0335001396539481,0,0,0.831482091767995,"C9"
3.71500616359418,0.541547179999268,0.49774520047278,2.65259803730693,1.53659743396559,2.82422390123291,1.2978540969838,2.89398451483914,2.22840506059465,1.46309571963321,0.557810760068474,"DUSP2"
9.86021711666995,8.86781772962764,6.59791694828619,3.72708935977286,8.44681168682778,6.31335692483727,5.48985058107886,4.8054666615831,11.5970394761134,5.30244495745438,7.66360387314146,"LYVE1"
