"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PHETA1",3.63204700443043e-15,0.809570230545997,0.101,0.051,7.24230172683427e-11,"PHETA1"
"RPL37",3.75433858582324e-15,0.126251604183247,0.956,0.807,7.48615114013154e-11,"RPL37"
"SELENOP",3.8235248844918e-15,-0.130552169061033,0.993,0.924,7.62410861967664e-11,"SELENOP"
"TRAPPC9",3.88965027440164e-15,-0.852082808336828,0.135,0.193,7.75596264715686e-11,"TRAPPC9"
"TBC1D22A",3.99069015544402e-15,-0.637070321530876,0.256,0.317,7.95743616995538e-11,"TBC1D22A"
"YME1L1",4.07345892630207e-15,0.151973759554974,0.495,0.404,8.12247709904632e-11,"YME1L1"
"LDAH",4.23050368032428e-15,-1.07451653299453,0.057,0.103,8.43562433856661e-11,"LDAH"
"C4BPB",4.37462656333626e-15,0.250533564352541,0.471,0.352,8.72300536729251e-11,"C4BPB"
"NUAK1",4.3958335929726e-15,-1.09292094609946,0.08,0.13,8.76529218438736e-11,"NUAK1"
"LRCH4",4.39700657751666e-15,0.423649826705359,0.162,0.098,8.76763111556821e-11,"LRCH4"
"BAIAP2-DT",4.61458660421119e-15,1.10778340564801,0.12,0.067,9.20148568879711e-11,"BAIAP2-DT"
"TLE3",5.17223722191177e-15,0.523393462691161,0.203,0.131,1.03134410204921e-10,"TLE3"
"ATP5PD",5.31345804322635e-15,0.278718487019379,0.525,0.416,1.05950353381933e-10,"ATP5PD"
"SIGLEC1",5.54745864387985e-15,-0.322506085277937,0.664,0.689,1.10616325358964e-10,"SIGLEC1"
"GNG7",5.67151828441301e-15,0.600780373678254,0.265,0.184,1.13090074591195e-10,"GNG7"
"KMT5A",5.70115890559038e-15,0.469322476861308,0.216,0.142,1.13681108577472e-10,"KMT5A"
"HS6ST1",5.81996282863227e-15,0.533335610719209,0.223,0.148,1.16050058802927e-10,"HS6ST1"
"SNRPG",5.97815476424782e-15,0.367429311168158,0.383,0.29,1.19204405999102e-10,"SNRPG"
"TMEM176B",6.0021025495018e-15,0.212789737686406,0.83,0.657,1.19681924837066e-10,"TMEM176B"
"DDAH2",6.00347529534148e-15,0.37614206006561,0.403,0.314,1.19709297389109e-10,"DDAH2"
"PSMD8",6.11526018841736e-15,0.348617391496941,0.389,0.294,1.21938288157042e-10,"PSMD8"
"SUPT20H",6.13367397368852e-15,-0.796146380303727,0.112,0.167,1.22305459035349e-10,"SUPT20H"
"PLXNB2",6.14301703023008e-15,0.254542880480351,0.411,0.313,1.22491759582788e-10,"PLXNB2"
"MIR99AHG",6.25292295672862e-15,-1.40112444428285,0.088,0.136,1.24683283757169e-10,"MIR99AHG"
"CACNB4",6.50888727981816e-15,0.559863687116082,0.137,0.078,1.29787212359574e-10,"CACNB4"
"ADK",6.63992545236735e-15,-0.888931965496123,0.115,0.17,1.32400113520205e-10,"ADK"
"KMT2C",6.7046342279251e-15,-0.4603635647889,0.438,0.48,1.33690406504827e-10,"KMT2C"
"CES2",6.77484721034133e-15,0.656670321523638,0.15,0.089,1.35090453374206e-10,"CES2"
"HOXB6",7.11290737497369e-15,0.485728058320844,0.173,0.108,1.41831373056975e-10,"HOXB6"
"GLIPR1",7.21441528195764e-15,0.261146450001521,0.602,0.493,1.43855440722235e-10,"GLIPR1"
"NCSTN",7.35653734540184e-15,0.460517342633205,0.293,0.209,1.46689354667313e-10,"NCSTN"
"MFAP5",7.61045359739147e-15,0.88710420919557,0.149,0.091,1.51752444731986e-10,"MFAP5"
"GIMAP2",7.64460845380935e-15,0.534650045253053,0.256,0.179,1.52433492568959e-10,"GIMAP2"
"THADA",8.22832663335235e-15,-0.924406066919294,0.107,0.16,1.64072833069046e-10,"THADA"
"HEXA",8.30020894245235e-15,0.24296325792459,0.546,0.441,1.655061663125e-10,"HEXA"
"NUFIP2",8.53068244081115e-15,0.179567187049335,0.553,0.49,1.70101807869774e-10,"NUFIP2"
"ZNF703",8.71115728955834e-15,0.293967152979511,0.261,0.178,1.73700476353793e-10,"ZNF703"
"EIF4EBP3",8.8474016052817e-15,0.997238964867004,0.111,0.059,1.76417188009317e-10,"EIF4EBP3"
"VCPIP1",9.16007357720628e-15,0.388900930105466,0.331,0.245,1.82651867129493e-10,"VCPIP1"
"FAM200B",9.17859263581976e-15,0.806164006757946,0.145,0.086,1.83021137158246e-10,"FAM200B"
"TTC17",9.30089593874099e-15,-0.644158661461865,0.27,0.324,1.85459865018495e-10,"TTC17"
"CCZ1",9.42977872205366e-15,0.642894560694229,0.114,0.061,1.8802978771775e-10,"CCZ1"
"RPS5",9.48696807099731e-15,0.191137168343912,0.809,0.655,1.89170143335686e-10,"RPS5"
"CYBC1",9.62724311631048e-15,0.340326726876738,0.407,0.315,1.91967227739231e-10,"CYBC1"
"MAPKAP1",1.03383333939534e-14,-0.597277457665888,0.199,0.26,2.0614636787543e-10,"MAPKAP1"
"GBP2",1.05495179045665e-14,0.22842467595775,0.244,0.164,2.10357387017056e-10,"GBP2"
"VAV3",1.06836945884899e-14,-0.77898933103131,0.267,0.32,2.13032870094489e-10,"VAV3"
"PDAP1",1.1121383546508e-14,0.492680774787414,0.274,0.194,2.2176038791737e-10,"PDAP1"
"TMLHE",1.11855347597179e-14,-0.888000523168467,0.086,0.137,2.23039563108775e-10,"TMLHE"
"GYPC",1.12508785714975e-14,0.177800955731089,0.82,0.673,2.24342518715659e-10,"GYPC"
"MYLIP",1.16516644294671e-14,0.170407565973588,0.446,0.343,2.32334188723574e-10,"MYLIP"
"ERH",1.26904895684196e-14,0.396165070527445,0.41,0.315,2.53048361994286e-10,"ERH"
"TMEM219",1.27912566764366e-14,0.255222717795127,0.504,0.391,2.55057658128145e-10,"TMEM219"
"MAP2K5",1.289147774018e-14,-0.978177556076805,0.107,0.159,2.5705606613919e-10,"MAP2K5"
"PRPS1",1.43480731997532e-14,0.791519587816273,0.146,0.088,2.86100579603079e-10,"PRPS1"
"IRF2BPL",1.49477983375837e-14,0.313300500465764,0.345,0.254,2.98059098851419e-10,"IRF2BPL"
"SRGAP2C",1.50777004929873e-14,0.317269030137363,0.287,0.202,3.00649347830167e-10,"SRGAP2C"
"USP34",1.53320905341683e-14,-0.693133400034502,0.265,0.317,3.05721885251316e-10,"USP34"
"MAFF",1.5825725456022e-14,0.0961441554226329,0.321,0.225,3.15564965593078e-10,"MAFF"
"ZXDC",1.58398237012246e-14,-1.03410197760948,0.09,0.141,3.15846084602418e-10,"ZXDC"
"ARF3",1.58506391929141e-14,0.341579489896732,0.312,0.227,3.16061745506708e-10,"ARF3"
"HCK",1.62183263587854e-14,-0.345607457773267,0.4,0.458,3.23393427594181e-10,"HCK"
"DOCK7",1.7071657003362e-14,-0.660799208590987,0.25,0.307,3.40408840647038e-10,"DOCK7"
"ALKBH5",1.71644754013803e-14,0.344325176636691,0.246,0.168,3.42259639503523e-10,"ALKBH5"
"IMMP2L",1.72033652642635e-14,-1.0355614178969,0.109,0.162,3.43035103369415e-10,"IMMP2L"
"ABR",1.72759345754937e-14,-0.814439091265281,0.167,0.225,3.44482135435344e-10,"ABR"
"SMC4",1.80929728897875e-14,0.486246801358273,0.199,0.13,3.60773879422363e-10,"SMC4"
"PCED1B",1.84528393672772e-14,-0.845180807166128,0.163,0.218,3.67949616983507e-10,"PCED1B"
"CLN6",1.87105298194785e-14,0.60169469566752,0.243,0.17,3.73087964600401e-10,"CLN6"
"AHCYL2",1.89098079316133e-14,-1.00993253929764,0.082,0.131,3.77061570156369e-10,"AHCYL2"
"PTGS2",1.89669173282962e-14,0.190666489837372,0.155,0.091,3.78200331526226e-10,"PTGS2"
"EMC1",1.93142506242695e-14,0.623886656332573,0.169,0.105,3.85126157447935e-10,"EMC1"
"RYR1",1.93761679314638e-14,-0.849156662774103,0.206,0.261,3.86360788553388e-10,"RYR1"
"CDC42EP3",2.02502950649673e-14,0.622288203511453,0.105,0.055,4.03790883595449e-10,"CDC42EP3"
"PTP4A2",2.04178527815529e-14,0.355604591312125,0.47,0.377,4.07131984464164e-10,"PTP4A2"
"ID3",2.12500687192289e-14,0.616340027505495,0.146,0.088,4.23726370261425e-10,"ID3"
"PRDX4",2.18958351867028e-14,0.497930545954555,0.289,0.211,4.36602953622855e-10,"PRDX4"
"RNASEL",2.19879970885736e-14,0.855013034613813,0.129,0.074,4.38440661946157e-10,"RNASEL"
"NREP",2.23323345197738e-14,0.626177640772443,0.141,0.083,4.45306750324289e-10,"NREP"
