"g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20","Gene"
9.25005756458346,4.69322446559511,5.6004677934716,6.22855981698474,2.35837448766589,1.97270843138444,0.166619434931479,0.357965910195421,5.27894503777777,0.703681763976313,5.47004558553646,0.491435122662756,0.902631930535076,4.81549637542294,12.9638187497603,4.11399711630884,0.855335878371026,0.310618880840743,7.53802081205412,5.25451310836312,2.66311783492525,"AIF1"
0.0647629907293268,0.0228704530985658,0.0637169322130112,0.00992331827998301,0.0467096973001719,0.0398290624332677,0.0228558895619542,0.0103540297798316,0,0.0197541523003379,0.0201633290555777,0.0249095299483042,0,0.603544120637537,0.12085984739234,1.15889864212155,0.0185900292596374,0.144330012626806,0,0.583382214308714,0.110309938981256,"BUB1B"
9.99776456027695,5.35687622665118,6.07185577787671,6.96386650686812,16.0439363085991,2.93373264518283,4.75678174223217,1.57007798686305,6.42353829862512,1.78445541991471,6.12705576755583,1.15945732624922,3.39000056336079,5.49706085960755,13.5943615560968,4.16581535477661,1.75921219632568,0.654928803488611,8.54092240837308,6.1118358816078,3.62880568141028,"C1QA"
8.82153168187819,4.89497336568316,5.80774799859106,5.90924360200125,15.0862001855009,2.48756583593932,4.61683095207007,1.15367812445737,5.74608147445994,1.67517183630659,5.85172884243978,1.16562791597432,3.19419523199191,5.40027686630216,12.5759603560075,4.12567395119345,1.46751630221083,0.564328387962606,7.34107263504443,5.54284923954197,3.48438040651609,"C1QB"
0.0654794928035311,0.196003442030945,0.0526335198993768,0.607593612553071,0.0543633382216387,1.94509709239443,1.74829454332649,1.08064631302191,0.273193259884151,2.89450139809146,0.130953656710736,2.43011907143583,0.902725972908474,0.00682270113110063,0,0.0396941153640175,1.25431764644008,1.09299006518539,0.166890325867905,0.918534782423015,0.959406198954694,"C9"
1.37411877034218,1.03978304527021,1.33287726599058,4.77449777779045,0.972512200705403,1.30584467710263,0.378109084290296,0.0352361318515383,0.881749633130375,0.121843436363307,0.612835449740131,0.0612767496877104,0.036663752593972,0.440062563300969,2.0805449399471,0.403233725057929,0.137407534103422,0.040291434189129,7.57990257583719,2.23841532414966,0.522954825478809,"CCL13"
6.60051156034304,4.45029671567541,5.09327773924263,4.71099844220285,8.77334917114212,6.36121360678466,5.03428881137089,3.90149712391867,5.35084836231926,5.74061085079785,5.33127154445843,4.7314036564068,5.49174372734864,4.13923234684453,7.18157852661333,3.48346708948446,2.90839530678752,2.55961506765471,3.80000173820791,4.04008616212012,4.56928596780429,"CD163"
6.00521459467789,3.5110826644732,4.31042856311382,5.02971512027198,1.74922695622317,1.53997253641604,0.125315033722819,0.527961010366859,3.3907007794097,0.65083408540993,3.76289165716163,0.404618362299099,1.21940003928886,4.29211104991659,7.23106691138988,3.6178796430331,0.805837441311486,0.424071785067623,6.98498926243919,3.97544635254567,1.95973952785289,"CLIC1"
3.2574720472946,4.07297041377499,1.45161496396946,3.54617624943745,2.41144031789896,0.75924243708568,3.33477610992738,0.00474344090428494,4.87545781937408,0.0676180591047484,3.69557769415942,0,0.0607037512279901,1.48811096295137,2.43880255868709,3.03667475303428,0.130057200096705,0.0234169801712443,3.38351585863808,2.34996233346135,0.631879965710371,"CXCL8"
10.3376255466716,5.70722953009254,6.42826252350177,3.99453772030337,16.4275484269987,11.5323651375113,6.89817918608292,11.0911070797046,6.87597369360332,11.6390593332696,6.33809254102536,10.5746890616048,14.8191701190978,5.95674987785821,14.459940159833,4.52863503515542,8.83673275748252,7.60243327366272,3.28590569253909,4.72568756545571,7.49093590002334,"DAB2"
0.618481266903592,2.56083496653378,0.516242256454898,0.144278162702032,0.902186750931294,0.0304824693073678,1.77017695341114,0.0144301987756104,2.56105733622878,0.00983468301300909,1.71123536031597,0,0,0.380818379045375,0.341995216099372,1.82090651077435,0.0439714070016896,0,0.202081313294756,0.144709363246422,0.885452746758715,"DUSP2"
1.82237140862395,1.07432526623091,2.09969384531705,2.66803892562194,6.84542590557259,0.908441184573325,2.63149746176926,0.240266357580899,1.10723133716139,0.70843458614446,3.4359804993853,0.301397260831218,0.412944411181888,1.56603258727243,3.8174667066504,1.75051268834114,0.393794243836588,0.169825751456117,4.23664015964496,2.8638229303612,1.41156625534386,"FCGR3A"
