"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00953434597866774,0.613794031987206,0.362,0.298,1,"23","SURF4"
3.05945768021987e-40,1.20759575036533,0.958,0.516,6.10055861435843e-36,"24","LGALS1"
6.25063887189784e-37,1.07010618746909,0.951,0.556,1.24637739105643e-32,"24","S100A4"
2.79563622189238e-36,1.19141551803952,0.965,0.546,5.5744986264534e-32,"24","S100A6"
5.57590637369241e-35,1.13064529535433,0.965,0.556,1.11183573091427e-30,"24","VIM"
3.86762369437213e-31,1.25426909537161,0.894,0.468,7.71204164657803e-27,"24","FABP5"
2.64400487017508e-28,1.87117446017233,0.782,0.267,5.27214571112911e-24,"24","TREM2"
2.43007321819151e-27,0.942328783315147,0.915,0.573,4.84556599707388e-23,"24","PKM"
2.18951000134594e-23,1.07757263229616,0.873,0.496,4.36588294268381e-19,"24","TYMP"
3.8196215611832e-23,1.12598040775229,0.838,0.427,7.6163253929993e-19,"24","PPDPF"
4.14332394666811e-23,0.808263601161641,0.894,0.582,8.2617879496562e-19,"24","COTL1"
5.31024690623413e-23,0.905600498404574,0.866,0.517,1.05886323310309e-18,"24","LDHA"
1.92796010576786e-22,1.06214636964389,0.838,0.461,3.84435245090111e-18,"24","LST1"
3.78707049917569e-22,1.94875766878906,0.704,0.257,7.55141857535633e-18,"24","CAPG"
9.53246307337834e-22,0.567603698114921,0.923,0.626,1.90077313683164e-17,"24","GSTP1"
1.46870254826443e-21,0.723898434545703,0.901,0.625,2.92859288123927e-17,"24","ENO1"
2.07148765544463e-21,2.05880722347931,0.634,0.179,4.13054638495658e-17,"24","PLP2"
3.94355925762133e-21,0.704251476736821,0.951,0.711,7.86345715969694e-17,"24","CSTB"
5.28774916520376e-21,0.966958087761763,0.845,0.483,1.05437718354163e-16,"24","DRAP1"
1.17963327008006e-20,1.2024360669005,0.838,0.44,2.35218874053964e-16,"24","TIMP1"
3.79148885446665e-20,0.857501762669946,0.845,0.506,7.5602287758065e-16,"24","EMP3"
5.29883073231704e-20,0.782475283992618,0.831,0.482,1.05658684802402e-15,"24","SEC61G"
1.52110889728131e-19,1.16964896687534,0.739,0.358,3.03309114117893e-15,"24","UQCRC1"
3.8377801831335e-19,0.590443222115706,0.915,0.664,7.65253368516821e-15,"24","TPI1"
1.6272532549705e-18,1.0958563466375,0.768,0.393,3.24474299041118e-14,"24","TXNDC17"
2.50520613472663e-18,0.953825073069824,0.817,0.486,4.99538103264489e-14,"24","BAX"
3.39728911987103e-18,0.790891570586028,0.845,0.54,6.77419450502284e-14,"24","COX5A"
3.44670350624023e-18,0.864994320784105,0.824,0.503,6.87272679144302e-14,"24","GSTO1"
5.55557070618288e-18,0.742545749533263,0.817,0.455,1.10778079881287e-13,"24","HIGD2A"
2.25130341882376e-17,0.601904881505492,0.901,0.651,4.48909901713458e-13,"24","ATP6V1F"
2.34718104812612e-17,0.854996260691815,0.754,0.403,4.68027900996349e-13,"24","NDUFA6"
2.34915902682239e-17,0.960912492637934,0.775,0.435,4.68422309948385e-13,"24","EIF5A"
3.18186596161356e-17,1.35728991560367,0.662,0.276,6.34464072745744e-13,"24","MRPL23"
4.31542309747325e-17,1.12046707847808,0.69,0.319,8.60495365636167e-13,"24","SLC16A3"
4.39749127535881e-17,0.682223192714433,0.887,0.616,8.76859760306546e-13,"24","EDF1"
4.53427211339493e-17,0.704563300787315,0.824,0.505,9.04133859410949e-13,"24","PSMB3"
5.39934436027604e-17,2.15423499057247,0.528,0.122,1.07662926543904e-12,"24","AGR2"
1.15422117116229e-16,0.903834291391549,0.761,0.413,2.30151701529762e-12,"24","SMDT1"
1.47818469088714e-16,0.724044201705453,0.824,0.512,2.94750027362896e-12,"24","LAMTOR2"
1.59747035695762e-16,1.03846933847257,0.718,0.372,3.1853558917735e-12,"24","RAB5IF"
2.59706661758037e-16,0.902083764168278,0.768,0.421,5.17855083545525e-12,"24","PSME2"
3.04626710926193e-16,0.720240459934465,0.838,0.533,6.07425661586828e-12,"24","TXN"
4.0720979296023e-16,0.794600659004063,0.789,0.411,8.119763271627e-12,"24","LY6E"
5.31503894613243e-16,0.726637620138149,0.852,0.566,1.05981876585881e-11,"24","NDUFS5"
7.82311214445525e-16,3.23268445963256,0.472,0.07,1.55992856160438e-11,"24","PHLDA1"
8.53420477772146e-16,1.92865297821839,0.528,0.139,1.70172043267766e-11,"24","RETN"
1.22613009122366e-15,0.784171259781543,0.768,0.438,2.44490340189998e-11,"24","GLRX"
1.47902645520322e-15,0.590501756814479,0.873,0.625,2.94917875167523e-11,"24","ATP5MC3"
1.68597198018811e-15,3.4189265164289,0.444,0.053,3.36182812849509e-11,"24","LSP1"
2.03734650106251e-15,0.639167742870659,0.958,0.778,4.06246892311865e-11,"24","SH3BGRL3"
2.26148256363474e-15,0.714281121597449,0.81,0.518,4.50939623188767e-11,"24","CHCHD10"
2.40211697985276e-15,0.602044455731368,0.831,0.556,4.78982125782641e-11,"24","COX7B"
3.27667967836329e-15,1.09332713746842,0.676,0.337,6.53369927865639e-11,"24","HMGA1"
3.46663765753777e-15,0.746412056314834,0.754,0.425,6.91247548913032e-11,"24","PHPT1"
3.58159792494649e-15,0.829398140342226,0.782,0.487,7.14170626234329e-11,"24","CORO1A"
5.21547575721031e-15,1.00234570727137,0.711,0.374,1.03996586598774e-10,"24","EIF4EBP1"
6.31087896569284e-15,0.609014793881747,0.817,0.53,1.25838926575915e-10,"24","SNRPD2"
6.67935358060661e-15,0.895795570099067,0.754,0.435,1.33186310397296e-10,"24","BANF1"
1.25269867553652e-14,0.81655829442149,0.739,0.434,2.49788115901982e-10,"24","ABRACL"
1.57147677100407e-14,1.00801417554582,0.655,0.304,3.13352468138212e-10,"24","DCXR"
1.6798918719812e-14,0.916606483624458,0.711,0.381,3.34970439273051e-10,"24","MRPL52"
2.10301881934898e-14,0.750270128567369,0.782,0.473,4.19341952578187e-10,"24","NDUFA2"
2.51991107976667e-14,0.729764260629381,0.789,0.485,5.02470269305475e-10,"24","RNF181"
3.31226699829451e-14,1.02553160115675,0.655,0.318,6.60466039459925e-10,"24","PGAM1"
3.45903535529962e-14,0.542879843355918,0.803,0.501,6.89731649846745e-10,"24","GSTK1"
4.31243547503944e-14,2.09943951334245,0.535,0.182,8.59899633722864e-10,"24","SLC11A1"
4.52837084377183e-14,0.648207877370378,0.761,0.461,9.02957146248103e-10,"24","AURKAIP1"
4.7515943923024e-14,0.532913227429608,0.831,0.558,9.47467921825098e-10,"24","ANAPC11"
5.12523146405512e-14,0.602512430582368,0.838,0.573,1.02197115393259e-09,"24","GNB2"
6.11139009304506e-14,0.537259254355863,0.831,0.557,1.21861118455318e-09,"24","BRK1"
6.68358048316983e-14,0.924155993644737,0.662,0.333,1.33270594834406e-09,"24","C1QBP"
7.16690205953635e-14,0.55306677326953,0.887,0.647,1.42908027067155e-09,"24","ELOB"
9.35211218729587e-14,0.564963589746109,0.824,0.559,1.8648111701468e-09,"24","ATP5F1D"
1.0220273561961e-13,0.653736069980653,0.739,0.424,2.03792254825503e-09,"24","PRELID1"
1.14873141176564e-13,0.947417369300744,0.662,0.33,2.29057043506068e-09,"24","MIEN1"
1.31403923789869e-13,0.708979092180293,0.768,0.468,2.62019424037e-09,"24","LMAN2"
1.3688065230084e-13,1.01505420869925,0.648,0.318,2.72940020687875e-09,"24","TMEM256"
1.93839597797955e-13,2.31260866457439,0.423,0.082,3.86516158009121e-09,"24","CLEC11A"
2.15891333295682e-13,0.682474958547812,0.768,0.483,4.30487318591591e-09,"24","PPP1CA"
2.33343490043238e-13,1.24200098103221,0.62,0.281,4.65286919146216e-09,"24","NHP2"
2.36075374215892e-13,0.839949102534026,0.697,0.389,4.70734296186489e-09,"24","MDH2"
2.39216566182543e-13,0.791237856982538,0.746,0.438,4.76997832967991e-09,"24","SCAND1"
2.5823784004811e-13,1.05104624435038,0.648,0.322,5.14926253055931e-09,"24","PSMC4"
2.75448268079249e-13,0.515328859098744,0.838,0.582,5.49243846550022e-09,"24","EIF3K"
2.87429796477559e-13,0.762932694637799,0.775,0.471,5.73135014176253e-09,"24","TAGLN2"
4.63491030788781e-13,0.666415425608055,0.796,0.529,9.24201115392829e-09,"24","ATP6V0D1"
5.39530656798734e-13,0.687262212223701,0.824,0.562,1.07582412965668e-08,"24","TSPO"
6.15788893709635e-13,0.584779914315363,0.768,0.488,1.22788305405701e-08,"24","NDUFS6"
6.38692725180387e-13,1.94516830318582,0.451,0.12,1.27355329400969e-08,"24","SUSD3"
6.95527934432335e-13,0.837854579235806,0.683,0.381,1.38688270125808e-08,"24","TIMM13"
7.05946914787566e-13,1.28992036064133,0.592,0.27,1.40765814808641e-08,"24","STXBP2"
7.43753073848298e-13,1.55450196294579,0.514,0.183,1.48304362925351e-08,"24","ISOC2"
8.22767923456827e-13,0.518699512728486,0.88,0.645,1.64059923937291e-08,"24","ANXA2"
8.61110071891081e-13,0.807995898725493,0.739,0.452,1.71705348335082e-08,"24","WDR1"
1.01475000187923e-12,0.747157940726643,0.697,0.389,2.02341150374719e-08,"24","SLIRP"
1.16132572941746e-12,1.17471461488053,0.613,0.291,2.31568350445841e-08,"24","CD300A"
1.43135754216513e-12,0.569689078041161,0.817,0.543,2.85412693907727e-08,"24","ATP5ME"
1.45179424857225e-12,1.05189620487993,0.627,0.306,2.89487773165306e-08,"24","SDHB"
1.48419938137788e-12,2.39016942449722,0.423,0.082,2.95949356646749e-08,"24","C15orf48"
1.70312001598038e-12,0.978518100894074,0.676,0.358,3.39602131186487e-08,"24","UBE2L6"
1.73893467103918e-12,0.861132756276019,0.704,0.417,3.46743573405212e-08,"24","RNF7"
1.81445494629301e-12,1.39434515101098,0.585,0.26,3.61802316290825e-08,"24","C1orf162"
2.1541709030411e-12,0.69131322130617,0.775,0.459,4.29541678066394e-08,"24","ISG15"
2.36553772328034e-12,2.05656233331287,0.472,0.144,4.71688222022099e-08,"24","FLNA"
2.39055474221906e-12,0.999959228161184,0.627,0.306,4.7667661559848e-08,"24","SNF8"
2.58859153720454e-12,0.832412196247567,0.69,0.398,5.16165152518584e-08,"24","TWF2"
2.73297376900051e-12,0.738330012166281,0.69,0.397,5.44954969538701e-08,"24","EIF3I"
2.76299264204103e-12,0.717253171045617,0.725,0.434,5.50940732822981e-08,"24","GHITM"
3.46169900982557e-12,1.06027900008484,0.585,0.27,6.90262782559219e-08,"24","LRRC59"
3.7513987795104e-12,1.06560573522779,0.634,0.316,7.48028916634374e-08,"24","IDH3G"
3.78568808883758e-12,0.745601256801719,0.676,0.367,7.54866204914213e-08,"24","PSMC5"
3.82643198774617e-12,0.710867597661133,0.725,0.441,7.62990538356586e-08,"24","NDUFS8"
4.23708320524105e-12,0.657309118299477,0.789,0.509,8.44874391125065e-08,"24","NEDD8"
4.66839608844973e-12,0.807944841012852,0.725,0.446,9.30878180036876e-08,"24","PDXK"
4.71396878674878e-12,0.518957729882834,0.817,0.541,9.39965376077706e-08,"24","ATP5IF1"
5.24773611256238e-12,1.68405217014675,0.486,0.162,1.04639858084494e-07,"24","ZNF385A"
5.50400058144902e-12,0.708009300385484,0.69,0.398,1.09749771594093e-07,"24","PSMB7"
5.88068132849878e-12,1.44030511412246,0.514,0.204,1.17260785690266e-07,"24","NAPRT"
6.42800258576759e-12,0.876614533680091,0.648,0.304,1.28174371560206e-07,"24","ARF5"
6.43144255635718e-12,0.538364292700477,0.817,0.569,1.28242964573762e-07,"24","PYCARD"
7.53974968574066e-12,0.675920033924017,0.739,0.45,1.50342608733669e-07,"24","UFC1"
8.56354153143449e-12,0.567836751753212,0.775,0.502,1.70757018136804e-07,"24","ERH"
1.02666725106571e-11,0.619508182385803,0.718,0.441,2.04717449862503e-07,"24","POLR2E"
1.04015391461297e-11,0.773544604043691,0.704,0.406,2.07406690573827e-07,"24","JPT1"
1.13708432564504e-11,0.970980014258277,0.634,0.344,2.26734614533622e-07,"24","SDF2L1"
1.27635010474128e-11,0.957289043655425,0.627,0.324,2.54504210885411e-07,"24","NUTF2"
1.52741030669827e-11,1.17050261996933,0.592,0.291,3.04565615155635e-07,"24","CISD3"
1.53003776974332e-11,0.738322336917023,0.683,0.373,3.05089531286818e-07,"24","KDELR2"
1.53762196377547e-11,0.90593339666843,0.627,0.332,3.06601819576829e-07,"24","EIF6"
1.71503932787688e-11,0.776696652859418,0.634,0.329,3.4197884197865e-07,"24","NDUFB6"
1.76322988972915e-11,1.1737398931468,0.563,0.247,3.51588040011993e-07,"24","DDIT4"
1.77549139342576e-11,0.658300509786027,0.732,0.448,3.54032983849097e-07,"24","NDUFA3"
1.82375236674344e-11,0.626836092357212,0.746,0.485,3.63656221928643e-07,"24","APRT"
1.85975054426253e-11,1.06666273501656,0.69,0.4,3.70834258525948e-07,"24","PLAUR"
1.87808880721434e-11,1.17547979257216,0.556,0.244,3.74490908158539e-07,"24","HSD17B10"
1.90661803012933e-11,1.28608037083105,0.507,0.199,3.80179635207789e-07,"24","NME1"
1.95829323624746e-11,0.597201891447903,0.796,0.542,3.90483671307744e-07,"24","COMMD6"
2.22126832421753e-11,0.918122510404834,0.662,0.383,4.42920903848976e-07,"24","SLC7A7"
2.46824475384896e-11,1.6109658795213,0.458,0.146,4.92168003917483e-07,"24","IMPA2"
2.57928790302929e-11,1.11241020378862,0.676,0.35,5.14310007864041e-07,"24","MT2A"
2.76801694648161e-11,1.9394062367131,0.38,0.067,5.51942579128433e-07,"24","C12orf75"
3.08833500864378e-11,0.547605917611107,0.775,0.516,6.1581400072357e-07,"24","CNPY3"
3.35879267787724e-11,1.12280517763208,0.556,0.251,6.69743259968721e-07,"24","NDUFAF8"
3.42034853857229e-11,0.936705342971686,0.627,0.341,6.82017498591314e-07,"24","CYC1"
3.46934402997917e-11,0.615006294786043,0.725,0.455,6.91787199577847e-07,"24","DNPH1"
3.65048197657079e-11,0.887097897003784,0.662,0.384,7.27906106128216e-07,"24","CIB1"
4.03823231581246e-11,0.599979941102892,0.725,0.449,8.05223523773004e-07,"24","GPSM3"
4.2374420887541e-11,0.782843452057654,0.69,0.418,8.44945952497568e-07,"24","MRPL41"
4.44329910702962e-11,0.918228485697181,0.585,0.284,8.85993841941707e-07,"24","LSM5"
5.26703296989868e-11,2.50286815502441,0.373,0.074,1.0502463741978e-06,"24","IL1RN"
5.40940821509906e-11,0.689830517927284,0.641,0.323,1.07863599809075e-06,"24","COX14"
5.50817321590206e-11,3.00420050181433,0.324,0.033,1.09832973925087e-06,"24","CD48"
5.64211672479119e-11,0.657297296943426,0.704,0.429,1.12503807492336e-06,"24","MRPL57"
5.89870933344989e-11,0.763031385565332,0.655,0.37,1.17620264108991e-06,"24","IDH2"
5.96470451122484e-11,0.876252540857749,0.634,0.345,1.18936207953823e-06,"24","MRPL54"
5.99034441088649e-11,0.957916668536761,0.62,0.331,1.19447467553077e-06,"24","AP3S1"
6.44817140853906e-11,1.05144277688222,0.613,0.311,1.28576537886269e-06,"24","CDK2AP2"
