"orig.ident","nCount_RNA","nFeature_RNA","dataset","disease","disease_group","RNA_snn_res.0.1","seurat_clusters","RNA_snn_res.0.15","RNA_snn_res.0.2","RNA_snn_res.0.25","RNA_snn_res.0.3","cluster_final","subtype","UMAP_1","UMAP_2","dataset_label","UMAP_1","UMAP_2","trimester"
"Hofbauer_Atlas_Corrected",1737.00467810522,622,"GSE290578","Normal/PE","Normal 3rd trimester / Preeclampsia","0","1","1","1","13","13","1","MHCII+ Antigen-presenting",-0.841439684547736,-1.54570552340549,"D2",-0.841439684547736,-1.54570552340549,"Late"
"Hofbauer_Atlas_Corrected",2074.59842739331,827,"GSE290578","Normal/PE","Normal 3rd trimester / Preeclampsia","4","4","4","4","5","5","4","Vascular remodeling",0.166761884771035,-2.15221258631748,"D2",0.166761884771035,-2.15221258631748,"Late"
"Hofbauer_Atlas_Corrected",1736.31973780937,624,"GSE290578","Normal/PE","Normal 3rd trimester / Preeclampsia","0","2","2","2","1","1","2","Homeostatic",-2.10252641669686,-1.40432855120701,"D2",-2.10252641669686,-1.40432855120701,"Late"
"Hofbauer_Atlas_Corrected",2065.21534030796,812,"GSE290578","Normal/PE","Normal 3rd trimester / Preeclampsia","0","2","2","2","1","1","2","Homeostatic",-2.76281403533395,-0.786385800753059,"D2",-2.76281403533395,-0.786385800753059,"Late"
"Hofbauer_Atlas_Corrected",1763.95746665182,637,"GSE290578","Normal/PE","Normal 3rd trimester / Preeclampsia","0","1","1","1","3","3","1","MHCII+ Antigen-presenting",-0.250614119388415,0.0728050432463268,"D2",-0.250614119388415,0.0728050432463268,"Late"
"Hofbauer_Atlas_Corrected",1863.86104223298,693,"GSE290578","Normal/PE","Normal 3rd trimester / Preeclampsia","0","2","2","2","1","1","2","Homeostatic",-1.4437456034797,-0.305947866354408,"D2",-1.4437456034797,-0.305947866354408,"Late"
"Hofbauer_Atlas_Corrected",2113.70053205594,843,"GSE290578","Normal/PE","Normal 3rd trimester / Preeclampsia","4","4","4","4","5","5","4","Vascular remodeling",-0.680783888019874,-1.30398949614567,"D2",-0.680783888019874,-1.30398949614567,"Late"
"Hofbauer_Atlas_Corrected",3114.18113898436,1673,"GSE290578","Normal/PE","Normal 3rd trimester / Preeclampsia","0","1","1","1","3","3","1","MHCII+ Antigen-presenting",0.771681556783364,0.255908649351178,"D2",0.771681556783364,0.255908649351178,"Late"
"Hofbauer_Atlas_Corrected",2700.993271472,1276,"GSE290578","Normal/PE","Normal 3rd trimester / Preeclampsia","0","1","1","1","3","3","1","MHCII+ Antigen-presenting",0.66353906162803,-0.33380600443882,"D2",0.66353906162803,-0.33380600443882,"Late"
"Hofbauer_Atlas_Corrected",3453.52655589727,2071,"GSE290578","Normal/PE","Normal 3rd trimester / Preeclampsia","0","1","1","1","3","3","1","MHCII+ Antigen-presenting",1.89840556152885,2.37713149556118,"D2",1.89840556152885,2.37713149556118,"Late"
