"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"RPS17",2.07641389535277e-89,-2.00302552526989,0.107,0.287,4.14036930733342e-85,"RPS17"
"RASAL2",1.75969409034489e-71,-1.99190261913332,0.068,0.212,3.5088300161477e-67,"RASAL2"
"NAV2",3.34503220598712e-79,-1.98593404647343,0.14,0.31,6.66999421873831e-75,"NAV2"
"UNC5C",1.29516977054731e-48,-1.97135536485085,0.079,0.193,2.58256852247135e-44,"UNC5C"
"HDAC8",5.06728493910754e-64,-1.96266395424098,0.05,0.175,1.01041661685804e-59,"HDAC8"
"SLC39A1",1.6492931421033e-32,-1.96055379053577,0.036,0.108,3.28869052535398e-28,"SLC39A1"
"BICC1",1.83385022758846e-46,-1.95983794787247,0.068,0.176,3.6566973538114e-42,"BICC1"
"LINC01605",5.34958890509196e-34,-1.94184713722928,0.038,0.114,1.06670802767534e-29,"LINC01605"
"TIGAR",1.92871280504743e-36,-1.94039512557778,0.038,0.117,3.84585333326457e-32,"TIGAR"
"MAGI1",9.18715325872377e-59,-1.93568884051346,0.093,0.226,1.83191835978952e-54,"MAGI1"
"TRAPPC5",6.53721022230654e-44,-1.92763358374514,0.073,0.179,1.30351971832792e-39,"TRAPPC5"
"BCAS3",1.85348407331934e-53,-1.92361042300063,0.054,0.166,3.69584724219876e-49,"BCAS3"
"PARL",1.16232532060458e-45,-1.91600487237015,0.052,0.153,2.31767668928554e-41,"PARL"
"RPS10",5.8828903844053e-74,-1.91006790022115,0.128,0.294,1.17304834265042e-69,"RPS10"
"PAGE4",2.22201212367047e-98,-1.89791728616906,0.061,0.241,4.43069217459891e-94,"PAGE4"
"ATP5PO",3.38475289873693e-51,-1.88645688991394,0.093,0.219,6.74919728008143e-47,"ATP5PO"
"NAV3",2.70608138742219e-101,-1.88554617291264,0.157,0.36,5.39592628651985e-97,"NAV3"
"RFX3",2.00265914878768e-46,-1.88483642705942,0.046,0.145,3.99330234268264e-42,"RFX3"
"PRIM2",2.07393380571122e-35,-1.87105905279125,0.03,0.104,4.13542400858817e-31,"PRIM2"
"MIR99AHG",8.53342479909539e-43,-1.87029397408179,0.044,0.136,1.70156490493962e-38,"MIR99AHG"
"SLC2A5",2.8567578568182e-38,1.85776254717228,0.118,0.033,5.69637516649548e-34,"SLC2A5"
"UMAD1",2.0538277379129e-49,-1.85760197670349,0.064,0.175,4.09533250939833e-45,"UMAD1"
"SYT1",6.14240815642889e-93,-1.85663519962109,0.13,0.321,1.22479618639192e-88,"SYT1"
"NSMCE2",1.04700577012118e-66,-1.82339162675256,0.094,0.239,2.08772950562163e-62,"NSMCE2"
"CCPG1",4.02883928772699e-60,-1.81793452751928,0.078,0.211,8.03350553972761e-56,"CCPG1"
"IL1B",3.10856467171904e-161,1.81669600918182,0.444,0.148,6.19847795540776e-157,"IL1B"
"NDUFC2",4.61449585004255e-48,-1.80052390583322,0.095,0.215,9.20130472498484e-44,"NDUFC2"
"TSNAX",3.1422785317555e-37,-1.79009485503748,0.066,0.16,6.26570339232046e-33,"TSNAX"
"WDPCP",1.34232074825071e-51,-1.78978298618126,0.055,0.166,2.67658757201191e-47,"WDPCP"
"DISC1",7.15438426348791e-63,-1.77535671409616,0.143,0.29,1.42658422213949e-58,"DISC1"
"STXBP5",2.35331330648899e-35,-1.76806542592531,0.044,0.126,4.69250673313904e-31,"STXBP5"
"SGK3",1.99719448674915e-65,-1.76668846755269,0.089,0.232,3.98240580657781e-61,"SGK3"
"IMMP2L",3.76844949468276e-42,-1.76495859453742,0.063,0.162,7.51428829239743e-38,"IMMP2L"
"LRMDA",3.21119683200368e-58,-1.74638760881991,0.229,0.367,6.40312648301534e-54,"LRMDA"
"RPL22",1.57729600347193e-107,-1.73145456528951,0.266,0.473,3.14512823092303e-103,"RPL22"
"NUBPL",7.76134777111528e-39,-1.72786010338157,0.038,0.121,1.54761274556039e-34,"NUBPL"
"KIAA1328",7.70100251274044e-40,-1.72370994358248,0.041,0.127,1.53557990104044e-35,"KIAA1328"
"MIR222HG",3.66898242777006e-34,1.72287540998871,0.143,0.055,7.31595096097349e-30,"MIR222HG"
"RNF150",6.80922136475211e-56,-1.71429856746555,0.098,0.229,1.35775874013157e-51,"RNF150"
"TMEM117",2.47217790888746e-54,-1.7035805457325,0.071,0.192,4.92952275032159e-50,"TMEM117"
"ARHGAP32",4.91464136773663e-45,-1.68746648739035,0.048,0.146,9.79979488726684e-41,"ARHGAP32"
"PTPRK",3.9991893610215e-27,-1.66806854663818,0.053,0.124,7.97438358587688e-23,"PTPRK"
"PDCD6",9.05842256149587e-36,-1.66699318026215,0.043,0.124,1.80624945876228e-31,"PDCD6"
"ADGRE2",1.48711122585209e-42,1.66177009998888,0.147,0.047,2.96529978434907e-38,"ADGRE2"
"PPM1B",6.97896107499463e-37,-1.65730410142871,0.058,0.148,1.39160483835393e-32,"PPM1B"
"ULK4",3.71472711108055e-39,-1.65278987338142,0.038,0.123,7.40716585949461e-35,"ULK4"
"XRRA1",2.40152432424412e-38,-1.65194046952723,0.032,0.111,4.78863950254278e-34,"XRRA1"
"TMBIM4",1.58783431472104e-90,-1.65037482914953,0.193,0.389,3.16614162355375e-86,"TMBIM4"
"GCH1",7.96874376187709e-47,1.64709780899489,0.188,0.07,1.58896750611829e-42,"GCH1"
"ARHGAP15",1.61703794271478e-42,-1.63009440265639,0.08,0.187,3.22437365777327e-38,"ARHGAP15"
"PDSS2",2.92318112368528e-41,-1.61863571867432,0.057,0.154,5.82882316062845e-37,"PDSS2"
"FGL1",7.18474121638628e-64,-1.61555478298914,0.156,0.31,1.43263739854742e-59,"FGL1"
"PLAUR",1.74332225229109e-200,1.61332275278339,0.593,0.265,3.47618457106843e-196,"PLAUR"
"COMMD7",3.24082375017303e-19,-1.60918214699991,0.048,0.104,6.46220255784503e-15,"COMMD7"
"NHSL1",1.62610900281081e-25,-1.60887093553352,0.041,0.105,3.24246135160476e-21,"NHSL1"
"LRRC39",1.85937680181512e-53,-1.6068129494661,0.089,0.215,3.70759734281936e-49,"LRRC39"
"SETBP1",8.95755543388786e-37,-1.5879670034948,0.042,0.126,1.78613655351724e-32,"SETBP1"
"VEGFA",1.85960893024329e-56,1.5869936336278,0.207,0.072,3.70806020690512e-52,"VEGFA"
"S100P",3.52670192328078e-65,-1.58696079341463,0.03,0.145,7.03224363502188e-61,"S100P"
"SNRPD3",1.77727883058125e-19,-1.58575122029648,0.045,0.1,3.54389398817901e-15,"SNRPD3"
"CELF4",1.6959479654478e-44,-1.58498821602755,0.06,0.165,3.38172024310291e-40,"CELF4"
"PCED1B",5.15713532925802e-43,-1.5848922970247,0.104,0.218,1.02833278465405e-38,"PCED1B"
"PTBP2",2.94758884511661e-40,-1.57218667626638,0.05,0.143,5.87749215716253e-36,"PTBP2"
"FAM172A",5.07007853323916e-55,-1.5650925535661,0.089,0.219,1.01097365952789e-50,"FAM172A"
"MBD5",2.51842058348634e-56,-1.55520215228738,0.094,0.227,5.02173064347176e-52,"MBD5"
"NBEA",2.10022671164811e-35,-1.55252499599484,0.038,0.118,4.18785206302633e-31,"NBEA"
"CBR4",1.9743294142057e-35,-1.54916446853271,0.047,0.13,3.93681285192616e-31,"CBR4"
"THBD",2.01906758733674e-50,1.54782063013282,0.214,0.086,4.02602076914946e-46,"THBD"
"ZMYM6",2.62421503630802e-33,-1.5461022615304,0.052,0.135,5.23268478239819e-29,"ZMYM6"
"NFIL3",3.72976821114928e-33,1.5242575433525,0.136,0.05,7.43715781303166e-29,"NFIL3"
"PAN3",3.47083902762092e-57,-1.5229762934509,0.107,0.246,6.92085302107612e-53,"PAN3"
"GLCCI1",2.6791542677868e-58,-1.51458936892561,0.098,0.237,5.34223360996688e-54,"GLCCI1"
"SLX4IP",8.76650071773994e-33,-1.51437303066484,0.049,0.129,1.74804024311734e-28,"SLX4IP"
"STX11",1.17897162812547e-71,1.5125820476994,0.263,0.095,2.35086942648218e-67,"STX11"
"BTBD9",7.96930289914446e-34,-1.50907307217766,0.055,0.139,1.5890789980894e-29,"BTBD9"
"CEP63",3.07584686352862e-45,-1.50664789362698,0.059,0.165,6.13323864587606e-41,"CEP63"
"WDR70",9.64352475687193e-53,-1.5009701281352,0.117,0.248,1.92291883652026e-48,"WDR70"
"CNPY2",3.13420034532782e-30,-1.49564168539182,0.06,0.141,6.24959548858367e-26,"CNPY2"
"CDKAL1",7.43809323476481e-49,-1.49129744423515,0.075,0.191,1.4831557910121e-44,"CDKAL1"
"ATXN7L1",7.50011891086451e-32,-1.48091837400921,0.063,0.148,1.49552371082638e-27,"ATXN7L1"
"ARPC1A",1.21206449478946e-27,-1.47954257747839,0.057,0.133,2.41685660261019e-23,"ARPC1A"
"HES1",4.78118568483312e-56,1.47431674167194,0.228,0.088,9.53368425555725e-52,"HES1"
"RPL17",1.41988019966513e-73,-1.47188862287992,0.238,0.407,2.83124111813226e-69,"RPL17"
"STAU2",1.8894164649164e-36,-1.46982042739703,0.079,0.176,3.76749643104329e-32,"STAU2"
"LRRC28",3.42882204041808e-47,-1.45888527109466,0.069,0.181,6.83707114859365e-43,"LRRC28"
"CDS1",1.57395561126359e-27,-1.45505957728246,0.065,0.142,3.13846748885959e-23,"CDS1"
"NDUFAF6",6.89292559294813e-23,-1.44903434053265,0.043,0.103,1.37444936323386e-18,"NDUFAF6"
"BHLHE40",1.65306633147006e-111,1.44888889942178,0.374,0.135,3.2962142649513e-107,"BHLHE40"
"TTN",7.08861210098552e-34,1.44035582595111,0.199,0.097,1.41346925293651e-29,"TTN"
"METTL15",2.20989039557301e-42,-1.4358804309612,0.066,0.17,4.40652144877259e-38,"METTL15"
"FGF13",1.12233397886236e-41,-1.42842558149307,0.272,0.379,2.23793395385154e-37,"FGF13"
"PBX3",1.73540265202905e-26,-1.4275650383301,0.055,0.128,3.46039288814592e-22,"PBX3"
"C4BPB",2.44935141477095e-74,-1.42539909505218,0.174,0.352,4.88400672105327e-70,"C4BPB"
"NR4A3",2.62877674760998e-133,1.42447546335383,0.485,0.211,5.24178083473429e-129,"NR4A3"
"VWA8",4.72354810963554e-24,-1.42296083445943,0.051,0.117,9.41875493061327e-20,"VWA8"
"ARMC2",3.06403223538295e-27,-1.41965400595038,0.052,0.124,6.1096802773536e-23,"ARMC2"
"FBXL17",2.37651523237356e-44,-1.41528992498492,0.094,0.209,4.73877137335288e-40,"FBXL17"
"NDUFA13",8.91823479018372e-40,-1.40904819924012,0.133,0.25,1.77829601716263e-35,"NDUFA13"
"ANK2",2.66816347935153e-30,-1.40573943880492,0.048,0.123,5.32031797782695e-26,"ANK2"
"HLA-DQB1",3.45780900375556e-43,1.39929850498903,0.243,0.12,6.89487115348859e-39,"HLA-DQB1"
"ABCA6",3.42736094763074e-39,-1.39843266895133,0.078,0.181,6.8341577295757e-35,"ABCA6"
"DGKH",9.09131629638862e-33,-1.3948504656813,0.047,0.127,1.81280846949989e-28,"DGKH"
"SLC7A5",3.59208210186847e-18,1.39176199547437,0.121,0.061,7.16261171112574e-14,"SLC7A5"
"GPHN",1.00483267815571e-27,-1.38982635968225,0.055,0.129,2.00363636024249e-23,"GPHN"
"LINS1",2.74914516923392e-37,-1.3897512987062,0.072,0.169,5.48179546745243e-33,"LINS1"
"HDAC9",4.62248112325638e-54,-1.38713231641756,0.242,0.383,9.21722735977323e-50,"HDAC9"
"PRDM1",1.34166926427555e-52,1.38319432718631,0.269,0.125,2.67528851296544e-48,"PRDM1"
"ZC3H12A",2.8123571077318e-39,1.37929497402663,0.195,0.085,5.60784007281721e-35,"ZC3H12A"
"TIMD4",2.96651079224146e-68,1.37374637369762,0.255,0.092,5.91522251972946e-64,"TIMD4"
"CXCL12",4.23025538571091e-31,1.37332425130677,0.144,0.058,8.43512923910755e-27,"CXCL12"
"NPHP3",2.75995318967895e-30,-1.3725680330812,0.044,0.119,5.50334666021983e-26,"NPHP3"
"ETV3",2.88003405776348e-61,1.37236064005574,0.271,0.115,5.74278791118038e-57,"ETV3"
"MAP2K5",1.15805469494798e-36,-1.37001694136282,0.066,0.159,2.30916106172628e-32,"MAP2K5"
"NRF1",1.70901325586566e-29,-1.36490839280748,0.048,0.123,3.40777243219612e-25,"NRF1"
"ZNF267",1.27601521781048e-101,1.36122351977538,0.455,0.228,2.54437434431409e-97,"ZNF267"
"ZNF280D",7.00592867454527e-62,-1.35913244419679,0.139,0.293,1.39698217770433e-57,"ZNF280D"
"KCNMA1",3.15701528682315e-45,1.35528912285178,0.199,0.079,6.29508848192536e-41,"KCNMA1"
"SH3RF1",8.7973769503984e-27,-1.35060216276857,0.08,0.162,1.75419696390944e-22,"SH3RF1"
