"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARL4A",0.0718155896697881,0.0624257129211677,0.207,0.228,1
"PXN",0.0722445198847545,0.0499773224385615,0.247,0.238,1
"THAP11",0.0738154353476241,-0.364767850925936,0.092,0.102,1
"SGPP1",0.0739399767433046,0.0981570326682162,0.234,0.219,1
"ROCK1",0.0742707354075874,-0.0183768007532428,0.494,0.497,1
"MED24",0.0743942383613454,0.137785826882245,0.114,0.104,1
"ECI1",0.0748483113786135,-0.0845952053709507,0.156,0.143,1
"PDZD11",0.0750619417814033,-0.169259030444323,0.119,0.107,1
"EDEM1",0.0750634701318134,0.266426415649165,0.175,0.167,1
"UBE4A",0.0752846575742521,0.145421213327894,0.221,0.211,1
"PRR14",0.0753057806939274,0.0975026017869518,0.092,0.104,1
"UACA",0.0753277635609196,-0.0603733867065578,0.205,0.221,1
"VPS26A",0.0753498893310111,-0.213604942270952,0.288,0.305,1
"FBRSL1",0.0759092990228757,0.381134314152875,0.126,0.118,1
"TTC3",0.0767654595240021,0.137357136356826,0.352,0.347,1
"CHID1",0.076843026319911,-0.0548988840656192,0.345,0.334,1
"POLR2G",0.077056775590508,-0.419745675891954,0.222,0.232,1
"ARHGEF40",0.0771867337968628,-0.0345090629842617,0.122,0.135,1
"BZW1",0.0774094461059242,-0.146721884820105,0.442,0.47,1
"RNF185",0.0774119050820033,-0.0785076876128552,0.104,0.116,1
"NCOA6",0.0777160810416618,0.272423457741489,0.153,0.145,1
"C1orf174",0.0780166108611061,-0.071862629785201,0.102,0.092,1
"SIRPB2",0.0781775220129661,0.0891412954328674,0.11,0.1,1
"FAM114A2",0.0784035656124558,-0.318066170159595,0.112,0.122,1
"CRTC3",0.0784875697503279,0.328980397507015,0.124,0.115,1
"DYM",0.078626878010266,0.380890257779476,0.133,0.125,1
"GPR85",0.0789855454398159,-0.214198461779591,0.151,0.164,1
"DENR",0.0790532788476333,-0.155641364523585,0.211,0.226,1
"ACOT9",0.0792912976085566,0.159135676330731,0.168,0.159,1
"TRAPPC9",0.0793113658025632,0.0785881904734437,0.118,0.13,1
"SNX8",0.0794953190981811,0.108342870606084,0.308,0.302,1
"LGALS8",0.0797100651716544,-0.0609602853900622,0.278,0.3,1
"ISG20L2",0.0797148653884434,0.353365346879664,0.17,0.163,1
"RGCC",0.079783374600289,0.26241033956233,0.387,0.416,1
"MLLT1",0.079788637412079,0.152910882125286,0.202,0.192,1
"VTI1A",0.0797964136056942,0.129127797191322,0.131,0.144,1
"PIP5K1A",0.0801414958006109,0.426855199822392,0.147,0.14,1
